model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.7965519428253174,0.1811417319058832,0.8912883648881907,13.512923349514189,0.20596460776458408,0.8943105827983343,13.967948536236426,
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.9689190983772278,0.17647995444291292,0.8891045462388467,13.165161180814486,0.19408142162707456,0.8916278197072467,13.162063805763854,
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.9867473840713501,0.1737916640773921,0.8875210270574527,12.964618427533344,0.20512043684368514,0.8905856305735624,13.910699205359244,
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.8361452176052429,0.16753308011593543,0.8836967812688419,12.497736696538277,0.20213883964133372,0.8896031210262233,13.708495551390534,
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.9679363333021951,0.16466955894233765,0.8873072506270151,12.284121966672261,0.19815951826934508,0.8907384900194946,13.438629011035145,
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.8424248266206245,0.1643766129259146,0.8885420712402846,12.262268597910571,0.1983263657676749,0.891382488644989,13.449944145685533,
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.8540791869163513,0.16352584523285227,0.8871653717079689,12.198802501480802,0.19662442219199244,0.8893829601221613,13.334523052058211,
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.9858097601700312,0.16027061674518947,0.8864579416845298,11.955966946271486,0.19421845133093996,0.8891076773422778,13.171356780281666,
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.6730301122720159,0.1556076634276531,0.8790782022358636,11.60811706044302,0.1766613298592025,0.8809270823562879,11.980681489884276,
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.6399207700174234,0.1543480393964942,0.8793229788336777,11.514150845131022,0.175278063239611,0.8800466002048254,11.886872183693031,
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.7112674965400215,0.15239497140127406,0.8757845071542079,11.368454666574491,0.16907606614477613,0.8790468542916827,11.466269939536803,
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.771672656107945,0.14927111575604138,0.8765281298892149,11.13541934420654,0.18032828238018675,0.8812979449496091,12.229364040997497,
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.7768670748835765,0.14917121754504595,0.8766576688416974,11.127967075456917,0.17986403832095657,0.8815050382150449,12.197880296299997,
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.7777463070948167,0.14864587781735408,0.8765210212412862,11.088777456377624,0.17949174628594985,0.8815038125505402,12.172632482892327,
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.7943308396838724,0.1444722855597812,0.8748300483840428,10.777433230641664,0.17688867147922432,0.8789342546220397,11.996099168111009,
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.4056764322138482,0.13063436160532868,0.8719918980800834,9.745143190431167,0.15237648696874692,0.8732518464599066,10.33375078957588,
balance_gate | Decision Tree | random_undersampling,balance_gate,Decision Tree,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.8401253918495298,0.0956435551367455,0.8431975215375878,7.134877291056197,0.11096377299789374,0.8409482988290427,7.5252553700525375,
balance_gate | Decision Tree | random_oversampling,balance_gate,Decision Tree,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.8468932666206346,0.09126372127465159,0.8290295467719953,6.8081477260941465,0.11204550797840193,0.8328296219184629,7.5986156366613296,
balance_gate | Decision Tree | class_weight,balance_gate,Decision Tree,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.8371008459922289,0.08846348556215292,0.8310365733473526,6.599254004335831,0.11056413792841763,0.8399135444147791,7.498153227872373,
balance_gate | Decision Tree | smote,balance_gate,Decision Tree,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.5426567408734464,0.07365821843356052,0.822620561053269,5.494801497600948,0.09910105797453125,0.8345094721848284,6.72075893377278,
