model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,22294,22294,1198,21096,252,85622,0.05373643132681439,0.9462635686731856,0.8262068965517242,0.19767986656421596,0.17379310344827587,0.802320133435784,0.802320133435784,0.20610531765401968,0.013405073589231566,4.00866365776473,4.00866365776473,17.609348914858096,0.1811417319058832,0.8912883648881907,13.512923349514189,108168
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7965519428253174,6025,6025,748,5277,702,101441,0.12414937759336099,0.875850622406639,0.5158620689655172,0.0494480781124084,0.48413793103448277,0.9505519218875916,0.9505519218875916,0.055700391982841505,0.013405073589231566,9.261372327943912,9.261372327943912,7.054812834224599,0.1811417319058832,0.8912883648881907,13.512923349514189,108168
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,default_0_50,0.5,17704,17704,1143,16561,285,78854,0.06456168097605061,0.9354383190239494,0.8004201680672269,0.17356809725934078,0.19957983193277312,0.8264319027406593,0.8264319027406593,0.18281135446031205,0.014745515938167962,4.378394167201449,4.378394167201449,14.489063867016624,0.20596460776458408,0.8943105827983343,13.967948536236426,96843
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7965519428253174,4711,4711,759,3952,669,91463,0.16111229038420719,0.8388877096157928,0.5315126050420168,0.04141906408845569,0.4684873949579832,0.9585809359115443,0.9585809359115443,0.0486457462077796,0.014745515938167962,10.926188751875193,10.926188751875193,5.206851119894599,0.20596460776458408,0.8943105827983343,13.967948536236426,96843
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,84734,84734,1437,83297,13,23421,0.016958953902801707,0.9830410460971983,0.9910344827586207,0.7805337431361158,0.00896551724137931,0.21946625686388427,0.21946625686388427,0.7833555210413431,0.013405073589231566,1.2651145694884518,1.2651145694884518,57.96590118302018,0.1737916640773921,0.8875210270574527,12.964618427533344,108168
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9867473840713501,6031,6031,742,5289,708,101429,0.1230310064665893,0.8769689935334107,0.5117241379310344,0.049560523997826046,0.4882758620689655,0.9504394760021739,0.9504394760021739,0.05575586125286591,0.013405073589231566,9.177943384467607,9.177943384467607,7.1280323450134775,0.1737916640773921,0.8875210270574527,12.964618427533344,108168
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,70279,70279,1411,68868,17,26547,0.02007712118840621,0.9799228788115938,0.9880952380952381,0.7217733060839491,0.011904761904761904,0.2782266939160509,0.2782266939160509,0.7257003603771052,0.014745515938167962,1.3615746829473547,1.3615746829473547,48.80793763288448,0.20512043684368514,0.8905856305735624,13.910699205359244,96843
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9867473840713501,4399,4399,724,3675,704,91740,0.16458285974085018,0.8354171402591498,0.5070028011204482,0.03851595661059582,0.49299719887955185,0.9614840433894042,0.9614840433894042,0.04542403684313786,0.014745515938167962,11.161553141374759,11.161553141374759,5.0759668508287294,0.20512043684368514,0.8905856305735624,13.910699205359244,96843
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,70778,70778,1421,69357,29,37361,0.020076860041255758,0.9799231399587442,0.98,0.6499091062426208,0.02,0.3500908937573793,0.3500908937573793,0.6543339989645737,0.013405073589231566,1.4977060668569329,1.4977060668569329,48.80858550316678,0.17647995444291292,0.8891045462388467,13.165161180814486,108168
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9689190983772278,6088,6088,756,5332,694,101386,0.12417871222076216,0.8758212877792378,0.5213793103448275,0.04996345508723927,0.4786206896551724,0.9500365449127607,0.9500365449127607,0.056282819318097775,0.013405073589231566,9.263560650686482,9.263560650686482,7.052910052910053,0.17647995444291292,0.8891045462388467,13.165161180814486,108168
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,58246,58246,1388,56858,40,38557,0.02382996257253717,0.9761700374274628,0.9719887955182073,0.5959021118272808,0.028011204481792718,0.4040978881727192,0.4040978881727192,0.6014477040157781,0.014745515938167962,1.616081978579984,1.616081978579984,40.96397694524496,0.19408142162707456,0.8916278197072467,13.162063805763854,96843
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9689190983772278,4473,4473,728,3745,700,91670,0.162754303599374,0.837245696400626,0.5098039215686274,0.03924959387936907,0.49019607843137253,0.9607504061206309,0.9607504061206309,0.046188160218084945,0.014745515938167962,11.037545534645783,11.037545534645783,5.144230769230769,0.19408142162707456,0.8916278197072467,13.162063805763854,96843
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,default_0_50,0.5,26121,26121,1238,24883,212,81835,0.04739481643122392,0.9526051835687761,0.8537931034482759,0.23316591390393374,0.14620689655172414,0.7668340860960663,0.7668340860960663,0.2414854670512536,0.013405073589231566,3.535587933608709,3.535587933608709,20.09935379644588,0.16352584523285227,0.8871653717079689,12.198802501480802,108168
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8540791869163513,6059,6059,724,5335,726,101383,0.1194916652913022,0.8805083347086978,0.4993103448275862,0.04999156655859368,0.5006896551724138,0.9500084334414063,0.9500084334414063,0.05601471784631314,0.013405073589231566,8.913913414641087,8.913913414641087,7.3687845303867405,0.16352584523285227,0.8871653717079689,12.198802501480802,108168
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,default_0_50,0.5,20627,20627,1176,19451,252,75964,0.05701265331846609,0.9429873466815339,0.8235294117647058,0.2038568359272651,0.17647058823529413,0.7961431640727349,0.7961431640727349,0.2129942277707217,0.014745515938167962,3.8664400457424453,3.8664400457424453,16.53996598639456,0.19662442219199244,0.8893829601221613,13.334523052058211,96843
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.8540791869163513,4777,4777,729,4048,699,91367,0.1526062382248273,0.8473937617751727,0.5105042016806722,0.04242519519991616,0.4894957983193277,0.9575748048000838,0.9575748048000838,0.04932726165029997,0.014745515938167962,10.349331882637921,10.349331882637921,5.55281207133059,0.19662442219199244,0.8893829601221613,13.334523052058211,96843
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,23596,23596,1186,22410,264,84308,0.05026275639938973,0.9497372436006103,0.8179310344827586,0.20999269101744786,0.1820689655172414,0.7900073089825521,0.7900073089825521,0.21814214924931588,0.013405073589231566,3.7495322994546125,3.7495322994546125,18.895446880269816,0.16753308011593543,0.8836967812688419,12.497736696538277,108168
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8361452176052429,6022,6022,724,5298,726,101420,0.12022583859182996,0.87977416140817,0.4993103448275862,0.04964485841188928,0.5006896551724138,0.9503551415881107,0.9503551415881107,0.0556726573478293,0.013405073589231566,8.96868173020763,8.96868173020763,7.31767955801105,0.16753308011593543,0.8836967812688419,12.497736696538277,108168
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,default_0_50,0.5,19861,19861,1162,18699,266,76716,0.058506621016061626,0.9414933789839384,0.8137254901960784,0.19597547555415815,0.18627450980392157,0.8040245244458418,0.8040245244458418,0.20508451824086407,0.014745515938167962,3.9677567920577426,3.9677567920577426,16.092082616179002,0.20213883964133372,0.8896031210262233,13.708495551390534,96843
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.8361452176052429,5293,5293,782,4511,646,90904,0.14774230115246553,0.8522576988475344,0.5476190476190477,0.04727768170623067,0.4523809523809524,0.9527223182937693,0.9527223182937693,0.05465547329182285,0.014745515938167962,10.019473158619201,10.019473158619201,5.768542199488491,0.20213883964133372,0.8896031210262233,13.708495551390534,96843
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,74098,74098,1428,72670,22,34048,0.019271775216605037,0.9807282247833949,0.9848275862068966,0.6809535411083416,0.015172413793103448,0.3190464588916584,0.3190464588916584,0.6850269950447452,0.013405073589231566,1.4376478493998164,1.4376478493998164,50.88935574229692,0.16027061674518947,0.8864579416845298,11.955966946271486,108168
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9858097601700312,6078,6078,754,5324,696,101394,0.1240539651201053,0.8759460348798946,0.52,0.04988849116362751,0.48,0.9501115088363725,0.9501115088363725,0.05619037053472376,0.013405073589231566,9.254254689042448,9.254254689042448,7.061007957559681,0.16027061674518947,0.8864579416845298,11.955966946271486,108168
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,60880,60880,1391,59489,37,35926,0.022848226018396846,0.9771517739816031,0.9740896358543417,0.6234763926007442,0.025910364145658265,0.3765236073992559,0.3765236073992559,0.6286463657672728,0.014745515938167962,1.5495033279409003,1.5495033279409003,42.76707404744788,0.19421845133093996,0.8891076773422778,13.171356780281666,96843
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9858097601700312,4737,4737,739,3998,689,91417,0.15600591091408064,0.8439940890859193,0.5175070028011205,0.04190116857936383,0.48249299719887956,0.9580988314206361,0.9580988314206361,0.04891422198816641,0.014745515938167962,10.579888256759322,10.579888256759322,5.41001353179973,0.19421845133093996,0.8891076773422778,13.171356780281666,96843
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,62099,62099,1402,60697,48,46021,0.02257685308942173,0.9774231469105783,0.9668965517241379,0.5687606589328885,0.03310344827586207,0.4312393410671114,0.4312393410671114,0.5740976998742696,0.013405073589231566,1.6842020999838412,1.6842020999838412,43.29315263908702,0.16466955894233765,0.8873072506270151,12.284121966672261,108168
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9679363333021951,6061,6061,747,5314,703,101404,0.12324698894571853,0.8767530110542815,0.5151724137931034,0.0497947862591128,0.48482758620689653,0.9502052137408872,0.9502052137408872,0.056033207602987946,0.013405073589231566,9.19405537950378,9.19405537950378,7.113788487282463,0.16466955894233765,0.8873072506270151,12.284121966672261,108168
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,50047,50047,1364,48683,64,46732,0.027254380881970946,0.972745619118029,0.9551820728291317,0.5102237593669758,0.04481792717086835,0.48977624063302416,0.48977624063302416,0.5167848992699524,0.014745515938167962,1.8483165320397146,1.8483165320397146,35.691348973607035,0.19815951826934508,0.8907384900194946,13.438629011035145,96843
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9679363333021951,4640,4640,743,3897,685,91518,0.16012931034482758,0.8398706896551724,0.5203081232492998,0.040842634805848134,0.4796918767507003,0.9591573651941518,0.9591573651941518,0.04791260080749254,0.014745515938167962,10.859525771515502,10.859525771515502,5.244952893674293,0.19815951826934508,0.8907384900194946,13.438629011035145,96843
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,default_0_50,0.5,24929,24929,1222,23707,228,83011,0.04901921456937703,0.9509807854306229,0.8427586206896551,0.22214621713300475,0.15724137931034482,0.7778537828669952,0.7778537828669952,0.23046557207307153,0.013405073589231566,3.6567657941657754,3.6567657941657754,19.400163666121113,0.1643766129259146,0.8885420712402846,12.262268597910571,108168
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8424248266206245,6051,6051,730,5321,720,101397,0.12064121632787969,0.8793587836721203,0.503448275862069,0.049860379692273096,0.496551724137931,0.9501396203077269,0.9501396203077269,0.05594075881961393,0.013405073589231566,8.99966833638213,8.99966833638213,7.289041095890411,0.1643766129259146,0.8885420712402846,12.262268597910571,108168
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,default_0_50,0.5,19753,19753,1162,18591,266,76824,0.05882650736596973,0.9411734926340303,0.8137254901960784,0.19484357805376512,0.18627450980392157,0.8051564219462348,0.8051564219462348,0.2039693111531035,0.014745515938167962,3.989450597228716,3.989450597228716,15.999139414802066,0.1983263657676749,0.891382488644989,13.449944145685533,96843
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.8424248266206245,4904,4904,757,4147,671,91268,0.15436378466557912,0.8456362153344209,0.5301120448179272,0.043462767908609756,0.4698879551820728,0.9565372320913902,0.9565372320913902,0.05063866257757401,0.014745515938167962,10.468523808381429,10.468523808381429,5.478203434610304,0.1983263657676749,0.891382488644989,13.449944145685533,96843
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,12949,12949,959,11990,491,94728,0.07405977295544057,0.9259402270445595,0.6613793103448276,0.11235218051312806,0.3386206896551724,0.887647819486872,0.887647819486872,0.11971192959100659,0.013405073589231566,5.524756911064893,5.524756911064893,12.502606882168926,0.1543480393964942,0.8793229788336777,11.514150845131022,108168
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6399207700174234,6032,6032,706,5326,744,101392,0.11704244031830238,0.8829575596816976,0.4868965517241379,0.049907232144530446,0.5131034482758621,0.9500927678554696,0.9500927678554696,0.055765106131203314,0.013405073589231566,8.731204609896642,8.731204609896642,7.543909348441926,0.1543480393964942,0.8793229788336777,11.514150845131022,108168
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,default_0_50,0.5,9791,9791,941,8850,487,86565,0.0961086712286794,0.9038913287713206,0.6589635854341737,0.09275271183776136,0.34103641456582634,0.9072472881622387,0.9072472881622387,0.10110178329874127,0.014745515938167962,6.517823562884454,6.517823562884454,9.404888416578109,0.175278063239611,0.8800466002048254,11.886872183693031,96843
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.6399207700174234,4378,4378,662,3716,766,91699,0.15121059844677937,0.8487894015532207,0.4635854341736695,0.03894565843944872,0.5364145658263305,0.9610543415605513,0.9610543415605513,0.04520719102051775,0.014745515938167962,10.25468346315228,10.25468346315228,5.613293051359516,0.175278063239611,0.8800466002048254,11.886872183693031,96843
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,22422,22422,1146,21276,304,85442,0.051110516457051114,0.9488894835429489,0.7903448275862069,0.1993665548454806,0.2096551724137931,0.8006334451545194,0.8006334451545194,0.207288662081207,0.013405073589231566,3.8127740304319344,3.8127740304319344,18.56544502617801,0.15239497140127406,0.8757845071542079,11.368454666574491,108168
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7112674965400215,6017,6017,716,5301,734,101417,0.11899617749709157,0.8810038225029084,0.49379310344827587,0.04967296988324369,0.5062068965517241,0.9503270301167563,0.9503270301167563,0.055626432956142294,0.013405073589231566,8.876950708624413,8.876950708624413,7.403631284916201,0.15239497140127406,0.8757845071542079,11.368454666574491,108168
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,17633,17633,1107,16526,321,78889,0.06278001474508024,0.9372199852549198,0.7752100840336135,0.17320127862495416,0.22478991596638656,0.8267987213750458,0.8267987213750458,0.18207820906002498,0.014745515938167962,4.257566504172133,4.257566504172133,14.928635953026197,0.16907606614477613,0.8790468542916827,11.466269939536803,96843
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7112674965400215,4726,4726,688,4038,740,91377,0.1455776555226407,0.8544223444773593,0.48179271708683474,0.04232038987580569,0.5182072829131653,0.9576796101241943,0.9576796101241943,0.048800636081079686,0.014745515938167962,9.872672894803287,9.872672894803287,5.869186046511628,0.16907606614477613,0.8790468542916827,11.466269939536803,96843
