model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22669,22669,1196,21473,254,85245,0.052759274780537296,0.9472407252194627,0.8248275862068966,0.20121254146442025,0.17517241379310344,0.7987874585355798,0.7987874585355798,0.20957214703054508,0.013405073589231566,3.935769127214592,3.935769127214592,17.954013377926422,0.1771672128672742,0.8904671254114129,13.216429711329182,108168
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8010172247886658,6027,6027,747,5280,703,101438,0.12394225983076157,0.8760577401692384,0.5151724137931034,0.04947618958376281,0.48482758620689653,0.9505238104162372,0.9505238104162372,0.05571888173951631,0.013405073589231566,9.245921628533667,9.245921628533667,7.068273092369478,0.1771672128672742,0.8904671254114129,13.216429711329182,108168
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17817,17817,1151,16666,277,78749,0.06460122355054161,0.9353987764494583,0.8060224089635855,0.17466855316250066,0.19397759103641457,0.8253314468374994,0.8253314468374994,0.18397819150583936,0.014745515938167962,4.38107583494755,4.38107583494755,14.479582971329279,0.21211655703116133,0.8947012248278237,14.385156675468318,96843
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8010172247886658,4683,4683,755,3928,673,91487,0.1612214392483451,0.8387785607516549,0.5287114845938375,0.04116753131059058,0.47128851540616246,0.9588324686894094,0.9588324686894094,0.04835661844428611,0.014745515938167962,10.933590925159303,10.933590925159303,5.202649006622517,0.21211655703116133,0.8947012248278237,14.385156675468318,96843
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,21920,21920,1190,20730,260,85988,0.054288321167883215,0.9457116788321168,0.8206896551724138,0.19425026705897785,0.1793103448275862,0.8057497329410221,0.8057497329410221,0.20264773315583168,0.013405073589231566,4.049833878681097,4.049833878681097,17.42016806722689,0.18213381342128812,0.8908670159382348,13.586931262175098,108168
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7883990677182775,5970,5970,758,5212,692,101506,0.1269681742043551,0.8730318257956449,0.5227586206896552,0.048838996233062835,0.4772413793103448,0.9511610037669371,0.9511610037669371,0.055191923674284445,0.013405073589231566,9.471650667128747,9.471650667128747,6.875989445910291,0.18213381342128812,0.8908670159382348,13.586931262175098,108168
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17179,17179,1145,16034,283,79381,0.06665114383840735,0.9333488561615927,0.8018207282913166,0.16804485667871927,0.19817927170868346,0.8319551433212807,0.8319551433212807,0.17739020889480914,0.014745515938167962,4.520095744217706,4.520095744217706,14.00349344978166,0.21842211314344634,0.8958681308293375,14.812782005007545,96843
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.7883990677182775,4580,4580,750,3830,678,91585,0.16375545851528384,0.8362445414847162,0.5252100840336135,0.04014043913430802,0.47478991596638653,0.959859560865692,0.959859560865692,0.047293041314292204,0.014745515938167962,11.105441084730835,11.105441084730835,5.1066666666666665,0.21842211314344634,0.8958681308293375,14.812782005007545,96843
advanced_gate | LightGBM,advanced_gate,LightGBM,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22870,22870,1184,21686,266,85032,0.051770878880629645,0.9482291211193703,0.8165517241379311,0.2032084559305834,0.18344827586206897,0.7967915440694165,0.7967915440694165,0.2114303675763627,0.013405073589231566,3.8620361563861705,3.8620361563861705,18.31587837837838,0.16534290393790405,0.8854995343835608,12.334352574589795,108168
advanced_gate | LightGBM,advanced_gate,LightGBM,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8307763525608923,6066,6066,741,5325,709,101393,0.1221562809099901,0.8778437190900099,0.5110344827586207,0.04989786165407897,0.4889655172413793,0.950102138345921,0.950102138345921,0.05607943199467495,0.013405073589231566,9.112690064463317,9.112690064463317,7.186234817813765,0.16534290393790405,0.8854995343835608,12.334352574589795,108168
advanced_gate | LightGBM,advanced_gate,LightGBM,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,18389,18389,1139,17250,289,78165,0.06193920278427321,0.9380607972157268,0.7976190476190477,0.1807891840905518,0.20238095238095238,0.8192108159094482,0.8192108159094482,0.1898846586743492,0.014745515938167962,4.20054496865362,4.20054496865362,15.14486391571554,0.20772839734547338,0.8876539401590956,14.087563854431147,96843
