model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,0.8041242361068726,0.17778378776016537,0.8905983607457875,13.262425347890735,0.2126527605305548,0.8947077898391972,14.421520509846301,
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8010172247886658,0.1771672128672742,0.8904671254114129,13.216429711329182,0.21211655703116133,0.8947012248278237,14.385156675468318,
anomaly_recency_gate | XGBoost | recent_3_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_isolation_forest_anomaly_score,0.8065626621246338,0.17671594866748758,0.8882694319737937,13.182766024458479,0.2103897432182166,0.8923553910376182,14.268048951317752,
anomaly_recency_gate | XGBoost | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,0.8031774759292603,0.17658545597687775,0.8880417484430446,13.173031449728905,0.20072807530818498,0.8916114053439854,13.612821426519998,
anomaly_recency_gate | XGBoost | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,0.8050779700279236,0.17566899908451408,0.8897823816684773,13.104665029637047,0.20994471601076242,0.894423905389856,14.237868440217273,
anomaly_recency_gate | XGBoost | full_0_5_recency_weighted | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_isolation_forest_anomaly_score,0.807304859161377,0.17448787902329996,0.8903924070592751,13.016555102201593,0.2096095979189137,0.8943246889491006,14.215141660547172,
anomaly_recency_gate | Logistic Regression | recent_3_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_isolation_forest_anomaly_score,0.8895374137097527,0.17045320983434994,0.8854805284439622,12.715574345766871,0.19675574119397096,0.8881068562204529,13.343428742610456,
anomaly_recency_gate | LightGBM | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,0.830408820165483,0.16900062812569555,0.8840915438755442,12.607213753862231,0.20600009386313498,0.8870992939438522,13.97035510503332,
anomaly_recency_gate | LightGBM | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,0.8383197342951421,0.16869060458490712,0.8876755238265722,12.584086425338091,0.20550235478093312,0.8889820026947005,13.93659982076324,
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_isolation_forest_anomaly_score,0.8448844059681906,0.16868994508699722,0.885913470952449,12.584037227703666,0.19954114613661011,0.8878330339629432,13.532327181588048,
anomaly_recency_gate | Logistic Regression | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,0.8378833443398142,0.1682899031327555,0.8857490996251158,12.554194649699237,0.20024967317820028,0.888064508410921,13.580377520725804,
anomaly_recency_gate | LightGBM | full_0_5_recency_weighted | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_isolation_forest_anomaly_score,0.8296030808770752,0.16742798622146648,0.8871626930401811,12.48989683696799,0.2005139032445228,0.8870788246126938,13.59829687108496,
anomaly_recency_gate | LightGBM | full_0_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8307763525608923,0.16534290393790405,0.8854995343835608,12.334352574589795,0.20772839734547338,0.8876539401590956,14.087563854431147,
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,0.8187476838737613,0.16293689128364774,0.8847238581088024,12.15486734922042,0.19554547780106443,0.887712485822291,13.261352035496136,
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,0.8865081004929057,0.16289963992293993,0.883098691944157,12.152088449092805,0.1898742276857998,0.8874130787356602,12.876743579675008,
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8120249228561285,0.16229453105000458,0.8844870625838902,12.106948161804755,0.19533362410378746,0.8877064602500855,13.246984705240259,
