model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22669,22669,1196,21473,254,85245,0.052759274780537296,0.9472407252194627,0.8248275862068966,0.20121254146442025,0.17517241379310344,0.7987874585355798,0.7987874585355798,0.20957214703054508,0.013405073589231566,3.935769127214592,3.935769127214592,17.954013377926422,0.1771672128672742,0.8904671254114129,13.216429711329182,108168
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8010172247886658,6027,6027,747,5280,703,101438,0.12394225983076157,0.8760577401692384,0.5151724137931034,0.04947618958376281,0.48482758620689653,0.9505238104162372,0.9505238104162372,0.05571888173951631,0.013405073589231566,9.245921628533667,9.245921628533667,7.068273092369478,0.1771672128672742,0.8904671254114129,13.216429711329182,108168
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17817,17817,1151,16666,277,78749,0.06460122355054161,0.9353987764494583,0.8060224089635855,0.17466855316250066,0.19397759103641457,0.8253314468374994,0.8253314468374994,0.18397819150583936,0.014745515938167962,4.38107583494755,4.38107583494755,14.479582971329279,0.21211655703116133,0.8947012248278237,14.385156675468318,96843
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8010172247886658,4683,4683,755,3928,673,91487,0.1612214392483451,0.8387785607516549,0.5287114845938375,0.04116753131059058,0.47128851540616246,0.9588324686894094,0.9588324686894094,0.04835661844428611,0.014745515938167962,10.933590925159303,10.933590925159303,5.202649006622517,0.21211655703116133,0.8947012248278237,14.385156675468318,96843
anomaly_recency_gate | LightGBM | full_0_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22870,22870,1184,21686,266,85032,0.051770878880629645,0.9482291211193703,0.8165517241379311,0.2032084559305834,0.18344827586206897,0.7967915440694165,0.7967915440694165,0.2114303675763627,0.013405073589231566,3.8620361563861705,3.8620361563861705,18.31587837837838,0.16534290393790405,0.8854995343835608,12.334352574589795,108168
anomaly_recency_gate | LightGBM | full_0_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8307763525608923,6066,6066,741,5325,709,101393,0.1221562809099901,0.8778437190900099,0.5110344827586207,0.04989786165407897,0.4889655172413793,0.950102138345921,0.950102138345921,0.05607943199467495,0.013405073589231566,9.112690064463317,9.112690064463317,7.186234817813765,0.16534290393790405,0.8854995343835608,12.334352574589795,108168
anomaly_recency_gate | LightGBM | full_0_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,18389,18389,1139,17250,289,78165,0.06193920278427321,0.9380607972157268,0.7976190476190477,0.1807891840905518,0.20238095238095238,0.8192108159094482,0.8192108159094482,0.1898846586743492,0.014745515938167962,4.20054496865362,4.20054496865362,15.14486391571554,0.20772839734547338,0.8876539401590956,14.087563854431147,96843
anomaly_recency_gate | LightGBM | full_0_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8307763525608923,4863,4863,757,4106,671,91309,0.1556652272259922,0.8443347727740078,0.5301120448179272,0.04303306607975685,0.4698879551820728,0.9569669339202431,0.9569669339202431,0.05021529692388712,0.014745515938167962,10.556784033786247,10.556784033786247,5.424042272126816,0.20772839734547338,0.8876539401590956,14.087563854431147,96843
anomaly_recency_gate | Random Forest | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,11615,11615,908,10707,542,96011,0.07817477399913904,0.9218252260008609,0.6262068965517241,0.10032984126389176,0.3737931034482759,0.8996701587361082,0.8996701587361082,0.10737926188891354,0.013405073589231566,5.83173031306129,5.83173031306129,11.791850220264317,0.15081675746983647,0.8758644212817409,11.250722084136049,108168
anomaly_recency_gate | Random Forest | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.633806720694684,6003,6003,695,5308,755,101410,0.11577544561052806,0.8842245543894719,0.4793103448275862,0.04973856331640398,0.5206896551724138,0.950261436683596,0.950261436683596,0.05549700465941868,0.013405073589231566,8.636688552275585,8.636688552275585,7.637410071942446,0.15081675746983647,0.8758644212817409,11.250722084136049,108168
anomaly_recency_gate | Random Forest | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,8814,8814,882,7932,546,87483,0.10006807351940095,0.899931926480599,0.6176470588235294,0.08313158308442069,0.38235294117647056,0.9168684169155793,0.9168684169155793,0.09101328955112915,0.014745515938167962,6.786339246386096,6.786339246386096,8.993197278911564,0.1735993410436421,0.8751938641620248,11.77302589964246,96843
anomaly_recency_gate | Random Forest | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.633806720694684,4361,4361,654,3707,774,91708,0.1499656042192158,0.8500343957807842,0.4579831932773109,0.03885133364774931,0.542016806722689,0.9611486663522507,0.9611486663522507,0.04503164916411098,0.014745515938167962,10.170251407143917,10.170251407143917,5.6681957186544345,0.1735993410436421,0.8751938641620248,11.77302589964246,96843
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,21857,21857,1166,20691,284,86027,0.05334675390035229,0.9466532460996477,0.8041379310344827,0.19388481793137052,0.19586206896551725,0.8061151820686294,0.8061151820686294,0.2020653058205754,0.013405073589231566,3.979594259236763,3.979594259236763,17.745283018867923,0.16229453105000458,0.8844870625838902,12.106948161804755,108168
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8120249228561285,6065,6065,730,5335,720,101383,0.12036273701566365,0.8796372629843363,0.503448275862069,0.04999156655859368,0.496551724137931,0.9500084334414063,0.9500084334414063,0.05607018711633755,0.013405073589231566,8.978894163800211,8.978894163800211,7.308219178082192,0.16229453105000458,0.8844870625838902,12.106948161804755,108168
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17406,17406,1127,16279,301,79136,0.06474778811903942,0.9352522118809605,0.7892156862745098,0.17061258711942567,0.2107843137254902,0.8293874128805744,0.8293874128805744,0.17973420897741704,0.014745515938167962,4.391015437543511,4.391015437543511,14.444543034605147,0.19533362410378746,0.8877064602500855,13.246984705240259,96843
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8120249228561285,4739,4739,711,4028,717,91387,0.15003165224730955,0.8499683477526905,0.49789915966386555,0.042215584551695225,0.5021008403361344,0.9577844154483047,0.9577844154483047,0.04893487397127309,0.014745515938167962,10.17473060125084,10.17473060125084,5.665260196905766,0.19533362410378746,0.8877064602500855,13.246984705240259,96843
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,default_0_50,0.5,22781,22781,1202,21579,248,85139,0.05276326763531013,0.9472367323646899,0.8289655172413793,0.2022058134522761,0.17103448275862068,0.7977941865477239,0.7977941865477239,0.210607573404334,0.013405073589231566,3.936066988673259,3.936066988673259,17.952579034941763,0.17778378776016537,0.8905983607457875,13.262425347890735,108168
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,valid_global_5pct_fpr,0.8041242361068726,6030,6030,753,5277,697,101441,0.12487562189054727,0.8751243781094528,0.5193103448275862,0.0494480781124084,0.4806896551724138,0.9505519218875916,0.9505519218875916,0.05574661637452851,0.013405073589231566,9.315549150797736,9.315549150797736,7.00796812749004,0.17778378776016537,0.8905983607457875,13.262425347890735,108168
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,default_0_50,0.5,18545,18545,1161,17384,267,78031,0.06260447559989216,0.9373955244001079,0.8130252100840336,0.18219357543363202,0.1869747899159664,0.817806424566368,0.817806424566368,0.19149551335667006,0.014745515938167962,4.245661926134703,4.245661926134703,14.973298880275625,0.2126527605305548,0.8947077898391972,14.421520509846301,96843
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_global_5pct_fpr,0.8041242361068726,4924,4924,782,4142,646,91273,0.15881397238017872,0.8411860276198213,0.5476190476190477,0.043410365246554526,0.4523809523809524,0.9565896347534455,0.9565896347534455,0.05084518240864079,0.014745515938167962,10.770323198328885,10.770323198328885,5.296675191815857,0.2126527605305548,0.8947077898391972,14.421520509846301,96843
anomaly_recency_gate | LightGBM | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,default_0_50,0.5,23459,23459,1197,22262,253,84456,0.051025192889722494,0.9489748071102775,0.8255172413793104,0.20860585843063026,0.17448275862068965,0.7913941415693697,0.7913941415693697,0.21687560091709193,0.013405073589231566,3.8064090099968984,3.8064090099968984,18.598162071846282,0.16869060458490712,0.8876755238265722,12.584086425338091,108168
anomaly_recency_gate | LightGBM | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,valid_global_5pct_fpr,0.8383197342951421,6027,6027,744,5283,706,101435,0.12344449975111996,0.8765555002488801,0.5131034482758621,0.049504301055117224,0.4868965517241379,0.9504956989448827,0.9504956989448827,0.05571888173951631,0.013405073589231566,9.20878941315803,9.20878941315803,7.100806451612903,0.16869060458490712,0.8876755238265722,12.584086425338091,108168
anomaly_recency_gate | LightGBM | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,default_0_50,0.5,19376,19376,1156,18220,272,77195,0.05966143682906689,0.9403385631709331,0.8095238095238095,0.19095530052926687,0.19047619047619047,0.8090446994707331,0.8090446994707331,0.2000764123374947,0.014745515938167962,4.046073198065353,4.046073198065353,15.761245674740485,0.20550235478093312,0.8889820026947005,13.93659982076324,96843
anomaly_recency_gate | LightGBM | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_global_5pct_fpr,0.8383197342951421,5172,5172,777,4395,651,91020,0.1502320185614849,0.8497679814385151,0.5441176470588235,0.046061939946549287,0.45588235294117646,0.9539380600534507,0.9539380600534507,0.05340602831386884,0.014745515938167962,10.188318889040534,10.188318889040534,5.656370656370656,0.20550235478093312,0.8889820026947005,13.93659982076324,96843
anomaly_recency_gate | Random Forest | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,default_0_50,0.5,11578,11578,909,10669,541,96049,0.07851096907928831,0.9214890309207117,0.6268965517241379,0.09997376262673588,0.37310344827586206,0.9000262373732641,0.9000262373732641,0.1070372013904297,0.013405073589231566,5.8568100023230745,5.8568100023230745,11.737073707370737,0.1508685636862065,0.8757293763583174,11.254586756420402,108168
anomaly_recency_gate | Random Forest | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,valid_global_5pct_fpr,0.6334813209992586,6007,6007,679,5328,771,101390,0.11303479274180123,0.8869652072581988,0.46827586206896554,0.049925973125433384,0.5317241379310345,0.9500740268745667,0.9500740268745667,0.05553398417276829,0.013405073589231566,8.432239628479417,8.432239628479417,7.846833578792341,0.1508685636862065,0.8757293763583174,11.254586756420402,108168
anomaly_recency_gate | Random Forest | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,default_0_50,0.5,8999,8999,887,8112,541,87303,0.09856650738970997,0.90143349261029,0.6211484593837535,0.08501807891840905,0.3788515406162465,0.9149819210815909,0.9149819210815909,0.09292359798849685,0.014745515938167962,6.6845071954773685,6.6845071954773685,9.14543404735062,0.17403266132437545,0.8745885547008198,11.802412479437319,96843
anomaly_recency_gate | Random Forest | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_global_5pct_fpr,0.6334813209992586,4452,4452,650,3802,778,91613,0.14600179694519316,0.8539982030548068,0.45518207282913165,0.03984698422679872,0.5448179271708683,0.9601530157732012,0.9601530157732012,0.04597131439546483,0.014745515938167962,9.901436989890295,9.901436989890295,5.849230769230769,0.17403266132437545,0.8745885547008198,11.802412479437319,96843
anomaly_recency_gate | Logistic Regression | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,default_0_50,0.5,24407,24407,1202,23205,248,83513,0.0492481665096079,0.950751833490392,0.8289655172413793,0.2174422309263667,0.17103448275862068,0.7825577690736333,0.7825577690736333,0.22563974558094815,0.013405073589231566,3.673845293111219,3.673845293111219,19.30532445923461,0.1682899031327555,0.8857490996251158,12.554194649699237,108168
