model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,default_0_50,0.5,26230,26230,1153,25077,297,81641,0.043957300800609986,0.95604269919939,0.7951724137931034,0.23498378905151895,0.20482758620689656,0.765016210948481,0.765016210948481,0.24249315879003033,0.013405073589231566,3.27915400896578,3.27915400896578,21.749349522983522,0.11668308310996305,0.8537636316402042,8.704397057819643,108168
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7899912468083704,5956,5956,629,5327,821,101391,0.10560779046339826,0.8943922095366017,0.4337931034482759,0.04991660263498191,0.5662068965517242,0.9500833973650181,0.9500833973650181,0.05506249537756083,0.013405073589231566,7.8781955026516295,7.8781955026516295,8.468998410174882,0.11668308310996305,0.8537636316402042,8.704397057819643,108168
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,test,default_0_50,0.5,19782,19782,1102,18680,326,76735,0.055707208573450614,0.9442927914265494,0.7717086834733894,0.19577634543834826,0.22829131652661064,0.8042236545616517,0.8042236545616517,0.2042687649081503,0.014745515938167962,3.777908403276385,3.777908403276385,16.950998185117967,0.13352019678726806,0.8586042015192075,9.054969480020588,96843
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,test,valid_global_5pct_fpr,0.7899912468083704,5029,5029,618,4411,810,91004,0.1228872539272221,0.8771127460727779,0.4327731092436975,0.04622962846512603,0.5672268907563025,0.953770371534874,0.953770371534874,0.051929411521741374,0.014745515938167962,8.333872781564406,8.333872781564406,7.1375404530744335,0.13352019678726806,0.8586042015192075,9.054969480020588,96843
imbalance_ensemble_gate | EasyEnsemble | validation_selected,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,search_max_samples_0_5_max_features_0_5,train_sample_temporal_validation_selected,without_anomaly_scores,validation,default_0_50,0.5,24301,24301,1146,23155,304,83563,0.04715855314596107,0.9528414468540389,0.7903448275862069,0.21697370640379318,0.2096551724137931,0.7830262935962068,0.7830262935962068,0.22465978847718365,0.013405073589231566,3.5179630184084942,3.5179630184084942,20.205061082024432,0.12852257978147982,0.8637468293814636,9.587607179174558,108168
imbalance_ensemble_gate | EasyEnsemble | validation_selected,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,search_max_samples_0_5_max_features_0_5,train_sample_temporal_validation_selected,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6997146023667044,5990,5990,655,5335,795,101383,0.10934891485809682,0.8906510851419032,0.4517241379310345,0.04999156655859368,0.5482758620689655,0.9500084334414063,0.9500084334414063,0.05537682124103247,0.013405073589231566,8.157278222324564,8.157278222324564,8.145038167938932,0.12852257978147982,0.8637468293814636,9.587607179174558,108168
imbalance_ensemble_gate | EasyEnsemble | validation_selected,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,search_max_samples_0_5_max_features_0_5,train_sample_temporal_validation_selected,without_anomaly_scores,test,default_0_50,0.5,18955,18955,1111,17844,317,77571,0.05861250329728304,0.9413874967027169,0.7780112044817927,0.1870146203427134,0.22198879551820727,0.8129853796572866,0.8129853796572866,0.19572916989353903,0.014745515938167962,3.974937434747046,3.974937434747046,16.061206120612063,0.14484617919065387,0.8687931578856979,9.823066198431718,96843
imbalance_ensemble_gate | EasyEnsemble | validation_selected,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,search_max_samples_0_5_max_features_0_5,train_sample_temporal_validation_selected,without_anomaly_scores,test,valid_global_5pct_fpr,0.6997146023667044,4994,4994,650,4344,778,91071,0.1301561874249099,0.8698438125750901,0.45518207282913165,0.04552743279358591,0.5448179271708683,0.954472567206414,0.954472567206414,0.05156800181737451,0.014745515938167962,8.826831693830917,8.826831693830917,6.683076923076923,0.14484617919065387,0.8687931578856979,9.823066198431718,96843
imbalance_ensemble_gate | Balance Cascade | default,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,default_0_50,0.5,88360,88360,1173,87187,277,19531,0.013275237664101403,0.9867247623358986,0.8089655172413793,0.8169849509923349,0.1910344827586207,0.18301504900766505,0.18301504900766505,0.8168774498927595,0.013405073589231566,0.9903144190693245,0.9903144190693245,74.32821824381926,0.016103227257384937,0.45617993862005635,1.201278542052975,108168
imbalance_ensemble_gate | Balance Cascade | default,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6579119809738087,5417,5417,118,5299,1332,101419,0.021783274875392285,0.9782167251246077,0.08137931034482758,0.049654228902340745,0.9186206896551724,0.9503457710976593,0.9503457710976593,0.05007950595370165,0.013405073589231566,1.6250022598078846,1.6250022598078846,44.90677966101695,0.016103227257384937,0.45617993862005635,1.201278542052975,108168
imbalance_ensemble_gate | Balance Cascade | default,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,test,default_0_50,0.5,77044,77044,1145,75899,283,19516,0.014861637505840818,0.9851383624941592,0.8018207282913166,0.7954619294660169,0.19817927170868346,0.20453807053398312,0.20453807053398312,0.795555693235443,0.014745515938167962,1.0078750427017804,1.0078750427017804,66.28733624454148,0.018788139353833437,0.4532983475840685,1.2741595094140696,96843
