model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,catboost_native_advanced_features,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,validation,default_0_50,0.5,21633,21633,1153,20480,297,86238,0.053298201821291545,0.9467017981787085,0.7951724137931034,0.1919076444461103,0.20482758620689656,0.8080923555538897,0.8080923555538897,0.19999445307299757,0.013405073589231566,3.9759723411072163,3.9759723411072163,17.762359063313095,0.1768102684908024,0.884682130345461,13.189802153181457,108168
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,catboost_native_advanced_features,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7830256588352915,6070,6070,743,5327,707,101391,0.12240527182866556,0.8775947281713344,0.5124137931034483,0.04991660263498191,0.48758620689655174,0.9500833973650181,0.9500833973650181,0.05611641150802455,0.013405073589231566,9.131264443560756,9.131264443560756,7.169582772543742,0.1768102684908024,0.884682130345461,13.189802153181457,108168
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,catboost_native_advanced_features,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,default_0_50,0.5,16691,16691,1118,15573,310,79842,0.06698220597927027,0.9330177940207297,0.7829131652661064,0.16321333123722684,0.21708683473389356,0.8367866687627732,0.8367866687627732,0.17235112501677974,0.014745515938167962,4.542547460539545,4.542547460539545,13.929338103756708,0.2085167977397625,0.8906960027631028,14.141030982851415,96843
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,catboost_native_advanced_features,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,valid_global_5pct_fpr,0.7830256588352915,4596,4596,734,3862,694,91553,0.15970409051349,0.84029590948651,0.5140056022408963,0.04047581617146151,0.48599439775910364,0.9595241838285384,0.9595241838285384,0.047458257179145626,0.014745515938167962,10.830688541735233,10.830688541735233,5.26158038147139,0.2085167977397625,0.8906960027631028,14.141030982851415,96843
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,validation,default_0_50,0.5,29268,29268,1272,27996,178,78722,0.043460434604346045,0.956539565395654,0.8772413793103448,0.26233625067936056,0.12275862068965518,0.7376637493206395,0.7376637493206395,0.2705790991790548,0.013405073589231566,3.2420884760571744,3.2420884760571744,22.00943396226415,0.1821581073934377,0.8932808251977012,13.588743558988531,108168
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8851956725120544,6048,6048,755,5293,695,101425,0.12483465608465609,0.875165343915344,0.5206896551724138,0.04959800595963193,0.4793103448275862,0.9504019940403681,0.9504019940403681,0.05591302418460173,0.013405073589231566,9.312493158182813,9.312493158182813,7.010596026490067,0.1821581073934377,0.8932808251977012,13.588743558988531,108168
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,default_0_50,0.5,24910,24910,1237,23673,191,71742,0.049658771577679645,0.9503412284223204,0.8662464985994398,0.24810564376670335,0.13375350140056022,0.7518943562332967,0.7518943562332967,0.25722044959367224,0.014745515938167962,3.3677201791997406,3.3677201791997406,19.137429264349233,0.2158883374343947,0.8951811422048251,14.640948362856504,96843
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,valid_global_5pct_fpr,0.8851956725120544,5056,5056,790,4266,638,91149,0.15625,0.84375,0.5532212885154062,0.04470995126552429,0.44677871148459386,0.9552900487344758,0.9552900487344758,0.05220821329368153,0.014745515938167962,10.596441701680673,10.596441701680673,5.4,0.2158883374343947,0.8951811422048251,14.640948362856504,96843
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,validation,default_0_50,0.5,29758,29758,1247,28511,203,78207,0.041904697896364,0.958095302103636,0.86,0.2671620532618677,0.14,0.7328379467381323,0.7328379467381323,0.27510908956438135,0.013405073589231566,3.126032663485449,3.126032663485449,22.863672814755414,0.16624358225414038,0.8801193735859444,12.401541934666108,108168
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9111625673693503,6058,6058,732,5326,718,101392,0.12083195774182899,0.879168042258171,0.5048275862068966,0.049907232144530446,0.49517241379310345,0.9500927678554696,0.9500927678554696,0.05600547296797574,0.013405073589231566,9.013897382771143,9.013897382771143,7.275956284153006,0.16624358225414038,0.8801193735859444,12.401541934666108,108168
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,default_0_50,0.5,23830,23830,1179,22651,249,72764,0.04947545111204364,0.9505245488879563,0.8256302521008403,0.23739453964261384,0.17436974789915966,0.7626054603573862,0.7626054603573862,0.2460683787160662,0.014745515938167962,3.355287893587985,3.355287893587985,19.212044105173877,0.19285128399334023,0.875402799593872,13.078639282750034,96843
