model,stage,model_family,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc,validation_precision_top0_5pct,validation_fdr_top0_5pct,validation_recall_top0_5pct,validation_lift_top0_5pct,validation_fp_per_tp_top0_5pct,validation_captured_frauds_top0_5pct,validation_precision_top1pct,validation_fdr_top1pct,validation_recall_top1pct,validation_lift_top1pct,validation_fp_per_tp_top1pct,validation_captured_frauds_top1pct,validation_precision_top5pct,validation_fdr_top5pct,validation_recall_top5pct,validation_lift_top5pct,validation_fp_per_tp_top5pct,validation_captured_frauds_top5pct,test_precision_top0_5pct,test_fdr_top0_5pct,test_recall_top0_5pct,test_lift_top0_5pct,test_fp_per_tp_top0_5pct,test_captured_frauds_top0_5pct,test_precision_top1pct,test_fdr_top1pct,test_recall_top1pct,test_lift_top1pct,test_fp_per_tp_top1pct,test_captured_frauds_top1pct,test_precision_top5pct,test_fdr_top5pct,test_recall_top5pct,test_lift_top5pct,test_fp_per_tp_top5pct,test_captured_frauds_top5pct,threshold_selection_split,fpr_cap,selected_threshold,validation_threshold_threshold,validation_threshold_alerts,validation_threshold_alert_count,validation_threshold_tp,validation_threshold_fp,validation_threshold_fn,validation_threshold_tn,validation_threshold_precision,validation_threshold_fdr,validation_threshold_recall_tpr,validation_threshold_fpr,validation_threshold_fnr,validation_threshold_tnr,validation_threshold_specificity_tnr,validation_threshold_alert_rate,validation_threshold_fraud_prevalence,validation_threshold_lift,validation_threshold_precision_lift,validation_threshold_fp_per_tp,validation_threshold_pr_auc,validation_threshold_roc_auc,validation_threshold_pr_auc_lift,validation_threshold_n_obs,test_threshold_threshold,test_threshold_alerts,test_threshold_alert_count,test_threshold_tp,test_threshold_fp,test_threshold_fn,test_threshold_tn,test_threshold_precision,test_threshold_fdr,test_threshold_recall_tpr,test_threshold_fpr,test_threshold_fnr,test_threshold_tnr,test_threshold_specificity_tnr,test_threshold_alert_rate,test_threshold_fraud_prevalence,test_threshold_lift,test_threshold_precision_lift,test_threshold_fp_per_tp,test_threshold_pr_auc,test_threshold_roc_auc,test_threshold_pr_auc_lift,test_threshold_n_obs,test_fprcap_0.005_housing_status_fpr_gap,test_fprcap_0.005_housing_status_alert_rate_gap,test_fprcap_0.005_customer_age_group_fpr_gap,test_fprcap_0.005_customer_age_group_alert_rate_gap,test_fprcap_0.005_income_group_fpr_gap,test_fprcap_0.005_income_group_alert_rate_gap,test_fprcap_0.005_employment_status_fpr_gap,test_fprcap_0.005_employment_status_alert_rate_gap,test_fprcap_0.005_max_fpr_gap,test_fprcap_0.005_max_alert_rate_gap,test_fprcap_0.01_housing_status_fpr_gap,test_fprcap_0.01_housing_status_alert_rate_gap,test_fprcap_0.01_customer_age_group_fpr_gap,test_fprcap_0.01_customer_age_group_alert_rate_gap,test_fprcap_0.01_income_group_fpr_gap,test_fprcap_0.01_income_group_alert_rate_gap,test_fprcap_0.01_employment_status_fpr_gap,test_fprcap_0.01_employment_status_alert_rate_gap,test_fprcap_0.01_max_fpr_gap,test_fprcap_0.01_max_alert_rate_gap,test_fprcap_0.05_housing_status_fpr_gap,test_fprcap_0.05_housing_status_alert_rate_gap,test_fprcap_0.05_customer_age_group_fpr_gap,test_fprcap_0.05_customer_age_group_alert_rate_gap,test_fprcap_0.05_income_group_fpr_gap,test_fprcap_0.05_income_group_alert_rate_gap,test_fprcap_0.05_employment_status_fpr_gap,test_fprcap_0.05_employment_status_alert_rate_gap,test_fprcap_0.05_max_fpr_gap,test_fprcap_0.05_max_alert_rate_gap
baseline | CatBoost,baseline_search,CatBoost,0.1802422480866976,0.8914777069569751,0.21770910131858748,0.8966794546776421,0.3567467652495379,0.643253234750462,0.13310344827586207,26.612816623111733,1.8031088082901554,193,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,298,0.13385098909225365,0.8661490109077463,0.4993103448275862,9.985099164228203,6.470994475138122,724,0.40824742268041236,0.5917525773195876,0.13865546218487396,27.686208091484016,1.4494949494949494,198,0.31991744066047473,0.6800825593395252,0.21708683473389356,21.695913659581482,2.1258064516129034,310,0.15981829444559156,0.8401817055544084,0.542016806722689,10.838433535710381,5.257105943152455,774,validation,0.005,0.9428533879848184,0.9428533879848184,771,771,241,530,1209,106188,0.3125810635538262,0.6874189364461738,0.16620689655172413,0.004966359939279222,0.8337931034482758,0.9950336400607208,0.9950336400607208,0.007127801198136233,0.013405073589231566,23.318116194820877,23.318116194820877,2.199170124481328,0.1802422480866976,0.8914777069569751,13.445823097270278,108168,0.9428533879848184,625,625,234,391,1194,95024,0.3744,0.6255999999999999,0.1638655462184874,0.004097888172719174,0.8361344537815126,0.9959021118272808,0.9959021118272808,0.006453744720836818,0.014745515938167962,25.39076974789916,25.39076974789916,1.670940170940171,0.21770910131858748,0.8966794546776421,14.764427520305299,96843,0.019581031559372096,0.029871754770096966,0.022007842767158625,0.036548645016726757,0.004830112045108303,0.0074461736576372645,0.007336084364970197,0.010596026490066225,0.022007842767158625,0.036548645016726757,,,,,,,,,,,,,,,,,,,,
baseline | CatBoost,baseline_search,CatBoost,0.1802422480866976,0.8914777069569751,0.21770910131858748,0.8966794546776421,0.3567467652495379,0.643253234750462,0.13310344827586207,26.612816623111733,1.8031088082901554,193,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,298,0.13385098909225365,0.8661490109077463,0.4993103448275862,9.985099164228203,6.470994475138122,724,0.40824742268041236,0.5917525773195876,0.13865546218487396,27.686208091484016,1.4494949494949494,198,0.31991744066047473,0.6800825593395252,0.21708683473389356,21.695913659581482,2.1258064516129034,310,0.15981829444559156,0.8401817055544084,0.542016806722689,10.838433535710381,5.257105943152455,774,validation,0.01,0.9173094781092728,0.9173094781092728,1407,1407,346,1061,1104,105657,0.2459132906894101,0.7540867093105899,0.2386206896551724,0.009942090369009914,0.7613793103448275,0.99005790963099,0.99005790963099,0.013007543820723319,0.013405073589231566,18.344792294684215,18.344792294684215,3.066473988439306,0.1802422480866976,0.8914777069569751,13.445823097270278,108168,0.9173094781092728,1148,1148,355,793,1073,94622,0.30923344947735193,0.6907665505226481,0.24859943977591037,0.00831106220195986,0.7514005602240896,0.9916889377980401,0.9916889377980401,0.011854238303233068,0.014745515938167962,20.9713550054168,20.9713550054168,2.2338028169014086,0.21770910131858748,0.8966794546776421,14.764427520305299,96843,,,,,,,,,,,0.03910736749986326,0.05343551245959754,0.03957300355477474,0.06013915819681206,0.009512490390090026,0.013243014018146405,0.013755158184319119,0.02163355408388521,0.03957300355477474,0.06013915819681206,,,,,,,,,,
baseline | CatBoost,baseline_search,CatBoost,0.1802422480866976,0.8914777069569751,0.21770910131858748,0.8966794546776421,0.3567467652495379,0.643253234750462,0.13310344827586207,26.612816623111733,1.8031088082901554,193,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,298,0.13385098909225365,0.8661490109077463,0.4993103448275862,9.985099164228203,6.470994475138122,724,0.40824742268041236,0.5917525773195876,0.13865546218487396,27.686208091484016,1.4494949494949494,198,0.31991744066047473,0.6800825593395252,0.21708683473389356,21.695913659581482,2.1258064516129034,310,0.15981829444559156,0.8401817055544084,0.542016806722689,10.838433535710381,5.257105943152455,774,validation,0.05,0.7874011234264661,0.7874011234264661,6083,6083,761,5322,689,101396,0.1251027453559099,0.8748972546440901,0.5248275862068965,0.04986975018272456,0.47517241379310343,0.9501302498172755,0.9501302498172755,0.05623659492641077,0.013405073589231566,9.332492248040042,9.332492248040042,6.993429697766097,0.1802422480866976,0.8914777069569751,13.445823097270278,108168,0.7874011234264661,4695,4695,763,3932,665,91483,0.16251331203407882,0.8374866879659212,0.5343137254901961,0.041209453440234765,0.46568627450980393,0.9587905465597653,0.9587905465597653,0.04848053034292618,0.014745515938167962,11.0212021549834,11.0212021549834,5.153342070773263,0.21770910131858748,0.8966794546776421,14.764427520305299,96843,,,,,,,,,,,,,,,,,,,,,0.16775146310780506,0.1916901261599416,0.1373865388012496,0.16865690665520683,0.0407408906149128,0.047158287946666266,0.07031606610243739,0.09000142773988776,0.16775146310780506,0.1916901261599416
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,0.1768102684908024,0.884682130345461,0.2085167977397625,0.8906960027631028,0.34935304990757854,0.6506469500924215,0.13034482758620689,26.061255656829623,1.8624338624338623,189,0.266173752310536,0.7338262476894639,0.1986206896551724,19.856194786155903,2.7569444444444446,288,0.13163246441116658,0.8683675355888334,0.4910344827586207,9.819600283053148,6.59691011235955,712,0.3917525773195876,0.6082474226804124,0.1330532212885154,26.567573421121025,1.5526315789473684,190,0.31475748194014447,0.6852425180598556,0.21358543417366946,21.345979568297906,2.177049180327869,305,0.15506917200082593,0.8449308279991741,0.5259103641456583,10.516361221341727,5.448735019973369,751,validation,0.005,0.9445915269356422,0.9445915269356422,745,745,236,509,1214,106209,0.3167785234899329,0.683221476510067,0.16275862068965516,0.0047695796397983475,0.8372413793103448,0.9952304203602017,0.9952304203602017,0.006887434361363805,0.013405073589231566,23.631240916454527,23.631240916454527,2.156779661016949,0.1768102684908024,0.884682130345461,13.189802153181457,108168,0.9445915269356422,625,625,231,394,1197,95021,0.3696,0.6304000000000001,0.16176470588235295,0.004129329769952314,0.8382352941176471,0.9958706702300477,0.9958706702300477,0.006453744720836818,0.014745515938167962,25.06524705882353,25.06524705882353,1.7056277056277056,0.2085167977397625,0.8906960027631028,14.141030982851415,96843,0.018651206038396324,0.02835992075904494,0.023764358845920236,0.03926788362991506,0.0052321498544703965,0.007971533711418092,0.005502063273727648,0.009713024282560706,0.023764358845920236,0.03926788362991506,,,,,,,,,,,,,,,,,,,,
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,0.1768102684908024,0.884682130345461,0.2085167977397625,0.8906960027631028,0.34935304990757854,0.6506469500924215,0.13034482758620689,26.061255656829623,1.8624338624338623,189,0.266173752310536,0.7338262476894639,0.1986206896551724,19.856194786155903,2.7569444444444446,288,0.13163246441116658,0.8683675355888334,0.4910344827586207,9.819600283053148,6.59691011235955,712,0.3917525773195876,0.6082474226804124,0.1330532212885154,26.567573421121025,1.5526315789473684,190,0.31475748194014447,0.6852425180598556,0.21358543417366946,21.345979568297906,2.177049180327869,305,0.15506917200082593,0.8449308279991741,0.5259103641456583,10.516361221341727,5.448735019973369,751,validation,0.01,0.9168682487712824,0.9168682487712824,1416,1416,350,1066,1100,105652,0.24717514124293785,0.7528248587570622,0.2413793103448276,0.009988942821267265,0.7586206896551724,0.9900110571787327,0.9900110571787327,0.01309074772575993,0.013405073589231566,18.438924605493863,18.438924605493863,3.045714285714286,0.1768102684908024,0.884682130345461,13.189802153181457,108168,0.9168682487712824,1137,1137,350,787,1078,94628,0.30782761653474056,0.6921723834652594,0.24509803921568626,0.00824817900749358,0.7549019607843137,0.9917518209925065,0.9917518209925065,0.01174065239614634,0.014745515938167962,20.876015313777227,20.876015313777227,2.2485714285714287,0.2085167977397625,0.8906960027631028,14.141030982851415,96843,,,,,,,,,,,0.03544276103484111,0.04905640704827442,0.04071753696941539,0.059250606423530014,0.009693205320989998,0.01344049383625478,0.012838147638697846,0.02075055187637969,0.04071753696941539,0.059250606423530014,,,,,,,,,,
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,0.1768102684908024,0.884682130345461,0.2085167977397625,0.8906960027631028,0.34935304990757854,0.6506469500924215,0.13034482758620689,26.061255656829623,1.8624338624338623,189,0.266173752310536,0.7338262476894639,0.1986206896551724,19.856194786155903,2.7569444444444446,288,0.13163246441116658,0.8683675355888334,0.4910344827586207,9.819600283053148,6.59691011235955,712,0.3917525773195876,0.6082474226804124,0.1330532212885154,26.567573421121025,1.5526315789473684,190,0.31475748194014447,0.6852425180598556,0.21358543417366946,21.345979568297906,2.177049180327869,305,0.15506917200082593,0.8449308279991741,0.5259103641456583,10.516361221341727,5.448735019973369,751,validation,0.05,0.7830256588352915,0.7830256588352915,6070,6070,743,5327,707,101391,0.12240527182866556,0.8775947281713344,0.5124137931034483,0.04991660263498191,0.48758620689655174,0.9500833973650181,0.9500833973650181,0.05611641150802455,0.013405073589231566,9.131264443560756,9.131264443560756,7.169582772543742,0.1768102684908024,0.884682130345461,13.189802153181457,108168,0.7830256588352915,4596,4596,734,3862,694,91553,0.15970409051349,0.84029590948651,0.5140056022408963,0.04047581617146151,0.48599439775910364,0.9595241838285384,0.9595241838285384,0.047458257179145626,0.014745515938167962,10.830688541735233,10.830688541735233,5.26158038147139,0.2085167977397625,0.8906960027631028,14.141030982851415,96843,,,,,,,,,,,,,,,,,,,,,0.14275556527922115,0.1656761547283912,0.1365035922825816,0.1662894077380122,0.041438951167983545,0.04780414637834515,0.0716662343266524,0.09003819023757151,0.14275556527922115,0.1662894077380122
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,0.1821581073934377,0.8932808251977012,0.2158883374343947,0.8951811422048251,0.35304990757855825,0.6469500924214417,0.1317241379310345,26.33703613997068,1.8324607329842932,191,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.13514512848955446,0.8648548715104456,0.5041379310344828,10.081640178246984,6.399452804377565,731,0.3979381443298969,0.6020618556701032,0.13515406162464985,26.987061422507146,1.5129533678756477,193,0.3188854489164087,0.6811145510835913,0.21638655462184875,21.625926841324766,2.1359223300970873,309,0.1608507123683667,0.8391492876316333,0.5455182072829131,10.908449256225307,5.2169448010269575,779,validation,0.005,0.978266179561615,0.978266179561615,756,756,231,525,1219,106193,0.3055555555555556,0.6944444444444444,0.15931034482758621,0.004919507487021871,0.8406896551724138,0.9950804925129781,0.9950804925129781,0.006989128023075216,0.013405073589231566,22.79402298850575,22.79402298850575,2.272727272727273,0.1821581073934377,0.8932808251977012,13.588743558988531,108168,0.978266179561615,690,690,247,443,1181,94972,0.35797101449275365,0.6420289855072463,0.17296918767507002,0.004642875858093591,0.8270308123249299,0.9953571241419064,0.9953571241419064,0.0071249341718038475,0.014745515938167962,24.276601510169286,24.276601510169286,1.7935222672064777,0.2158883374343947,0.8951811422048251,14.640948362856504,96843,0.021385986982442706,0.032165571890313834,0.025796497010262626,0.04114031889381832,0.004835011408482311,0.007330656378672045,0.012838147638697846,0.02075055187637969,0.025796497010262626,0.04114031889381832,,,,,,,,,,,,,,,,,,,,
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,0.1821581073934377,0.8932808251977012,0.2158883374343947,0.8951811422048251,0.35304990757855825,0.6469500924214417,0.1317241379310345,26.33703613997068,1.8324607329842932,191,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.13514512848955446,0.8648548715104456,0.5041379310344828,10.081640178246984,6.399452804377565,731,0.3979381443298969,0.6020618556701032,0.13515406162464985,26.987061422507146,1.5129533678756477,193,0.3188854489164087,0.6811145510835913,0.21638655462184875,21.625926841324766,2.1359223300970873,309,0.1608507123683667,0.8391492876316333,0.5455182072829131,10.908449256225307,5.2169448010269575,779,validation,0.01,0.9661471247673035,0.9661471247673035,1412,1412,345,1067,1105,105651,0.2443342776203966,0.7556657223796034,0.23793103448275862,0.009998313311718736,0.7620689655172413,0.9900016866882813,0.9900016866882813,0.013053768212410324,0.013405073589231566,18.22700009768487,18.22700009768487,3.092753623188406,0.1821581073934377,0.8932808251977012,13.588743558988531,108168,0.9661471247673035,1244,1244,361,883,1067,94532,0.29019292604501606,0.709807073954984,0.25280112044817926,0.009254310118954043,0.7471988795518207,0.9907456898810459,0.9907456898810459,0.012845533492353603,0.014745515938167962,19.680079507687317,19.680079507687317,2.445983379501385,0.2158883374343947,0.8951811422048251,14.640948362856504,96843,,,,,,,,,,,0.042006235300552426,0.056563444896256906,0.04374937991080395,0.06555955673788202,0.009118887630768575,0.012476687287669284,0.02888583218707015,0.040176600441501106,0.04374937991080395,0.06555955673788202,,,,,,,,,,
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,0.1821581073934377,0.8932808251977012,0.2158883374343947,0.8951811422048251,0.35304990757855825,0.6469500924214417,0.1317241379310345,26.33703613997068,1.8324607329842932,191,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.13514512848955446,0.8648548715104456,0.5041379310344828,10.081640178246984,6.399452804377565,731,0.3979381443298969,0.6020618556701032,0.13515406162464985,26.987061422507146,1.5129533678756477,193,0.3188854489164087,0.6811145510835913,0.21638655462184875,21.625926841324766,2.1359223300970873,309,0.1608507123683667,0.8391492876316333,0.5455182072829131,10.908449256225307,5.2169448010269575,779,validation,0.05,0.8851956725120544,0.8851956725120544,6048,6048,755,5293,695,101425,0.12483465608465609,0.875165343915344,0.5206896551724138,0.04959800595963193,0.4793103448275862,0.9504019940403681,0.9504019940403681,0.05591302418460173,0.013405073589231566,9.312493158182813,9.312493158182813,7.010596026490067,0.1821581073934377,0.8932808251977012,13.588743558988531,108168,0.8851956725120544,5056,5056,790,4266,638,91149,0.15625,0.84375,0.5532212885154062,0.04470995126552429,0.44677871148459386,0.9552900487344758,0.9552900487344758,0.05220821329368153,0.014745515938167962,10.596441701680673,10.596441701680673,5.4,0.2158883374343947,0.8951811422048251,14.640948362856504,96843,,,,,,,,,,,,,,,,,,,,,0.1771044139364437,0.20164737774997393,0.14755182735748837,0.1780483437667971,0.03622165366570614,0.04242188925878578,0.11193865555133777,0.1315545857692353,0.1771044139364437,0.20164737774997393
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,0.16624358225414038,0.8801193735859444,0.19285128399334023,0.875402799593872,0.3234750462107209,0.6765249537892791,0.1206896551724138,24.130792274842243,2.0914285714285716,175,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.12830467738953596,0.871695322610464,0.4786206896551724,9.571351961290569,6.793948126801153,694,0.3731958762886598,0.6268041237113402,0.12675070028011204,25.309109416962663,1.6795580110497237,181,0.3013415892672859,0.6986584107327141,0.20448179271708683,20.436150930960622,2.3184931506849313,292,0.14763576295684494,0.852364237043155,0.5007002801120448,10.012248033634268,5.7734265734265735,715,validation,0.005,0.9789292186574834,0.9789292186574834,742,742,217,525,1233,106193,0.29245283018867924,0.7075471698113207,0.1496551724137931,0.004919507487021871,0.8503448275862069,0.9950804925129781,0.9950804925129781,0.006859699726351602,0.013405073589231566,21.816577748861416,21.816577748861416,2.4193548387096775,0.16624358225414038,0.8801193735859444,12.401541934666108,108168,0.9789292186574834,662,662,224,438,1204,94977,0.338368580060423,0.661631419939577,0.1568627450980392,0.004590473196038359,0.8431372549019608,0.9954095268039617,0.9954095268039617,0.006835806408310358,0.014745515938167962,22.947218766660743,22.947218766660743,1.9553571428571428,0.19285128399334023,0.875402799593872,13.078639282750034,96843,0.020729639555871576,0.030028151391929936,0.02233016815609067,0.037878350768669085,0.005367610464230599,0.007785850164287908,0.013755158184319119,0.019426048565121413,0.02233016815609067,0.037878350768669085,,,,,,,,,,,,,,,,,,,,
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,0.16624358225414038,0.8801193735859444,0.19285128399334023,0.875402799593872,0.3234750462107209,0.6765249537892791,0.1206896551724138,24.130792274842243,2.0914285714285716,175,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.12830467738953596,0.871695322610464,0.4786206896551724,9.571351961290569,6.793948126801153,694,0.3731958762886598,0.6268041237113402,0.12675070028011204,25.309109416962663,1.6795580110497237,181,0.3013415892672859,0.6986584107327141,0.20448179271708683,20.436150930960622,2.3184931506849313,292,0.14763576295684494,0.852364237043155,0.5007002801120448,10.012248033634268,5.7734265734265735,715,validation,0.01,0.9701701162010185,0.9701701162010185,1393,1393,330,1063,1120,105655,0.23689877961234745,0.7631012203876526,0.22758620689655173,0.009960831349912854,0.7724137931034483,0.9900391686500871,0.9900391686500871,0.012878115523999704,0.013405073589231566,17.67232220214372,17.67232220214372,3.221212121212121,0.16624358225414038,0.8801193735859444,12.401541934666108,108168,0.9701701162010185,1160,1160,327,833,1101,94582,0.2818965517241379,0.7181034482758621,0.22899159663865545,0.00873028349840172,0.7710084033613446,0.9912697165015982,0.9912697165015982,0.011978150201873134,0.014745515938167962,19.117442407997682,19.117442407997682,2.547400611620795,0.19285128399334023,0.875402799593872,13.078639282750034,96843,,,,,,,,,,,0.03888858502433955,0.05202794286310082,0.035961846063008326,0.05523124923176231,0.009680932230623622,0.01301821335365698,0.02109124254928932,0.02869757174392936,0.03888858502433955,0.05523124923176231,,,,,,,,,,
