model,model_family,feature_policy,stage,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold_selected_on,feasible,selection_notes,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,hyperparameter-tuning-gate,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.8851956725120544,5056.0,5056.0,790.0,4266.0,638.0,91149.0,0.15625,0.84375,0.5532212885154062,0.0447099512655242,0.4467787114845938,0.9552900487344758,0.9552900487344758,0.0522082132936815,0.0147455159381679,10.596441701680671,10.596441701680671,5.4,0.2158883374343947,0.8951811422048251,14.640948362856504,96843.0
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,hyperparameter-tuning-gate,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9981936812400818,9.0,9.0,8.0,1.0,1420.0,95414.0,0.8888888888888888,0.1111111111111111,0.0056022408963585,1.0480532411046482e-05,0.9943977591036416,0.999989519467589,0.999989519467589,9.29339239800502e-05,0.0147455159381679,60.281979458450046,60.281979458450046,0.125,0.2158883374343947,0.8951811422048251,14.640948362856504,96843.0
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,hyperparameter-tuning-gate,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.929439127445221,2990.0,2990.0,620.0,2370.0,808.0,93045.0,0.2073578595317725,0.7926421404682275,0.4341736694677871,0.0248388618141801,0.5658263305322129,0.9751611381858198,0.9751611381858198,0.0308747147444833,0.0147455159381679,14.062435007447796,14.062435007447796,3.8225806451612905,0.2158883374343947,0.8951811422048251,14.640948362856504,96843.0
advanced_gate | CatBoost,CatBoost,with_housing_status,advanced_gate,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.7883990677182775,4580.0,4580.0,750.0,3830.0,678.0,91585.0,0.1637554585152838,0.8362445414847162,0.5252100840336135,0.040140439134308,0.4747899159663865,0.959859560865692,0.959859560865692,0.0472930413142922,0.0147455159381679,11.105441084730836,11.105441084730836,5.1066666666666665,0.2184221131434463,0.8958681308293375,14.812782005007543,96843.0
advanced_gate | CatBoost,CatBoost,with_housing_status,advanced_gate,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9919990437729652,12.0,12.0,11.0,1.0,1417.0,95414.0,0.9166666666666666,0.0833333333333333,0.0077030812324929,1.0480532411046482e-05,0.992296918767507,0.999989519467589,0.999989519467589,0.00012391189864,0.0147455159381679,62.16579131652661,62.16579131652661,0.0909090909090909,0.2184221131434463,0.8958681308293375,14.812782005007543,96843.0
advanced_gate | CatBoost,CatBoost,with_housing_status,advanced_gate,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.862244708976367,2450.0,2450.0,572.0,1878.0,856.0,93537.0,0.233469387755102,0.7665306122448979,0.4005602240896359,0.0196824398679452,0.5994397759103641,0.9803175601320548,0.9803175601320548,0.0252986793056803,0.0147455159381679,15.833246441433715,15.833246441433715,3.283216783216784,0.2184221131434463,0.8958681308293375,14.812782005007543,96843.0
balance_gate | XGBoost | class_weight,XGBoost,with_housing_status,balance_gate,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.7965519428253174,4711.0,4711.0,759.0,3952.0,669.0,91463.0,0.1611122903842071,0.8388877096157928,0.5315126050420168,0.0414190640884556,0.4684873949579832,0.9585809359115444,0.9585809359115444,0.0486457462077796,0.0147455159381679,10.926188751875191,10.926188751875191,5.206851119894599,0.205964607764584,0.8943105827983343,13.967948536236426,96843.0
balance_gate | XGBoost | class_weight,XGBoost,with_housing_status,balance_gate,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9863830804824828,9.0,9.0,8.0,1.0,1420.0,95414.0,0.8888888888888888,0.1111111111111111,0.0056022408963585,1.0480532411046482e-05,0.9943977591036416,0.999989519467589,0.999989519467589,9.29339239800502e-05,0.0147455159381679,60.281979458450046,60.281979458450046,0.125,0.205964607764584,0.8943105827983343,13.967948536236426,96843.0
balance_gate | XGBoost | class_weight,XGBoost,with_housing_status,balance_gate,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.8684527277946472,2478.0,2478.0,537.0,1941.0,891.0,93474.0,0.2167070217917675,0.7832929782082324,0.3760504201680672,0.0203427134098412,0.6239495798319328,0.9796572865901588,0.9796572865901588,0.0255878070691738,0.0147455159381679,14.696469265672372,14.696469265672372,3.6145251396648046,0.205964607764584,0.8943105827983343,13.967948536236426,96843.0
baseline | XGBoost,XGBoost,with_housing_status,baseline_search,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.7965519428253174,4711.0,4711.0,759.0,3952.0,669.0,91463.0,0.1611122903842071,0.8388877096157928,0.5315126050420168,0.0414190640884556,0.4684873949579832,0.9585809359115444,0.9585809359115444,0.0486457462077796,0.0147455159381679,10.926188751875191,10.926188751875191,5.206851119894599,0.205964607764584,0.8943105827983343,13.967948536236426,96843.0
