rule_id,conditions,leaf_samples,leaf_fraud_rate,selection_support,selection_tp,selection_fp,selection_precision,selection_fdr,selection_recall_tpr,selection_fpr,selected
0,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity <= 0.249139 AND device_distinct_emails_8w <= 1.5,1,0.4128571943259054,4555,34,4521,0.007464324917672887,0.9925356750823271,0.024096385542168676,0.03834215347038469,False
1,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity <= 0.249139 AND device_distinct_emails_8w > 1.5,1,0.817877928302442,74,4,70,0.05405405405405406,0.9459459459459459,0.002834868887313962,0.000593663070764638,False
2,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity > 0.249139 AND keep_alive_session <= 0.5,1,0.3247135537213056,2944,20,2924,0.006793478260869565,0.9932065217391305,0.014174344436569808,0.024798154555940023,False
3,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity > 0.249139 AND keep_alive_session > 0.5,0,0.1571285407454591,5140,16,5124,0.0031128404669260703,0.9968871595330739,0.011339475549255847,0.0434561367799715,False
4,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards <= 0.5 AND keep_alive_session <= 0.5,0,0.6917806279396388,2614,43,2571,0.016449885233358837,0.9835501147666411,0.03047484053862509,0.021804396499084062,False
5,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards <= 0.5 AND keep_alive_session > 0.5,1,0.4622844405929368,4193,36,4157,0.008585738134986884,0.9914142618650131,0.025513819985825654,0.035255105502408575,False
6,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards > 0.5 AND days_since_request <= 0.514917,0,0.1883385926223959,3379,11,3368,0.0032554010062148565,0.9967445989937851,0.007795889440113395,0.028563674604790014,False
7,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards > 0.5 AND days_since_request > 0.514917,0,0.7173200788198008,71,0,71,0.0,1.0,0.0,0.0006021439717755615,False
8,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w <= 1.5 AND name_email_similarity <= 0.184273,0,0.24809717078965082,3482,11,3471,0.0031591039632395176,0.9968408960367605,0.007795889440113395,0.029437207408915124,False
9,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w <= 1.5 AND name_email_similarity > 0.184273,0,0.10728370334437605,12999,15,12984,0.0011539349180706207,0.9988460650819294,0.010630758327427357,0.11011601872582943,False
