rule_id,conditions,leaf_samples,leaf_fraud_rate,selection_support,selection_tp,selection_fp,selection_precision,selection_fdr,selection_recall_tpr,selection_fpr,selected,fpr_cap
1,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity <= 0.249139 AND device_distinct_emails_8w > 1.5,1,0.817877928302442,74,4,70,0.05405405405405406,0.9459459459459459,0.002834868887313962,0.000593663070764638,True,0.0025
7,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards > 0.5 AND days_since_request > 0.514917,0,0.7173200788198008,71,0,71,0.0,1.0,0.0,0.0006021439717755615,True,0.0025
11,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income > 0.75,1,0.6623226432468232,77,6,71,0.07792207792207792,0.922077922077922,0.004252303330970942,0.0006021439717755615,True,0.0025
1,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity <= 0.249139 AND device_distinct_emails_8w > 1.5,1,0.817877928302442,74,4,70,0.05405405405405406,0.9459459459459459,0.002834868887313962,0.000593663070764638,True,0.005
10,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income <= 0.75,1,0.30906361154215234,159,2,157,0.012578616352201259,0.9874213836477987,0.001417434443656981,0.001331501458714974,True,0.005
11,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income > 0.75,1,0.6623226432468232,77,6,71,0.07792207792207792,0.922077922077922,0.004252303330970942,0.0006021439717755615,True,0.005
12,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score > 213.5 AND keep_alive_session <= 0.5 AND customer_age <= 25,0,0.217529411994247,267,2,265,0.00749063670411985,0.9925093632958801,0.001417434443656981,0.002247438767894701,True,0.005
1,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity <= 0.249139 AND device_distinct_emails_8w > 1.5,1,0.817877928302442,74,4,70,0.05405405405405406,0.9459459459459459,0.002834868887313962,0.000593663070764638,True,0.01
7,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards > 0.5 AND days_since_request > 0.514917,0,0.7173200788198008,71,0,71,0.0,1.0,0.0,0.0006021439717755615,True,0.01
10,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income <= 0.75,1,0.30906361154215234,159,2,157,0.012578616352201259,0.9874213836477987,0.001417434443656981,0.001331501458714974,True,0.01
11,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income > 0.75,1,0.6623226432468232,77,6,71,0.07792207792207792,0.922077922077922,0.004252303330970942,0.0006021439717755615,True,0.01
25,current_address_months_count > 44.5 AND credit_risk_score > 198.5 AND has_other_cards <= 0.5 AND keep_alive_session <= 0.5 AND intended_balcon_amount > 0.647986,0,0.7221228186219599,720,15,705,0.020833333333333332,0.9791666666666666,0.010630758327427357,0.005979035212700997,True,0.01
1,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score <= 132.5 AND name_email_similarity <= 0.249139 AND device_distinct_emails_8w > 1.5,1,0.817877928302442,74,4,70,0.05405405405405406,0.9459459459459459,0.002834868887313962,0.000593663070764638,True,0.02
7,current_address_months_count <= 44.5 AND prev_address_months_count <= 2 AND credit_risk_score > 132.5 AND has_other_cards > 0.5 AND days_since_request > 0.514917,0,0.7173200788198008,71,0,71,0.0,1.0,0.0,0.0006021439717755615,True,0.02
10,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income <= 0.75,1,0.30906361154215234,159,2,157,0.012578616352201259,0.9874213836477987,0.001417434443656981,0.001331501458714974,True,0.02
11,current_address_months_count <= 44.5 AND prev_address_months_count > 2 AND credit_risk_score <= 213.5 AND device_distinct_emails_8w > 1.5 AND income > 0.75,1,0.6623226432468232,77,6,71,0.07792207792207792,0.922077922077922,0.004252303330970942,0.0006021439717755615,True,0.02
27,current_address_months_count > 44.5 AND credit_risk_score > 198.5 AND has_other_cards <= 0.5 AND keep_alive_session > 0.5 AND credit_risk_score > 255.5,0,0.805323085609362,1974,92,1882,0.04660587639311044,0.9533941236068896,0.06520198440822111,0.01596105570255784,True,0.02
