model,split,topk_pct,topk_label,k,precision_at_k,fdr_at_k,recall_at_k,lift_at_k,fp_per_tp_at_k,fraud_prevalence,captured_frauds
hyperparameter_tuned | XGBoost,validation,0.005,top_0.5pct,541,0.35304990757855825,0.6469500924214417,0.1317241379310345,26.33703613997068,1.8324607329842932,0.013405073589231566,191
hyperparameter_tuned | XGBoost,validation,0.01,top_1.0pct,1082,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,0.013405073589231566,289
hyperparameter_tuned | XGBoost,validation,0.02,top_2.0pct,2164,0.2088724584103512,0.7911275415896488,0.3117241379310345,15.581597297469564,3.7876106194690267,0.013405073589231566,452
hyperparameter_tuned | XGBoost,validation,0.05,top_5.0pct,5409,0.13514512848955446,0.8648548715104456,0.5041379310344828,10.081640178246984,6.399452804377565,0.013405073589231566,731
hyperparameter_tuned | XGBoost,validation,0.1,top_10.0pct,10817,0.08837940279190164,0.9116205972080984,0.6593103448275862,6.592981545651321,10.314853556485355,0.013405073589231566,956
hyperparameter_tuned | XGBoost,test,0.005,top_0.5pct,485,0.3979381443298969,0.6020618556701032,0.13515406162464985,26.987061422507146,1.5129533678756477,0.014745515938167962,193
hyperparameter_tuned | XGBoost,test,0.01,top_1.0pct,969,0.3188854489164087,0.6811145510835913,0.21638655462184875,21.625926841324766,2.1359223300970873,0.014745515938167962,309
hyperparameter_tuned | XGBoost,test,0.02,top_2.0pct,1937,0.2509034589571502,0.7490965410428498,0.3403361344537815,17.015576803772618,2.98559670781893,0.014745515938167962,486
hyperparameter_tuned | XGBoost,test,0.05,top_5.0pct,4843,0.1608507123683667,0.8391492876316333,0.5455182072829131,10.908449256225307,5.2169448010269575,0.014745515938167962,779
hyperparameter_tuned | XGBoost,test,0.1,top_10.0pct,9685,0.09870934434692824,0.9012906556530718,0.6694677871148459,6.694194001813425,9.130753138075313,0.014745515938167962,956
advanced_gate | CatBoost,validation,0.005,top_0.5pct,541,0.3512014787430684,0.6487985212569316,0.1310344827586207,26.19914589840015,1.8473684210526315,0.013405073589231566,190
advanced_gate | CatBoost,validation,0.01,top_1.0pct,1082,0.2735674676524954,0.7264325323475046,0.20413793103448277,20.407755752438014,2.6554054054054053,0.013405073589231566,296
advanced_gate | CatBoost,validation,0.02,top_2.0pct,2164,0.21164510166358594,0.788354898336414,0.3158620689655172,15.788432659825354,3.7248908296943233,0.013405073589231566,458
advanced_gate | CatBoost,validation,0.05,top_5.0pct,5409,0.13422074320576816,0.8657792567942318,0.5006896551724138,10.01268231109071,6.450413223140496,0.013405073589231566,726
advanced_gate | CatBoost,validation,0.1,top_10.0pct,10817,0.08828695571785153,0.9117130442821485,0.6586206896551724,6.586085121440389,10.326701570680628,0.013405073589231566,955
advanced_gate | CatBoost,test,0.005,top_0.5pct,485,0.4,0.6,0.13585434173669467,27.126890756302522,1.5,0.014745515938167962,194
advanced_gate | CatBoost,test,0.01,top_1.0pct,969,0.32610939112487103,0.673890608875129,0.22128851540616246,22.11583456912177,2.0664556962025316,0.014745515938167962,316
advanced_gate | CatBoost,test,0.02,top_2.0pct,1937,0.2550335570469799,0.7449664429530201,0.34593837535014005,17.295668603011677,2.9210526315789473,0.014745515938167962,494
advanced_gate | CatBoost,test,0.05,top_5.0pct,4843,0.15878587652281645,0.8412141234771835,0.538515406162465,10.768417815195457,5.29778933680104,0.014745515938167962,769
advanced_gate | CatBoost,test,0.1,top_10.0pct,9685,0.10056788848735157,0.8994321115126485,0.6820728291316527,6.820235311471,8.9435318275154,0.014745515938167962,974
balance_gate | XGBoost | class_weight,validation,0.005,top_0.5pct,541,0.3419593345656192,0.6580406654343808,0.12758620689655173,25.509694690547516,1.9243243243243244,0.013405073589231566,185
balance_gate | XGBoost | class_weight,validation,0.01,top_1.0pct,1082,0.2698706099815157,0.7301293900184843,0.2013793103448276,20.131975269296955,2.7054794520547945,0.013405073589231566,292
balance_gate | XGBoost | class_weight,validation,0.02,top_2.0pct,2164,0.2111829944547135,0.7888170055452866,0.31517241379310346,15.753960099432723,3.735229759299781,0.013405073589231566,457
balance_gate | XGBoost | class_weight,validation,0.05,top_5.0pct,5409,0.13163246441116658,0.8683675355888334,0.4910344827586207,9.819600283053148,6.59691011235955,0.013405073589231566,712
balance_gate | XGBoost | class_weight,validation,0.1,top_10.0pct,10817,0.08800961449570122,0.9119903855042988,0.6565517241379311,6.565395848807592,10.362394957983193,0.013405073589231566,952
balance_gate | XGBoost | class_weight,test,0.005,top_0.5pct,485,0.3917525773195876,0.6082474226804124,0.1330532212885154,26.567573421121025,1.5526315789473684,0.014745515938167962,190
balance_gate | XGBoost | class_weight,test,0.01,top_1.0pct,969,0.3075335397316821,0.6924664602683179,0.20868347338935575,20.856071840500906,2.251677852348993,0.014745515938167962,298
balance_gate | XGBoost | class_weight,test,0.02,top_2.0pct,1937,0.24006195147134746,0.7599380485286525,0.32563025210084034,16.2803358307701,3.1655913978494623,0.014745515938167962,465
balance_gate | XGBoost | class_weight,test,0.05,top_5.0pct,4843,0.15878587652281645,0.8412141234771835,0.538515406162465,10.768417815195457,5.29778933680104,0.014745515938167962,769
balance_gate | XGBoost | class_weight,test,0.1,top_10.0pct,9685,0.10046463603510583,0.8995353639648942,0.6813725490196079,6.813233016490024,8.953751284686536,0.014745515938167962,973
baseline | XGBoost,validation,0.005,top_0.5pct,541,0.3419593345656192,0.6580406654343808,0.12758620689655173,25.509694690547516,1.9243243243243244,0.013405073589231566,185
baseline | XGBoost,validation,0.01,top_1.0pct,1082,0.2698706099815157,0.7301293900184843,0.2013793103448276,20.131975269296955,2.7054794520547945,0.013405073589231566,292
baseline | XGBoost,validation,0.02,top_2.0pct,2164,0.2111829944547135,0.7888170055452866,0.31517241379310346,15.753960099432723,3.735229759299781,0.013405073589231566,457
baseline | XGBoost,validation,0.05,top_5.0pct,5409,0.13163246441116658,0.8683675355888334,0.4910344827586207,9.819600283053148,6.59691011235955,0.013405073589231566,712
baseline | XGBoost,validation,0.1,top_10.0pct,10817,0.08800961449570122,0.9119903855042988,0.6565517241379311,6.565395848807592,10.362394957983193,0.013405073589231566,952
baseline | XGBoost,test,0.005,top_0.5pct,485,0.3917525773195876,0.6082474226804124,0.1330532212885154,26.567573421121025,1.5526315789473684,0.014745515938167962,190
baseline | XGBoost,test,0.01,top_1.0pct,969,0.3075335397316821,0.6924664602683179,0.20868347338935575,20.856071840500906,2.251677852348993,0.014745515938167962,298
baseline | XGBoost,test,0.02,top_2.0pct,1937,0.24006195147134746,0.7599380485286525,0.32563025210084034,16.2803358307701,3.1655913978494623,0.014745515938167962,465
baseline | XGBoost,test,0.05,top_5.0pct,4843,0.15878587652281645,0.8412141234771835,0.538515406162465,10.768417815195457,5.29778933680104,0.014745515938167962,769
baseline | XGBoost,test,0.1,top_10.0pct,9685,0.10046463603510583,0.8995353639648942,0.6813725490196079,6.813233016490024,8.953751284686536,0.014745515938167962,973
baseline | CatBoost,validation,0.005,top_0.5pct,541,0.3567467652495379,0.643253234750462,0.13310344827586207,26.612816623111733,1.8031088082901554,0.013405073589231566,193
baseline | CatBoost,validation,0.01,top_1.0pct,1082,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,0.013405073589231566,298
baseline | CatBoost,validation,0.02,top_2.0pct,2164,0.2144177449168207,0.7855822550831792,0.32,15.995268022181145,3.663793103448276,0.013405073589231566,464
baseline | CatBoost,validation,0.05,top_5.0pct,5409,0.13385098909225365,0.8661490109077463,0.4993103448275862,9.985099164228203,6.470994475138122,0.013405073589231566,724
