model,feature_policy,threshold_policy,attribute,max_fpr_gap,max_tpr_gap,fpr_ratio_worst_to_best,tpr_ratio_worst_to_best,equal_opportunity_difference,equalized_odds_difference,disparate_impact_ratio_alert_positive,disparate_impact_ratio_approval_positive,worst_fpr_group,lowest_tpr_group
advanced_gate | CatBoost,with_housing_status,valid_business_fdr30,customer_age_group,0.00035971223021582735,0.030864197530864196,1.0,0.0,0.030864197530864196,0.030864197530864196,0.0,0.9979605710401088,51+,10-20
advanced_gate | CatBoost,with_housing_status,valid_business_fdr30,employment_status,1.3570914815367704e-05,0.011904761904761904,1.0,0.0,0.011904761904761904,0.011904761904761904,0.0,0.9995584988962473,CA,CB
advanced_gate | CatBoost,with_housing_status,valid_business_fdr30,housing_status,2.6855731012998174e-05,0.011123470522803115,1.0,0.0,0.011123470522803115,0.011123470522803115,0.0,0.9994786779272234,BC,BB
advanced_gate | CatBoost,with_housing_status,valid_business_fdr30,income_group,1.5808777033008725e-05,0.008635578583765112,1.0,0.0,0.008635578583765112,0.008635578583765112,0.0,0.9998292296705685,high_0.7_0.9,mid_0.4_0.6
advanced_gate | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.07833777377694212,0.4567535977792388,20.40818345323741,0.23717440370890014,0.4567535977792388,0.4567535977792388,0.04521123806103927,0.8936681348573718,51+,10-20
advanced_gate | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.0330630748307997,0.42857142857142855,19.540119211370932,0.0,0.42857142857142855,0.42857142857142855,0.03592045166201472,0.9522432498252064,CC,CF
advanced_gate | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.08603620849969917,0.5283648498331479,81.2247989936006,0.0,0.5283648498331479,0.5283648498331479,0.0,0.8932332394953603,BA,BG
advanced_gate | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.020307361376153917,0.1590047640574469,4.439832055914469,0.6280252186292454,0.1590047640574469,0.1590047640574469,0.23331745359845857,0.9741726732161398,high_0.7_0.9,low_0.1_0.3
advanced_gate | CatBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.13485451800013068,0.508948791000073,13.881043598855856,0.28922668843093247,0.508948791000073,0.508948791000073,0.06708072539492403,0.8331275101351782,51+,10-20
advanced_gate | CatBoost,with_housing_status,valid_global_5pct_fpr,employment_status,0.07120772905384176,0.5952380952380952,15.519903297069735,0.0,0.5952380952380952,0.5952380952380952,0.05506802407714514,0.9094115547181061,CC,CG
advanced_gate | CatBoost,with_housing_status,valid_global_5pct_fpr,housing_status,0.16310233550292622,1.0,39.25009732602771,0.0,1.0,1.0,0.0,0.8128453758732145,BA,BG
advanced_gate | CatBoost,with_housing_status,valid_global_5pct_fpr,income_group,0.038676203863670044,0.14999246560257795,3.7912235013724693,0.7286073825503355,0.14999246560257795,0.14999246560257795,0.2708318597548027,0.954378564751574,high_0.7_0.9,low_0.1_0.3
advanced_gate | XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,0.00035971223021582735,0.030864197530864196,11.49568345323741,0.0,0.030864197530864196,0.030864197530864196,0.0,0.9979605710401088,51+,10-20
advanced_gate | XGBoost,with_housing_status,valid_business_fdr30,employment_status,4.071274444610311e-05,0.013389121338912133,1.0,0.0,0.013389121338912133,0.013389121338912133,0.0,0.9995584988962473,CA,CB
advanced_gate | XGBoost,with_housing_status,valid_business_fdr30,housing_status,0.00010939123776185527,0.017797552836484983,4.073292129300443,0.0,0.017797552836484983,0.017797552836484983,0.0,0.9990616202690021,BA,BB
advanced_gate | XGBoost,with_housing_status,valid_business_fdr30,income_group,4.7426331099026176e-05,0.013816925734024179,1.0,0.0,0.013816925734024179,0.013816925734024179,0.0,0.9997050330673456,high_0.7_0.9,mid_0.4_0.6
advanced_gate | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.06847605669248658,0.4090005547337278,18.897082773341765,0.22441376287530132,0.4090005547337278,0.4090005547337278,0.04817473087387418,0.908014742534283,51+,10-20
advanced_gate | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.048143053645116916,0.4642857142857143,107.98486932599725,0.0,0.4642857142857143,0.4642857142857143,0.0,0.9364238410596026,CC,CF
advanced_gate | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.08368429688781928,0.4961067853170189,73.36124112172901,0.0,0.4961067853170189,0.4961067853170189,0.0,0.8969867584193515,BA,BG
advanced_gate | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.01886249962606874,0.13443103708082665,4.391278880139517,0.6548311730829329,0.13443103708082665,0.13443103708082665,0.23760109223047696,0.9762002781951186,high_0.7_0.9,low_0.1_0.3
advanced_gate | XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.12675397522547047,0.444896449704142,12.506551705200724,0.35287789133942976,0.444896449704142,0.444896449704142,0.07533528463551513,0.842747580783089,51+,10-20
advanced_gate | XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,0.13639374056618306,0.6309523809523809,55.66358024691358,0.0,0.6309523809523809,0.6309523809523809,0.015754560530679935,0.8442052762829768,CG,CF
advanced_gate | XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,0.1733304162336597,0.6896551724137931,54.545748677838596,0.0,0.6896551724137931,0.6896551724137931,0.0,0.8024710666249609,BA,BG
advanced_gate | XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,0.03919870183901121,0.15929454857368064,3.7234460776012672,0.7131211706869017,0.15929454857368064,0.15929454857368064,0.2738674523219285,0.9537432311309574,high_0.7_0.9,low_0.1_0.3
