model,model_family,feature_policy,threshold_policy,attribute,group,group_size,fraud_prevalence,alert_rate,precision,fdr,recall_tpr,fnr,fpr,tnr,tp,fp,fn,tn
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BA,19182,0.04686685434261287,0.20164737774997393,0.16287487073422957,0.8371251292657704,0.7007786429365962,0.2992213570634038,0.1771044139364437,0.8228955860635563,630,3238,269,15045
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BB,23213,0.007151165295308663,0.01912721319950028,0.12837837837837837,0.8716216216216216,0.3433734939759036,0.6566265060240963,0.016791773332754806,0.9832082266672452,57,387,109,22660
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BC,37502,0.007092955042397739,0.014772545464241907,0.14259927797833935,0.8574007220216606,0.29699248120300753,0.7030075187969925,0.012756472231174133,0.9872435277688258,79,475,187,36761
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BD,4478,0.009379187137114784,0.02657436355515855,0.14285714285714285,0.8571428571428572,0.40476190476190477,0.5952380952380952,0.022993688007213707,0.9770063119927863,17,102,25,4334
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BE,12327,0.004380627889997567,0.005516346231848787,0.08823529411764706,0.9117647058823529,0.1111111111111111,0.8888888888888888,0.005051739590972052,0.994948260409028,6,62,48,12211
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BF,135,0.007407407407407408,0.022222222222222223,0.3333333333333333,0.6666666666666667,1.0,0.0,0.014925373134328358,0.9850746268656716,1,2,0,132
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BG,6,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0,0,0,6
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CA,74882,0.01595844128094869,0.05803797975481424,0.15715600552231937,0.8428439944776807,0.5715481171548117,0.42845188284518826,0.0497102609686919,0.9502897390313081,683,3663,512,70024
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CB,11275,0.010199556541019957,0.03184035476718403,0.1309192200557103,0.8690807799442897,0.40869565217391307,0.591304347826087,0.02795698924731183,0.9720430107526882,47,312,68,10848
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CC,2265,0.03708609271523179,0.1337748344370861,0.1782178217821782,0.8217821782178218,0.6428571428571429,0.35714285714285715,0.11416781292984869,0.8858321870701513,54,249,30,1932
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CD,2513,0.00477516912057302,0.01193792280143255,0.16666666666666666,0.8333333333333334,0.4166666666666667,0.5833333333333334,0.009996001599360257,0.9900039984006398,5,25,7,2476
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CE,2252,0.003996447602131439,0.002220248667850799,0.0,1.0,0.0,1.0,0.002229157378510923,0.9977708426214891,0,5,9,2238
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CF,3618,0.0030403537866224434,0.0030403537866224434,0.0,1.0,0.0,1.0,0.003049625727751594,0.9969503742722484,0,11,11,3596
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CG,38,0.05263157894736842,0.05263157894736842,0.5,0.5,0.5,0.5,0.027777777777777776,0.9722222222222222,1,1,1,35
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,10-20,23953,0.007055483655492005,0.015697407422869788,0.11702127659574468,0.8829787234042553,0.2603550295857988,0.7396449704142012,0.013958964009418096,0.9860410359905819,44,332,125,23452
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,21-30,32363,0.012514291011340111,0.03948954052467324,0.14084507042253522,0.8591549295774648,0.4444444444444444,0.5555555555555556,0.03435759434257463,0.9656424056574253,180,1098,225,30860
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,31-40,27860,0.01564967695620962,0.061306532663316586,0.15515222482435598,0.844847775175644,0.6077981651376146,0.3922018348623853,0.0526181446907818,0.9473818553092183,265,1443,171,25981
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,41-50,9725,0.026323907455012854,0.1155784061696658,0.1601423487544484,0.8398576512455516,0.703125,0.296875,0.09969373745907699,0.900306262540923,180,944,76,8525
