model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
baseline | Logistic Regression,baseline_search,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,20162,20162,1112,19050,338,87668,0.055153258605297,0.9448467413947028,0.766896551724138,0.1785078431005078,0.233103448275862,0.8214921568994921,0.8214921568994921,0.1863952370386805,0.0134050735892315,4.114357018495018,4.114357018495018,17.131294964028775,0.1491712175450459,0.8766576688416974,11.127967075456915,108168
baseline | Logistic Regression,baseline_search,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7768670748835765,6049,6049,716,5333,734,101385,0.1183666721772193,0.8816333278227806,0.4937931034482758,0.0499728255776907,0.5062068965517241,0.9500271744223092,0.9500271744223092,0.0559222690629391,0.0134050735892315,8.829990480045147,8.829990480045147,7.448324022346369,0.1491712175450459,0.8766576688416974,11.127967075456915,108168
baseline | Logistic Regression,baseline_search,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,14192,14192,1058,13134,370,82281,0.0745490417136414,0.9254509582863584,0.7408963585434174,0.1376513126866844,0.2591036414565826,0.8623486873133155,0.8623486873133155,0.1465464721249858,0.0147455159381679,5.055709276382481,5.055709276382481,12.41398865784499,0.1798640383209565,0.8815050382150449,12.197880296299996,96843
baseline | Logistic Regression,baseline_search,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.7768670748835765,3926,3926,628,3298,800,92117,0.1599592460519613,0.8400407539480387,0.4397759103641456,0.0345647958916312,0.5602240896358543,0.9654352041083688,0.9654352041083688,0.0405398428384085,0.0147455159381679,10.847992482780173,10.847992482780173,5.251592356687898,0.1798640383209565,0.8815050382150449,12.197880296299996,96843
baseline | Decision Tree,baseline_search,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,28274,28274,1118,27156,332,79562,0.0395416283511353,0.9604583716488648,0.7710344827586207,0.2544650387001255,0.2289655172413793,0.7455349612998744,0.7455349612998744,0.2613896901116781,0.0134050735892315,2.9497509348176587,2.9497509348176587,24.28980322003578,0.0884634855621529,0.8310365733473526,6.599254004335831,108168
baseline | Decision Tree,baseline_search,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8371008459922289,5886,5886,596,5290,854,101428,0.1012572205232755,0.8987427794767244,0.4110344827586207,0.0495698944882775,0.5889655172413794,0.9504301055117224,0.9504301055117224,0.0544153538939427,0.0134050735892315,7.553648985904601,7.553648985904601,8.875838926174497,0.0884634855621529,0.8310365733473526,6.599254004335831,108168
baseline | Decision Tree,baseline_search,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,22048,22048,1079,20969,349,74446,0.048938679245283,0.9510613207547168,0.7556022408963585,0.2197662841272336,0.2443977591036414,0.7802337158727664,0.7802337158727664,0.2276674617680162,0.0147455159381679,3.318885514111305,3.318885514111305,19.433734939759034,0.1105641379284176,0.8399135444147791,7.498153227872373,96843
baseline | Decision Tree,baseline_search,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8371008459922289,4472,4472,580,3892,848,91523,0.129695885509839,0.870304114490161,0.4061624649859944,0.0407902321437929,0.5938375350140056,0.959209767856207,0.959209767856207,0.0461778342265316,0.0147455159381679,8.795615294418303,8.795615294418303,6.710344827586207,0.1105641379284176,0.8399135444147791,7.498153227872373,96843
baseline | Random Forest,baseline_search,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,12949,12949,959,11990,491,94728,0.0740597729554405,0.9259402270445596,0.6613793103448276,0.112352180513128,0.3386206896551724,0.887647819486872,0.887647819486872,0.1197119295910065,0.0134050735892315,5.524756911064893,5.524756911064893,12.502606882168926,0.1543480393964942,0.8793229788336777,11.514150845131022,108168
baseline | Random Forest,baseline_search,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6399207700174235,6032,6032,706,5326,744,101392,0.1170424403183023,0.8829575596816976,0.4868965517241379,0.0499072321445304,0.5131034482758621,0.9500927678554696,0.9500927678554696,0.0557651061312033,0.0134050735892315,8.731204609896642,8.731204609896642,7.543909348441926,0.1543480393964942,0.8793229788336777,11.514150845131022,108168
baseline | Random Forest,baseline_search,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,9791,9791,941,8850,487,86565,0.0961086712286794,0.9038913287713206,0.6589635854341737,0.0927527118377613,0.3410364145658263,0.9072472881622388,0.9072472881622388,0.1011017832987412,0.0147455159381679,6.517823562884454,6.517823562884454,9.404888416578109,0.175278063239611,0.8800466002048254,11.886872183693033,96843
baseline | Random Forest,baseline_search,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.6399207700174235,4378,4378,662,3716,766,91699,0.1512105984467793,0.8487894015532207,0.4635854341736695,0.0389456584394487,0.5364145658263305,0.9610543415605513,0.9610543415605513,0.0452071910205177,0.0147455159381679,10.25468346315228,10.25468346315228,5.613293051359516,0.175278063239611,0.8800466002048254,11.886872183693033,96843
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22294,22294,1198,21096,252,85622,0.0537364313268143,0.9462635686731856,0.8262068965517242,0.1976798665642159,0.1737931034482758,0.802320133435784,0.802320133435784,0.2061053176540196,0.0134050735892315,4.00866365776473,4.00866365776473,17.609348914858096,0.1811417319058832,0.8912883648881907,13.512923349514187,108168
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7965519428253174,6025,6025,748,5277,702,101441,0.1241493775933609,0.875850622406639,0.5158620689655172,0.0494480781124084,0.4841379310344827,0.9505519218875916,0.9505519218875916,0.0557003919828415,0.0134050735892315,9.261372327943912,9.261372327943912,7.054812834224599,0.1811417319058832,0.8912883648881907,13.512923349514187,108168
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17704,17704,1143,16561,285,78854,0.0645616809760506,0.9354383190239494,0.8004201680672269,0.1735680972593407,0.1995798319327731,0.8264319027406593,0.8264319027406593,0.182811354460312,0.0147455159381679,4.378394167201449,4.378394167201449,14.489063867016624,0.205964607764584,0.8943105827983343,13.967948536236426,96843
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.7965519428253174,4711,4711,759,3952,669,91463,0.1611122903842071,0.8388877096157928,0.5315126050420168,0.0414190640884556,0.4684873949579832,0.9585809359115444,0.9585809359115444,0.0486457462077796,0.0147455159381679,10.926188751875191,10.926188751875191,5.206851119894599,0.205964607764584,0.8943105827983343,13.967948536236426,96843
baseline | LightGBM,baseline_search,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,23596,23596,1186,22410,264,84308,0.0502627563993897,0.9497372436006104,0.8179310344827586,0.2099926910174478,0.1820689655172414,0.7900073089825521,0.7900073089825521,0.2181421492493158,0.0134050735892315,3.749532299454613,3.749532299454613,18.895446880269816,0.1675330801159354,0.8836967812688419,12.497736696538276,108168
baseline | LightGBM,baseline_search,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8361452176052429,6022,6022,724,5298,726,101420,0.1202258385918299,0.87977416140817,0.4993103448275862,0.0496448584118892,0.5006896551724138,0.9503551415881109,0.9503551415881109,0.0556726573478293,0.0134050735892315,8.96868173020763,8.96868173020763,7.31767955801105,0.1675330801159354,0.8836967812688419,12.497736696538276,108168
baseline | LightGBM,baseline_search,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,19861,19861,1162,18699,266,76716,0.0585066210160616,0.9414933789839384,0.8137254901960784,0.1959754755541581,0.1862745098039215,0.8040245244458418,0.8040245244458418,0.205084518240864,0.0147455159381679,3.967756792057743,3.967756792057743,16.092082616179002,0.2021388396413337,0.8896031210262233,13.708495551390534,96843
baseline | LightGBM,baseline_search,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8361452176052429,5293,5293,782,4511,646,90904,0.1477423011524655,0.8522576988475344,0.5476190476190477,0.0472776817062306,0.4523809523809524,0.9527223182937692,0.9527223182937692,0.0546554732918228,0.0147455159381679,10.0194731586192,10.0194731586192,5.768542199488491,0.2021388396413337,0.8896031210262233,13.708495551390534,96843
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22019,22019,1193,20826,257,85892,0.0541804804941187,0.9458195195058812,0.8227586206896552,0.195149834142319,0.1772413793103448,0.804850165857681,0.804850165857681,0.2035629761112344,0.0134050735892315,4.041789113164023,4.041789113164023,17.45683151718357,0.1802422480866976,0.8914777069569751,13.445823097270278,108168
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7874011234264661,6083,6083,761,5322,689,101396,0.1251027453559099,0.8748972546440901,0.5248275862068965,0.0498697501827245,0.4751724137931034,0.9501302498172756,0.9501302498172756,0.0562365949264107,0.0134050735892315,9.332492248040042,9.332492248040042,6.993429697766097,0.1802422480866976,0.8914777069569751,13.445823097270278,108168
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17295,17295,1148,16147,280,79268,0.0663775657704539,0.933622434229546,0.803921568627451,0.1692291568411675,0.196078431372549,0.8307708431588324,0.8307708431588324,0.1785880239149964,0.0147455159381679,4.501542438310971,4.501542438310971,14.065331010452962,0.2177091013185874,0.8966794546776421,14.7644275203053,96843
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.7874011234264661,4695,4695,763,3932,665,91483,0.1625133120340788,0.8374866879659212,0.5343137254901961,0.0412094534402347,0.4656862745098039,0.9587905465597653,0.9587905465597653,0.0484805303429261,0.0147455159381679,11.0212021549834,11.0212021549834,5.153342070773263,0.2177091013185874,0.8966794546776421,14.7644275203053,96843
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,22294,22294,1198,21096,252,85622,0.0537364313268143,0.9462635686731856,0.8262068965517242,0.1976798665642159,0.1737931034482758,0.802320133435784,0.802320133435784,0.2061053176540196,0.0134050735892315,4.00866365776473,4.00866365776473,17.609348914858096,0.1811417319058832,0.8912883648881907,13.512923349514187,108168
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7965519428253174,6025,6025,748,5277,702,101441,0.1241493775933609,0.875850622406639,0.5158620689655172,0.0494480781124084,0.4841379310344827,0.9505519218875916,0.9505519218875916,0.0557003919828415,0.0134050735892315,9.261372327943912,9.261372327943912,7.054812834224599,0.1811417319058832,0.8912883648881907,13.512923349514187,108168
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,default_0_50,0.5,17704,17704,1143,16561,285,78854,0.0645616809760506,0.9354383190239494,0.8004201680672269,0.1735680972593407,0.1995798319327731,0.8264319027406593,0.8264319027406593,0.182811354460312,0.0147455159381679,4.378394167201449,4.378394167201449,14.489063867016624,0.205964607764584,0.8943105827983343,13.967948536236426,96843
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7965519428253174,4711,4711,759,3952,669,91463,0.1611122903842071,0.8388877096157928,0.5315126050420168,0.0414190640884556,0.4684873949579832,0.9585809359115444,0.9585809359115444,0.0486457462077796,0.0147455159381679,10.926188751875191,10.926188751875191,5.206851119894599,0.205964607764584,0.8943105827983343,13.967948536236426,96843
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,84734,84734,1437,83297,13,23421,0.0169589539028017,0.9830410460971984,0.9910344827586208,0.7805337431361158,0.0089655172413793,0.2194662568638842,0.2194662568638842,0.7833555210413431,0.0134050735892315,1.2651145694884518,1.2651145694884518,57.96590118302018,0.1737916640773921,0.8875210270574527,12.964618427533344,108168
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.98674738407135,6031,6031,742,5289,708,101429,0.1230310064665893,0.8769689935334107,0.5117241379310344,0.049560523997826,0.4882758620689655,0.950439476002174,0.950439476002174,0.0557558612528659,0.0134050735892315,9.177943384467609,9.177943384467609,7.1280323450134775,0.1737916640773921,0.8875210270574527,12.964618427533344,108168
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,70279,70279,1411,68868,17,26547,0.0200771211884062,0.9799228788115938,0.988095238095238,0.7217733060839491,0.0119047619047619,0.2782266939160509,0.2782266939160509,0.7257003603771052,0.0147455159381679,1.3615746829473547,1.3615746829473547,48.80793763288448,0.2051204368436851,0.8905856305735624,13.910699205359244,96843
balance_gate | XGBoost | random_undersampling,balance_gate,XGBoost,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.98674738407135,4399,4399,724,3675,704,91740,0.1645828597408501,0.8354171402591498,0.5070028011204482,0.0385159566105958,0.4929971988795518,0.9614840433894042,0.9614840433894042,0.0454240368431378,0.0147455159381679,11.16155314137476,11.16155314137476,5.0759668508287294,0.2051204368436851,0.8905856305735624,13.910699205359244,96843
