model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,0.8851956725120544,0.1821581073934377,0.8932808251977012,13.588743558988533,0.2158883374343947,0.8951811422048251,14.640948362856504,15.929364204406738
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,0.7883990677182775,0.1821338134212881,0.8908670159382348,13.586931262175098,0.2184221131434463,0.8958681308293375,14.812782005007543,79.97004723548889
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.7965519428253174,0.1811417319058832,0.8912883648881907,13.512923349514187,0.205964607764584,0.8943105827983343,13.967948536236426,
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.7965519428253174,0.1811417319058832,0.8912883648881907,13.512923349514187,0.205964607764584,0.8943105827983343,13.967948536236426,12.135714530944824
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,0.7874011234264661,0.1802422480866976,0.8914777069569751,13.445823097270278,0.2177091013185874,0.8966794546776421,14.7644275203053,90.13799524307252
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,0.8041242361068726,0.1777837877601653,0.8905983607457875,13.262425347890735,0.2126527605305548,0.8947077898391972,14.4215205098463,
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8010172247886658,0.1771672128672742,0.8904671254114129,13.216429711329182,0.2121165570311613,0.8947012248278237,14.385156675468318,
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8010172247886658,0.1771672128672742,0.8904671254114129,13.216429711329182,0.2121165570311613,0.8947012248278237,14.385156675468318,9.807311058044434
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,catboost_native_advanced_features,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,0.7830256588352915,0.1768102684908024,0.884682130345461,13.189802153181455,0.2085167977397625,0.8906960027631028,14.141030982851415,66.83366847038269
anomaly_recency_gate | XGBoost | recent_3_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_isolation_forest_anomaly_score,0.8065626621246338,0.1767159486674875,0.8882694319737937,13.18276602445848,0.2103897432182166,0.8923553910376182,14.268048951317752,
