blend_model_id,blend_name,base_model_id,base_readable_model_name,base_model_family,weight,non_trivial_weight
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,catboost_rep_native_cat_feat_original_plus_basic_generated_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=none | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,xgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,lightgbm_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,LightGBM | rep=target_frequency | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,LightGBM,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,LightGBM | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,LightGBM,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none,LogisticRegression | rep=target_frequency | feat=full_advanced | balance=class_weight_balanced | loss=logloss | train=months_0_5 | ensemble=none,LogisticRegression,0.125,True
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a1_uniform_probability_average,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A1_uniform_probability_average,logisticregression_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,LogisticRegression | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,LogisticRegression,0.125,True
blend_rep_ranks_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a2_uniform_rank_average,Blend | rep=ranks | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A2_uniform_rank_average,catboost_rep_native_cat_feat_original_plus_basic_generated_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,0.125,True
blend_rep_ranks_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a2_uniform_rank_average,Blend | rep=ranks | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A2_uniform_rank_average,catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=none | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,0.125,True
blend_rep_ranks_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_a2_uniform_rank_average,Blend | rep=ranks | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=A2_uniform_rank_average,xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,0.125,True
