model_id,readable_model_name,model_family,representation,feature_set,balance_policy,loss_type,train_strategy,ensemble_type,notes,selected_threshold_fpr5,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,validation_precision_at_fpr5,validation_fdr_at_fpr5,validation_recall_at_fpr5,validation_fpr_at_fpr5,validation_tp_at_fpr5,validation_fp_at_fpr5,validation_fn_at_fpr5,validation_tn_at_fpr5,validation_alert_rate_at_fpr5,validation_precision_top_0_5pct,validation_recall_top_0_5pct,validation_lift_top_0_5pct,validation_captured_frauds_top_0_5pct,validation_alerts_top_0_5pct,validation_precision_top_1pct,validation_recall_top_1pct,validation_lift_top_1pct,validation_captured_frauds_top_1pct,validation_alerts_top_1pct,validation_precision_top_2pct,validation_recall_top_2pct,validation_lift_top_2pct,validation_captured_frauds_top_2pct,validation_alerts_top_2pct,validation_precision_top_5pct,validation_recall_top_5pct,validation_lift_top_5pct,validation_captured_frauds_top_5pct,validation_alerts_top_5pct,test_pr_auc,test_roc_auc,test_pr_auc_lift,test_precision_at_fpr5,test_fdr_at_fpr5,test_recall_at_fpr5,test_fpr_at_fpr5,test_tp_at_fpr5,test_fp_at_fpr5,test_fn_at_fpr5,test_tn_at_fpr5,test_alert_rate_at_fpr5,test_precision_top_0_5pct,test_recall_top_0_5pct,test_lift_top_0_5pct,test_captured_frauds_top_0_5pct,test_alerts_top_0_5pct,test_precision_top_1pct,test_recall_top_1pct,test_lift_top_1pct,test_captured_frauds_top_1pct,test_alerts_top_1pct,test_precision_top_2pct,test_recall_top_2pct,test_lift_top_2pct,test_captured_frauds_top_2pct,test_alerts_top_2pct,test_precision_top_5pct,test_recall_top_5pct,test_lift_top_5pct,test_captured_frauds_top_5pct,test_alerts_top_5pct
xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,target_frequency,full_advanced,scale_pos_weight,logloss,months_0_5,none,D5 baseline XGBoost standard logloss balance=scale_pos_weight.,0.7617959976196289,0.16936929458194708,0.8844398676240507,12.634715762993139,0.12382831771090282,0.8761716822890971,0.5193103448275862,0.049925973125433384,753,5328,697,101390,0.056218105169735966,0.34750462107208874,0.1296551724137931,25.9233654152591,188,541,0.2587800369685767,0.19310344827586207,19.304633819873796,280,1082,0.19824399260628467,0.29586206896551726,14.788728408439034,429,2164,0.13052320207062304,0.4868965517241379,9.736850842465623,706,5409,0.20138994441802413,0.889795895300949,13.657707554113943,0.15595134665508253,0.8440486533449174,0.5028011204481793,0.04072734894932663,718,3886,710,91529,0.047540865111572336,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.3023735810113519,0.20518207282913165,20.506137749217334,293,969,0.23335054207537428,0.3165266106442577,15.825186657006633,452,1937,0.15300433615527564,0.5189075630252101,10.376329780311876,741,4843
xgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,target_frequency,full_advanced,none,logloss,months_0_5,none,D5 baseline XGBoost standard logloss balance=none.,0.04240449517965317,0.16879153524239884,0.8873823631859926,12.591615713172274,0.12045604758757436,0.8795439524124257,0.5027586206896552,0.049879120673176035,729,5323,721,101395,0.055950003697951334,0.3364140480591497,0.12551724137931033,25.096023965835933,182,541,0.26155268022181144,0.19517241379310346,19.511469182229586,283,1082,0.2033271719038817,0.30344827586206896,15.167926572757983,440,2164,0.12996857090035127,0.48482758620689653,9.69547612217186,703,5409,0.20633112055512762,0.8919183792575879,13.992804417311081,0.15430982519590114,0.8456901748040988,0.5378151260504201,0.04411256091809464,768,4209,660,91206,0.05139245996096775,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.30340557275541796,0.20588235294117646,20.57612456747405,294,969,0.24109447599380485,0.32703081232493,16.350358780579864,467,1937,0.15651455709271114,0.530812324929972,10.614383230062623,758,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a025_g10_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.25_g1.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.25_g1.0,months_0_5,none,Focal-loss XGBoost alpha=0.25 gamma=1.0.,0.07969402521848679,0.1623590816856078,0.8836101817810524,12.111763550185396,0.12040244103579087,0.8795975589642091,0.503448275862069,0.049972825577690734,730,5333,720,101385,0.05605169735966275,0.3197781885397412,0.1193103448275862,23.85501179170119,173,541,0.2680221811460259,0.2,19.99408502772643,290,1082,0.19269870609981515,0.28758620689655173,14.375057683727452,417,2164,0.12922906267332224,0.4820689655172414,9.64030982844684,699,5409,0.20182311936896402,0.890609098012207,13.687084278045226,0.157679033649698,0.842320966350302,0.5119047619047619,0.04092647906513651,731,3905,697,91510,0.047871296841279186,0.3731958762886598,0.12675070028011204,25.309109416962663,181,485,0.31166150670794635,0.211484593837535,21.136019113527766,302,969,0.2364481156427465,0.32072829131652664,16.035255506435924,458,1937,0.15424323766260584,0.523109243697479,10.460348644929788,747,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a025_g20_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.25_g2.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.25_g2.0,months_0_5,none,Focal-loss XGBoost alpha=0.25 gamma=2.0.,0.1574530005455017,0.15914852755936754,0.8816716858029314,11.872260640718391,0.12046996524904849,0.8795300347509515,0.5020689655172413,0.049804156749564274,728,5315,722,101403,0.05586679979291473,0.3234750462107209,0.1206896551724138,24.130792274842243,175,541,0.26062846580406657,0.19448275862068964,19.442524061444324,282,1082,0.1922365988909427,0.2868965517241379,14.340585123334819,416,2164,0.12719541504899243,0.47448275862068967,9.488602520703044,688,5409,0.1970560907986798,0.8882506516204973,13.363797619899543,0.15929997756338343,0.8407000224366166,0.49719887955182074,0.03927055494419116,710,3747,718,91668,0.04602294435323152,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.3065015479876161,0.20798319327731093,20.78608502224419,297,969,0.22870418172431595,0.31022408963585435,15.510083382862696,443,1937,0.1532108197398307,0.5196078431372549,10.390332924414864,742,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a025_g30_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.25_g3.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.25_g3.0,months_0_5,none,Focal-loss XGBoost alpha=0.25 gamma=3.0.,0.22224591672420502,0.15823982572509027,0.8799499583497855,11.804472737263147,0.11986074270557029,0.8801392572944298,0.4986206896551724,0.04974793380685545,723,5309,727,101409,0.055765106131203314,0.32717190388170053,0.12206896551724138,24.406572757983298,177,541,0.26155268022181144,0.19517241379310346,19.511469182229586,283,1082,0.19085027726432532,0.2848275862068966,14.237167442156924,413,2164,0.1281198003327787,0.47793103448275864,9.557560387859315,693,5409,0.19461154135928424,0.8868664910810522,13.198015055922383,0.16008128245653647,0.8399187175434635,0.4964985994397759,0.03898758056909291,709,3720,719,91695,0.04573381658973803,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.3023735810113519,0.20518207282913165,20.506137749217334,293,969,0.23335054207537428,0.3165266106442577,15.825186657006633,452,1937,0.15217840181705555,0.5161064425770309,10.320317203899938,737,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a025_g40_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.25_g4.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.25_g4.0,months_0_5,none,Focal-loss XGBoost alpha=0.25 gamma=4.0.,0.2684836685657501,0.15428246608341115,0.8763574221716144,11.509259166420977,0.11939554965127865,0.8806044503487214,0.49586206896551727,0.04969171086414663,719,5303,731,101415,0.0556726573478293,0.32717190388170053,0.12206896551724138,24.406572757983298,177,541,0.25508317929759705,0.19034482758620688,19.02885333673274,276,1082,0.18807763401109057,0.2806896551724138,14.030332079801134,407,2164,0.12368275097060455,0.4613793103448276,9.226562625509208,669,5409,0.18574323966612896,0.8826034684690834,12.596591427861993,0.155222545291881,0.844777454708119,0.48599439775910364,0.039584970916522556,694,3777,734,91638,0.04616750823497826,0.36082474226804123,0.12254901960784313,24.470133414190418,175,485,0.29721362229102166,0.20168067226890757,20.156203657933762,288,969,0.22302529685080022,0.3025210084033613,15.124957158908996,432,1937,0.14763576295684494,0.5007002801120448,10.012248033634268,715,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a05_g10_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.5_g1.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.5_g1.0,months_0_5,none,Focal-loss XGBoost alpha=0.5 gamma=1.0.,0.14160016179084778,0.16695813696152245,0.8866358614485745,12.45484673024411,0.1211519364448858,0.8788480635551142,0.5048275862068966,0.049757304297306924,732,5310,718,101408,0.05585755491457733,0.33826247689463956,0.12620689655172415,25.233914207406464,183,541,0.2643253234750462,0.19724137931034483,19.71830454458538,286,1082,0.19963031423290203,0.2979310344827586,14.89214608961693,432,2164,0.12922906267332224,0.4820689655172414,9.64030982844684,699,5409,0.2040074500538362,0.8908897238086136,13.835219527705643,0.15799532809513697,0.8420046719048631,0.5210084033613446,0.0415553110097993,744,3965,684,91450,0.04862509422467293,0.3628865979381443,0.12324929971988796,24.60996274798579,176,485,0.3137254901960784,0.21288515406162464,21.275992750041194,304,969,0.24006195147134746,0.32563025210084034,16.2803358307701,465,1937,0.1563080735081561,0.5301120448179272,10.600380085959637,757,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a05_g20_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.5_g2.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.5_g2.0,months_0_5,none,Focal-loss XGBoost alpha=0.5 gamma=2.0.,0.2248178869485855,0.16421082444781265,0.8853992636733227,12.24990100611793,0.12172191984166254,0.8782780801583374,0.5089655172413793,0.04989786165407897,738,5325,712,101393,0.05605169735966275,0.3290203327171904,0.12275862068965518,24.544462999553826,178,541,0.26524953789279115,0.19793103448275862,19.78724966537064,287,1082,0.19824399260628467,0.29586206896551726,14.788728408439034,429,2164,0.12996857090035127,0.48482758620689653,9.69547612217186,703,5409,0.20464664124226215,0.8909674727722667,13.878567701557698,0.16084377059986815,0.8391562294001318,0.5126050420168067,0.04002515327778651,732,3819,696,91596,0.046993587559245376,0.3731958762886598,0.12675070028011204,25.309109416962663,181,485,0.30856553147574817,0.20938375350140057,20.92605865875762,299,969,0.24006195147134746,0.32563025210084034,16.2803358307701,465,1937,0.15589510633904605,0.5287114845938375,10.572373797753666,755,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a05_g30_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.5_g3.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.5_g3.0,months_0_5,none,Focal-loss XGBoost alpha=0.5 gamma=3.0.,0.28058308362960815,0.16105443961430777,0.881383426898219,12.014439051172719,0.12087730870712401,0.879122691292876,0.5055172413793103,0.049954084596787796,733,5331,717,101387,0.05606094223800015,0.33086876155268025,0.12344827586206897,24.682353241124357,179,541,0.266173752310536,0.1986206896551724,19.856194786155903,288,1082,0.19500924214417745,0.2910344827586207,14.54742048569061,422,2164,0.1284895544462932,0.4793103448275862,9.585143534721823,695,5409,0.19801535468379738,0.8881957829508159,13.428852236444671,0.16170407695831424,0.8382959230416858,0.4943977591036415,0.038358748624430124,706,3660,722,91755,0.04508327912187768,0.3711340206185567,0.12605042016806722,25.16928008316729,180,485,0.30959752321981426,0.21008403361344538,20.996045477014338,300,969,0.2343830665978317,0.3179271708683473,15.895209606816397,454,1937,0.15176543464794548,0.5147058823529411,10.292310915693967,735,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a05_g40_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.5_g4.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.5_g4.0,months_0_5,none,Focal-loss XGBoost alpha=0.5 gamma=4.0.,0.31832632422447205,0.1580381496734574,0.8785497550424548,11.789427981985199,0.1215634315998675,0.8784365684001325,0.5062068965517241,0.0497010813545981,734,5304,716,101414,0.05582057540122772,0.31608133086876156,0.11793103448275861,23.579231308560136,171,541,0.2643253234750462,0.19724137931034483,19.71830454458538,286,1082,0.19085027726432532,0.2848275862068966,14.237167442156924,413,2164,0.12867443150305047,0.48,9.598935108153077,696,5409,0.19222551525675677,0.8866825386550365,13.03620138236001,0.15821501014198783,0.8417849898580122,0.49159663865546216,0.03914478855525861,702,3735,726,91680,0.04581642452216474,0.3649484536082474,0.12394957983193278,24.749792081781166,177,485,0.2930856553147575,0.19887955182072828,19.876256384906906,284,969,0.22973670624677336,0.311624649859944,15.580106332672461,445,1937,0.14990708238695025,0.5084033613445378,10.166282618767102,726,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a075_g10_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.75_g1.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.75_g1.0,months_0_5,none,Focal-loss XGBoost alpha=0.75 gamma=1.0.,0.2344251573085785,0.16586089770338458,0.8864460799360998,12.372994195020484,0.12168615181952906,0.878313848180471,0.5096551724137931,0.04998219606814221,739,5334,711,101384,0.056144146143036755,0.33086876155268025,0.12344827586206897,24.682353241124357,179,541,0.26247689463955637,0.19586206896551725,19.580414303014848,284,1082,0.19963031423290203,0.2979310344827586,14.89214608961693,432,2164,0.13052320207062304,0.4868965517241379,9.736850842465623,706,5409,0.20200274752410435,0.8915377847413136,13.699266161398347,0.15637513171759748,0.8436248682824026,0.5196078431372549,0.04195357124141907,742,4003,686,91412,0.04899682992059313,0.3670103092783505,0.12464985994397759,24.88962141557654,178,485,0.304437564499484,0.20658263305322128,20.646111385730762,295,969,0.23851316468766134,0.3235294117647059,16.175301406055453,462,1937,0.15403675407805079,0.5224089635854342,10.446345500826801,746,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a075_g20_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.75_g2.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.75_g2.0,months_0_5,none,Focal-loss XGBoost alpha=0.75 gamma=2.0.,0.30788636207580566,0.16654242053827323,0.8870165036955275,12.42383485847168,0.12133201450708869,0.8786679854929114,0.5075862068965518,0.04994471410633632,736,5330,714,101388,0.05607943199467495,0.32532347504621073,0.12137931034482759,24.268682516412774,176,541,0.2680221811460259,0.2,19.99408502772643,290,1082,0.20286506469500923,0.3027586206896552,15.13345401236535,439,2164,0.13052320207062304,0.4868965517241379,9.736850842465623,706,5409,0.20097317311291368,0.8924763465098874,13.629443279953712,0.15829950865199743,0.8417004913480026,0.5189075630252101,0.041293297699523134,741,3940,687,91475,0.048335966461179436,0.3649484536082474,0.12394957983193278,24.749792081781166,177,485,0.3065015479876161,0.20798319327731093,20.78608502224419,297,969,0.23851316468766134,0.3235294117647059,16.175301406055453,462,1937,0.15465620483171588,0.5245098039215687,10.488354933135756,749,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a075_g30_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.75_g3.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.75_g3.0,months_0_5,none,Focal-loss XGBoost alpha=0.75 gamma=3.0.,0.34658223390579224,0.16325325810130087,0.8822119139646805,12.178467877449318,0.12143803843605036,0.8785619615639496,0.5055172413793103,0.04969171086414663,733,5303,717,101415,0.05580208564455292,0.32717190388170053,0.12206896551724138,24.406572757983298,177,541,0.26062846580406657,0.19448275862068964,19.442524061444324,282,1082,0.1987060998151571,0.296551724137931,14.823200968831664,430,2164,0.1284895544462932,0.4793103448275862,9.585143534721823,695,5409,0.20087930951468666,0.8887948686784886,13.623077711015966,0.16241299303944315,0.8375870069605569,0.49019607843137253,0.037834722003877795,700,3610,728,91805,0.0445050235948907,0.3711340206185567,0.12605042016806722,25.16928008316729,180,485,0.3075335397316821,0.20868347338935575,20.856071840500906,298,969,0.2364481156427465,0.32072829131652664,16.035255506435924,458,1937,0.15217840181705555,0.5161064425770309,10.320317203899938,737,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a075_g40_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.75_g4.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.75_g4.0,months_0_5,none,Focal-loss XGBoost alpha=0.75 gamma=4.0.,0.3721742033958435,0.15836436600840198,0.8792476336280406,11.8137632706185,0.11986754966887417,0.8801324503311259,0.4993103448275862,0.04981352724001574,724,5316,726,101402,0.055839065157902525,0.31608133086876156,0.11793103448275861,23.579231308560136,171,541,0.26155268022181144,0.19517241379310346,19.511469182229586,283,1082,0.19269870609981515,0.28758620689655173,14.375057683727452,417,2164,0.12756516916250693,0.47586206896551725,9.516185667565551,690,5409,0.19074131032768307,0.8870942665175907,12.935546719932642,0.1588997499431689,0.8411002500568311,0.4894957983193277,0.03877796992087198,699,3700,729,91715,0.04542403684313786,0.3628865979381443,0.12324929971988796,24.60996274798579,176,485,0.29411764705882354,0.19957983193277312,19.94624320316362,285,969,0.22973670624677336,0.311624649859944,15.580106332672461,445,1937,0.14928763163328515,0.5063025210084033,10.124273186458147,723,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a09_g10_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.9_g1.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.9_g1.0,months_0_5,none,Focal-loss XGBoost alpha=0.9 gamma=1.0.,0.3580872118473053,0.17075128566914216,0.8868205021161152,12.737810391903288,0.12206805417905517,0.8779319458209448,0.5096551724137931,0.049804156749564274,739,5315,711,101403,0.055968493454626136,0.3419593345656192,0.12758620689655173,25.509694690547516,185,541,0.25693160813308685,0.1917241379310345,19.16674357830327,278,1082,0.20286506469500923,0.3027586206896552,15.13345401236535,439,2164,0.12922906267332224,0.4820689655172414,9.64030982844684,699,5409,0.2034392551072901,0.8919614279710731,13.796686122097546,0.15769474350854973,0.8423052564914503,0.523109243697479,0.04181732432007546,747,3990,681,91425,0.04891422198816641,0.3711340206185567,0.12605042016806722,25.16928008316729,180,485,0.30030959752321984,0.20378151260504201,20.366164112703906,291,969,0.23799690242643262,0.3228291316526611,16.14028993115057,461,1937,0.155482139169936,0.5273109243697479,10.544367509547698,753,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a09_g20_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.9_g2.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.9_g2.0,months_0_5,none,Focal-loss XGBoost alpha=0.9 gamma=2.0.,0.398408442735672,0.16870376371246681,0.8861625902879067,12.585068078103523,0.12161716171617162,0.8783828382838283,0.5082758620689655,0.049879120673176035,737,5323,713,101395,0.056023962724650544,0.33271719038817005,0.12413793103448276,24.82024348269488,180,541,0.26155268022181144,0.19517241379310346,19.511469182229586,283,1082,0.20194085027726433,0.30137931034482757,15.064508891580088,437,2164,0.12885930855980773,0.4806896551724138,9.612726681584332,697,5409,0.20138252966078102,0.8914248474634835,13.657204705839646,0.15872331248652147,0.8412766875134785,0.5154061624649859,0.040884556935492325,736,3901,692,91514,0.047881622832832524,0.3670103092783505,0.12464985994397759,24.88962141557654,178,485,0.3075335397316821,0.20868347338935575,20.856071840500906,298,969,0.233866804336603,0.3172268907563025,15.860198131911517,453,1937,0.15568862275449102,0.5280112044817927,10.558370653650682,754,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a09_g30_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.9_g3.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.9_g3.0,months_0_5,none,Focal-loss XGBoost alpha=0.9 gamma=3.0.,0.4153733253479004,0.16224867014927946,0.8823402282909969,12.103527001867075,0.12129246064623032,0.8787075393537697,0.5048275862068966,0.04969171086414663,732,5303,718,101415,0.05579284076621552,0.3345656192236599,0.12482758620689655,24.95813372426541,181,541,0.26062846580406657,0.19448275862068964,19.442524061444324,282,1082,0.19963031423290203,0.2979310344827586,14.89214608961693,432,2164,0.1294139397300795,0.4827586206896552,9.654101401878096,700,5409,0.1992346838127729,0.8883151237752346,13.511543756638911,0.16214335421016005,0.83785664578984,0.4894957983193277,0.03785568306869989,699,3612,729,91803,0.044515349586444035,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.30340557275541796,0.20588235294117646,20.57612456747405,294,969,0.23541559112028912,0.31932773109243695,15.965232556626162,456,1937,0.1503200495560603,0.5098039215686274,10.194288906973073,728,4843
focalxgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_focal_a09_g40_train_months_0_5_ensemble_none,FocalXGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=focal_a0.9_g4.0 | train=months_0_5 | ensemble=none,FocalXGBoost,target_frequency,full_advanced,none,focal_a0.9_g4.0,months_0_5,none,Focal-loss XGBoost alpha=0.9 gamma=4.0.,0.4281488060951233,0.1547401460575985,0.8797404761889376,11.54340146121263,0.12104128668545847,0.8789587133145416,0.503448275862069,0.04967296988324369,730,5301,720,101417,0.05575586125286591,0.32532347504621073,0.12137931034482759,24.268682516412774,176,541,0.2541589648798521,0.1896551724137931,18.95990821594748,275,1082,0.18807763401109057,0.2806896551724138,14.030332079801134,407,2164,0.12793492327602143,0.4772413793103448,9.54376881442806,692,5409,0.1896702199951125,0.8863802912560508,12.862908343828208,0.15584709341777878,0.8441529065822212,0.48249299719887956,0.039113346958025465,689,3732,739,91683,0.045651208657311315,0.3525773195876289,0.11974789915966387,23.910816079008924,171,485,0.2982456140350877,0.20238095238095238,20.226190476190474,289,969,0.22612287041817244,0.3067226890756303,15.335026008338287,438,1937,0.15052653314061532,0.5105042016806722,10.208292051076057,729,4843
