model_id,readable_model_name,model_family,representation,feature_set,balance_policy,loss_type,train_strategy,ensemble_type,notes,selected_threshold_fpr5,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,validation_precision_at_fpr5,validation_fdr_at_fpr5,validation_recall_at_fpr5,validation_fpr_at_fpr5,validation_tp_at_fpr5,validation_fp_at_fpr5,validation_fn_at_fpr5,validation_tn_at_fpr5,validation_alert_rate_at_fpr5,validation_precision_top_0_5pct,validation_recall_top_0_5pct,validation_lift_top_0_5pct,validation_captured_frauds_top_0_5pct,validation_alerts_top_0_5pct,validation_precision_top_1pct,validation_recall_top_1pct,validation_lift_top_1pct,validation_captured_frauds_top_1pct,validation_alerts_top_1pct,validation_precision_top_2pct,validation_recall_top_2pct,validation_lift_top_2pct,validation_captured_frauds_top_2pct,validation_alerts_top_2pct,validation_precision_top_5pct,validation_recall_top_5pct,validation_lift_top_5pct,validation_captured_frauds_top_5pct,validation_alerts_top_5pct,test_pr_auc,test_roc_auc,test_pr_auc_lift,test_precision_at_fpr5,test_fdr_at_fpr5,test_recall_at_fpr5,test_fpr_at_fpr5,test_tp_at_fpr5,test_fp_at_fpr5,test_fn_at_fpr5,test_tn_at_fpr5,test_alert_rate_at_fpr5,test_precision_top_0_5pct,test_recall_top_0_5pct,test_lift_top_0_5pct,test_captured_frauds_top_0_5pct,test_alerts_top_0_5pct,test_precision_top_1pct,test_recall_top_1pct,test_lift_top_1pct,test_captured_frauds_top_1pct,test_alerts_top_1pct,test_precision_top_2pct,test_recall_top_2pct,test_lift_top_2pct,test_captured_frauds_top_2pct,test_alerts_top_2pct,test_precision_top_5pct,test_recall_top_5pct,test_lift_top_5pct,test_captured_frauds_top_5pct,test_alerts_top_5pct,pr_auc_delta_vs_full,top1_delta_vs_full
catboost_rep_native_cat_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,full_advanced,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with full_advanced.,0.7451389866901782,0.17069151355741885,0.883357918484488,12.733351474813022,0.12246579858249547,0.8775342014175045,0.5124137931034483,0.04988849116362751,743,5324,707,101394,0.056088676873012354,0.3456561922365989,0.1289655172413793,25.78547517368857,187,541,0.2634011090573013,0.19655172413793104,19.649359423800114,285,1082,0.20609981515711645,0.30758620689655175,15.374761935113773,446,2164,0.12922906267332224,0.4820689655172414,9.64030982844684,699,5409,0.20538837862861492,0.885953341667852,13.92887027418134,0.1665877898722196,0.8334122101277804,0.49299719887955185,0.036912435151705704,704,3522,724,91893,0.04363764030441023,0.37731958762886597,0.12815126050420167,25.588768084553408,183,485,0.30959752321981426,0.21008403361344538,20.996045477014338,300,969,0.24367578729994838,0.33053221288515405,16.52541615510427,472,1937,0.15465620483171588,0.5245098039215687,10.488354933135756,749,4843,0.0,0.0
catboost_rep_native_cat_feat_original_only_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_only | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,original_only,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with original_only.,0.7447453583048574,0.1713800077537069,0.8867056392904018,12.784712192208943,0.1225296442687747,0.8774703557312253,0.5131034482758621,0.049925973125433384,744,5328,706,101390,0.056134901264699354,0.3438077634011091,0.12827586206896552,25.647584932118043,186,541,0.26709796672828096,0.1993103448275862,19.92513990694117,289,1082,0.20378927911275416,0.3041379310344828,15.202399133150614,441,2164,0.129783693843594,0.48413793103448277,9.681684548740604,702,5409,0.207733971457805,0.8890089012600272,14.087941875271856,0.15655702691157625,0.8434429730884238,0.5133053221288515,0.041387622491222555,733,3949,695,91466,0.048346292452732774,0.37938144329896906,0.12885154061624648,25.728597418348784,184,485,0.31682146542827655,0.21498599439775912,21.485953204811334,307,969,0.2452245740836345,0.3326330532212885,16.63045057981892,475,1937,0.15341730332438572,0.5203081232492998,10.404336068517848,743,4843,0.0006884941962880531,0.0036968576709796586
catboost_rep_native_cat_feat_original_without_sensitive_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_without_sensitive | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,original_without_sensitive,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with original_without_sensitive.,0.7416297578477373,0.13851216541330919,0.8596413622495896,10.332816488570225,0.11105552776388194,0.888944472236118,0.4593103448275862,0.049954084596787796,666,5331,784,101387,0.055441535389394274,0.31053604436229204,0.11586206896551725,23.165560583848553,168,541,0.22828096118299446,0.1703448275862069,17.0294448339601,247,1082,0.17190388170055454,0.25655172413793104,12.823792466059022,372,2164,0.1166574228138288,0.43517241379310345,8.70248283512154,631,5409,0.17121237848176118,0.8669697727647365,11.61114871800364,0.14552768575485092,0.8544723142451491,0.43067226890756305,0.03784520253628884,615,3611,813,91804,0.04363764030441023,0.3711340206185567,0.12605042016806722,25.16928008316729,180,485,0.27966976264189886,0.18977591036414565,18.966427747569615,271,969,0.2101187403200826,0.2850140056022409,14.249670286286946,407,1937,0.13586619863720834,0.46078431372549017,9.214068819764123,658,4843,-0.032179348144109665,-0.03512014787430684
catboost_rep_native_cat_feat_missing_flags_only_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=missing_flags_only | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,missing_flags_only,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with missing_flags_only.,0.7484643105835806,0.1701720732594754,0.8842079512165804,12.694601945055815,0.11952388824599107,0.880476111754009,0.4986206896551724,0.049907232144530446,723,5326,727,101392,0.05592226906293913,0.34750462107208874,0.1296551724137931,25.9233654152591,188,541,0.2634011090573013,0.19655172413793104,19.649359423800114,285,1082,0.20378927911275416,0.3041379310344828,15.202399133150614,441,2164,0.1268256609354779,0.4731034482758621,9.461019373840532,686,5409,0.1980704483330985,0.8859189056327871,13.432588534959566,0.15841362312345955,0.8415863768765405,0.4950980392156863,0.03936487973589058,707,3756,721,91659,0.04608490030255155,0.37731958762886597,0.12815126050420167,25.588768084553408,183,485,0.2951496388028896,0.20028011204481794,20.016230021420334,286,969,0.23851316468766134,0.3235294117647059,16.175301406055453,462,1937,0.14949411521784017,0.5070028011204482,10.138276330561132,724,4843,-0.0005194402979434576,0.0
catboost_rep_native_cat_feat_outlier_flags_only_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=outlier_flags_only | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,outlier_flags_only,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with outlier_flags_only.,0.7437001209971531,0.17143022873668912,0.8848438779354677,12.788458608269094,0.12289395441030723,0.8771060455896927,0.5131034482758621,0.049757304297306924,744,5310,706,101408,0.055968493454626136,0.34935304990757854,0.13034482758620689,26.061255656829623,189,541,0.2541589648798521,0.1896551724137931,18.95990821594748,275,1082,0.20841035120147874,0.31103448275862067,15.547124737076933,451,2164,0.13033832501386577,0.4862068965517241,9.723059269034367,705,5409,0.20360834294697372,0.8884715170981667,13.808153190485838,0.1645926273773186,0.8354073726226814,0.49089635854341734,0.03728973431850338,701,3558,727,91857,0.04397839802567041,0.4020618556701031,0.13655462184873948,27.266720090097895,195,485,0.3023735810113519,0.20518207282913165,20.506137749217334,293,969,0.23593185338151781,0.32002801120448177,16.000244031531043,457,1937,0.1525913689861656,0.5175070028011205,10.348323492105907,739,4843,0.0007387151792702662,-0.009242144177449174
catboost_rep_native_cat_feat_log_features_only_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=log_features_only | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,log_features_only,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with log_features_only.,0.739367488628732,0.16938007869086927,0.8853701634536656,12.6355202426441,0.12294946147473074,0.8770505385252693,0.5117241379310344,0.04959800595963193,742,5293,708,101425,0.05579284076621552,0.33826247689463956,0.12620689655172415,25.233914207406464,183,541,0.2587800369685767,0.19310344827586207,19.304633819873796,280,1082,0.1987060998151571,0.296551724137931,14.823200968831664,430,2164,0.1307080791273803,0.48758620689655174,9.750642415896877,707,5409,0.2018051342555314,0.8861445233126525,13.68586457752691,0.16682264857276555,0.8331773514272345,0.4992997198879552,0.03732117591573652,713,3561,715,91854,0.044133287898970495,0.3731958762886598,0.12675070028011204,25.309109416962663,181,485,0.3023735810113519,0.20518207282913165,20.506137749217334,293,969,0.24109447599380485,0.32703081232493,16.350358780579864,467,1937,0.15424323766260584,0.523109243697479,10.460348644929788,747,4843,-0.0013114348665495823,-0.004621072088724587
catboost_rep_native_cat_feat_ratios_only_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=ratios_only | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,ratios_only,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with ratios_only.,0.7474622205379531,0.1686898328542779,0.8816556687266667,12.584028855297609,0.12072434607645875,0.8792756539235412,0.496551724137931,0.049138851927509886,720,5244,730,101474,0.05513645440426004,0.3438077634011091,0.12827586206896552,25.647584932118043,186,541,0.2680221811460259,0.2,19.99408502772643,290,1082,0.205637707948244,0.30689655172413793,15.340289374721142,445,2164,0.12756516916250693,0.47586206896551725,9.516185667565551,690,5409,0.20164576985593763,0.8863280500587805,13.67505692588135,0.17393548387096774,0.8260645161290323,0.47198879551820727,0.03354818424775979,674,3201,754,92214,0.04001321726918827,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.30340557275541796,0.20588235294117646,20.57612456747405,294,969,0.24264326277749096,0.3291316526610644,16.45539320529451,470,1937,0.1532108197398307,0.5196078431372549,10.390332924414864,742,4843,-0.00200168070314094,0.004621072088724587
catboost_rep_native_cat_feat_interactions_only_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=interactions_only | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,interactions_only,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with interactions_only.,0.7480202882347863,0.17018432362121666,0.8852877871489864,12.695515805144664,0.1226771912514389,0.8773228087485611,0.5144827586206897,0.04999156655859368,746,5335,704,101383,0.056218105169735966,0.3364140480591497,0.12551724137931033,25.096023965835933,182,541,0.26062846580406657,0.19448275862068964,19.442524061444324,282,1082,0.2000924214417745,0.2986206896551724,14.92661865000956,433,2164,0.12904418561656497,0.48137931034482756,9.626518255015586,698,5409,0.20495300303966735,0.8890872777345493,13.899344309082986,0.16197341743635954,0.8380265825636405,0.5035014005602241,0.03898758056909291,719,3720,709,91695,0.04583707650527142,0.3938144329896907,0.13375350140056022,26.707402754916398,191,485,0.3157894736842105,0.21428571428571427,21.415966386554622,306,969,0.24212700051626226,0.3284313725490196,16.420381730389625,469,1937,0.15362378690894074,0.5210084033613446,10.418339212620833,744,4843,-0.0005071899362021903,-0.00277264325323473
catboost_rep_native_cat_feat_full_advanced_without_ratios_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=full_advanced_without_ratios | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,full_advanced_without_ratios,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with full_advanced_without_ratios.,0.7466895322421259,0.17235105354932723,0.8862270398749911,12.857150869188708,0.12386756712238511,0.8761324328776149,0.5186206896551724,0.04984163871137015,752,5319,698,101399,0.05612565638636195,0.33826247689463956,0.12620689655172415,25.233914207406464,183,541,0.2680221811460259,0.2,19.99408502772643,290,1082,0.20055452865064696,0.2993103448275862,14.961091210402193,434,2164,0.13255684969495285,0.49448275862068963,9.88855815020942,717,5409,0.20221262393161704,0.8919420925630641,13.71349939734565,0.1619486504279131,0.8380513495720869,0.5168067226890757,0.04002515327778651,738,3819,690,91596,0.04705554350856541,0.3711340206185567,0.12605042016806722,25.16928008316729,180,485,0.29927760577915374,0.2030812324929972,20.29617729444719,290,969,0.24109447599380485,0.32703081232493,16.350358780579864,467,1937,0.1563080735081561,0.5301120448179272,10.600380085959637,757,4843,0.0016595399919083764,0.004621072088724587
catboost_rep_native_cat_feat_full_advanced_without_interactions_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=full_advanced_without_interactions | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,full_advanced_without_interactions,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with full_advanced_without_interactions.,0.7331455210765102,0.16945369009078806,0.8831310815290832,12.641011551545077,0.12100230794592813,0.8789976920540719,0.5062068965517241,0.04996345508723927,734,5332,716,101386,0.05607943199467495,0.33271719038817005,0.12413793103448276,24.82024348269488,180,541,0.25231053604436227,0.18827586206896552,18.822017974376948,273,1082,0.19824399260628467,0.29586206896551726,14.788728408439034,429,2164,0.1281198003327787,0.47793103448275864,9.557560387859315,693,5409,0.2021152197148559,0.8868947180612013,13.706893713477445,0.16398559423769507,0.8360144057623049,0.47829131652661067,0.03649321385526385,683,3482,745,91933,0.04300775481965656,0.3958762886597938,0.13445378151260504,26.847232088711774,192,485,0.3065015479876161,0.20798319327731093,20.78608502224419,297,969,0.23748064016520393,0.32212885154061627,16.10527845624569,460,1937,0.1509395003097254,0.5119047619047619,10.236298339282028,731,4843,-0.0012378234666307886,-0.011090573012939031
catboost_rep_native_cat_feat_full_advanced_without_sensitive_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=full_advanced_without_sensitive | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,full_advanced_without_sensitive,scale_pos_weight,logloss,months_0_5,none,D6 feature ablation with full_advanced_without_sensitive.,0.7356497629447912,0.14444076960489005,0.863057196827475,10.775082183877066,0.11435726210350584,0.8856427378964942,0.4724137931034483,0.04971045184504957,685,5305,765,101413,0.05537682124103247,0.31608133086876156,0.11793103448275861,23.579231308560136,171,541,0.23197781885397412,0.17310344827586208,17.30522531710115,251,1082,0.17467652495378927,0.26068965517241377,13.030627828414811,378,2164,0.12072471806248844,0.4503448275862069,9.005897450609137,653,5409,0.17411100585050968,0.8713647708205537,11.807725587941812,0.15887380593262945,0.8411261940673705,0.4425770308123249,0.03506786144736153,632,3346,796,92069,0.04107679439918218,0.35876288659793815,0.12184873949579832,24.330304080395045,174,485,0.27347781217750256,0.18557422969187676,18.546506838029327,265,969,0.21270005162622613,0.28851540616246496,14.424727660811357,412,1937,0.13978938674375388,0.4740896358543417,9.480128557720839,677,4843,-0.0262507439525288,-0.03142329020332718
