group_attribute,group_value,group_size,fraud_prevalence,alert_rate,precision,fdr,tpr_recall,fpr,fnr,tp,fp,fn,tn,max_fpr_gap,max_tpr_gap,equal_opportunity_diff,dir_alert,dir_non_alert
housing_status,BA,20718,0.04281301283907713,0.22019499951732793,0.13480929416922402,0.865190705830776,0.6933483652762119,0.19903181886944682,0.30665163472378804,615,3947,272,15884,0.1930369573222016,0.6100150319428785,0.0,0.02890164612447715,0.7847994626576626
housing_status,BB,33162,0.006694409263614981,0.019359507870454134,0.08722741433021806,0.9127725856697819,0.25225225225225223,0.017789921068609594,0.7477477477477478,56,586,166,32354,0.1930369573222016,0.6100150319428785,-0.4410961130239597,0.02890164612447715,0.7847994626576626
housing_status,BC,32762,0.006989805262194005,0.016787741896099138,0.09636363636363636,0.9036363636363637,0.2314410480349345,0.01527679586881013,0.7685589519650655,53,497,176,32036,0.1930369573222016,0.6100150319428785,-0.4619073172412774,0.02890164612447715,0.7847994626576626
housing_status,BD,3727,0.007512744834987926,0.05178427689830963,0.06217616580310881,0.9378238341968912,0.42857142857142855,0.048932143822654775,0.5714285714285714,12,181,16,3518,0.1930369573222016,0.6100150319428785,-0.26477693670478336,0.02890164612447715,0.7847994626576626
housing_status,BE,17599,0.0047729984658219215,0.006363997954429229,0.0625,0.9375,0.08333333333333333,0.0059948615472452185,0.9166666666666666,7,105,77,17410,0.1930369573222016,0.6100150319428785,-0.6100150319428785,0.02890164612447715,0.7847994626576626
housing_status,BF,176,0.0,0.03409090909090909,0.0,1.0,,0.03409090909090909,,0,6,0,170,0.1930369573222016,0.6100150319428785,,0.02890164612447715,0.7847994626576626
housing_status,BG,24,0.0,0.08333333333333333,0.0,1.0,,0.08333333333333333,,0,2,0,22,0.1930369573222016,0.6100150319428785,,0.02890164612447715,0.7847994626576626
employment_status,CA,83827,0.014529924725923628,0.0636787669843845,0.11989509179467965,0.8801049082053204,0.5254515599343186,0.05687031679356971,0.4745484400656814,640,4698,578,77911,0.05432498252522949,1.0,0.0,0.06563697312455025,0.931675951086419
employment_status,CB,11563,0.008734757415895529,0.03078785782236444,0.10112359550561797,0.898876404494382,0.3564356435643564,0.027918338858837898,0.6435643564356436,36,320,65,11142,0.05432498252522949,1.0,-0.16901591636996216,0.06563697312455025,0.931675951086419
employment_status,CC,4246,0.027790861987753178,0.07277437588318417,0.21035598705501618,0.7896440129449838,0.5508474576271186,0.05910852713178295,0.4491525423728814,65,244,53,3884,0.05432498252522949,1.0,0.02539589769280004,0.06563697312455025,0.931675951086419
employment_status,CD,2004,0.000499001996007984,0.010978043912175649,0.045454545454545456,0.9545454545454546,1.0,0.010484273589615577,0.0,1,21,0,1982,0.05432498252522949,1.0,0.4745484400656814,0.06563697312455025,0.931675951086419
employment_status,CE,2298,0.0026109660574412533,0.009138381201044387,0.047619047619047616,0.9523809523809523,0.16666666666666666,0.008726003490401396,0.8333333333333334,1,20,5,2272,0.05432498252522949,1.0,-0.35878489326765195,0.06563697312455025,0.931675951086419
employment_status,CF,4187,0.0014330069262001434,0.004776689754000477,0.0,1.0,0.0,0.004783544606553456,1.0,0,20,6,4161,0.05432498252522949,1.0,-0.5254515599343186,0.06563697312455025,0.931675951086419
employment_status,CG,43,0.0,0.023255813953488372,0.0,1.0,,0.023255813953488372,,0,1,0,42,0.05432498252522949,1.0,,0.06563697312455025,0.931675951086419
customer_age_group,26-35,30959,0.009980942536903646,0.03330210924125456,0.11057225994180407,0.8894277400581959,0.36893203883495146,0.029918433931484502,0.6310679611650486,114,917,195,29733,0.11853461458626847,0.4604562261076643,0.0,0.08567999189850105,0.8583659832782715
customer_age_group,36-45,28613,0.014259252787194632,0.0696187047845385,0.10692771084337349,0.8930722891566265,0.5220588235294118,0.06307392306328666,0.47794117647058826,213,1779,195,26426,0.11853461458626847,0.4604562261076643,0.15312678469446034,0.08567999189850105,0.8583659832782715
customer_age_group,46-55,15951,0.023446805842893863,0.11880132907027773,0.12137203166226913,0.8786279683377308,0.6149732620320856,0.10688836104513064,0.3850267379679144,230,1665,144,13912,0.11853461458626847,0.4604562261076643,0.24604122319713412,0.08567999189850105,0.8583659832782715
customer_age_group,56+,5161,0.03817089711296261,0.152877349350901,0.18124207858048164,0.8187579214195184,0.7258883248730964,0.13013698630136986,0.27411167512690354,143,646,54,4318,0.11853461458626847,0.4604562261076643,0.35695628603814494,0.08567999189850105,0.8583659832782715
customer_age_group,<=25,27484,0.005894338524232281,0.013098530053849512,0.11944444444444445,0.8805555555555555,0.2654320987654321,0.011602371715101383,0.7345679012345679,43,317,119,27005,0.11853461458626847,0.4604562261076643,-0.10349994006951935,0.08567999189850105,0.8583659832782715
income_group,"(0.099, 0.4]",29350,0.007632027257240204,0.021396933560477,0.11464968152866242,0.8853503184713376,0.32142857142857145,0.019089473322804366,0.6785714285714286,72,556,152,28570,0.06054896043426067,0.27413637049328704,0.0,0.23928927981804102,0.9304909649089486
income_group,"(0.4, 0.7]",28862,0.009666689765089045,0.03367749982676183,0.11008230452674897,0.8899176954732511,0.3835125448028674,0.03026274358884652,0.6164874551971327,107,865,172,27718,0.06054896043426067,0.27413637049328704,0.06208397337429594,0.23928927981804102,0.9304909649089486
income_group,"(0.7, 0.9]",49956,0.01895668188005445,0.08941868844583233,0.1262592343854936,0.8737407656145064,0.5955649419218585,0.07963843375706503,0.4044350580781415,564,3903,383,45106,0.06054896043426067,0.27413637049328704,0.27413637049328704,0.23928927981804102,0.9304909649089486
