feature,importance_mean,importance_std
housing_status,0.04542012416143732,0.004897664748750214
keep_alive_session,0.03171984416550872,0.003969685851244487
phone_home_valid,0.03165352847652623,0.005084561246324394
device_os,0.03085403191843557,0.009396910379067758
has_other_cards,0.026202565860430554,0.013295262731639954
credit_risk_score,0.01690617477135881,0.0029223654365346883
prev_address_months_count,0.01371714379332914,0.00891169621239088
proposed_credit_limit,0.013659786807104954,0.0009340876130908466
income,0.012872596774157969,0.007374546708806582
bank_branch_count_8w,0.009139040418349745,0.00607935537931211
employment_status,0.003144999510810533,0.002060240537453917
current_address_months_count,0.002330360474914505,0.010200715588924979
session_length_in_minutes,0.0019886443187912967,0.002652521417271715
date_of_birth_distinct_emails_4w,0.0018713547404439524,0.004943840674241782
name_email_similarity,0.0010689642723257554,0.002922053527476188
source,0.0003876964293959608,0.0004004917313768589
payment_type,0.0003217489797697805,0.0027955914794385783
month,0.0,0.0
foreign_request,-6.338380890323163e-06,7.283818841296556e-05
customer_age,-0.00015196459528629228,0.007409541733286342
velocity_4w,-0.0011935335642231926,0.0012096090125969107
phone_mobile_valid,-0.0014357963197965118,0.0005966363077076228
velocity_24h,-0.0016383621278348397,0.0009752996329995699
days_since_request,-0.001853783602840382,0.003148886735387445
device_distinct_emails_8w,-0.0028192911402547447,0.000567571199259747
