feature,mean_abs_shap
housing_status_target_mean,0.4835511
device_os_target_mean,0.4504226
phone_home_valid,0.29070565
keep_alive_session,0.27361545
name_email_similarity,0.25202948
has_other_cards,0.24219821
prev_address_months_count_was_missing,0.23852214
current_address_months_count,0.22119702
income,0.21909001
email_similarity_bin__email_free_target_mean,0.16641797
credit_risk_score,0.15886575
employment_status_target_mean,0.15457454
intended_balcon_amount,0.14768362
customer_age,0.12345546
bank_branch_count_8w,0.11978125
velocity_4w,0.11386663
email_is_free,0.10552732
housing_status_frequency,0.1026074
phone_valid_combo_target_mean,0.09630805
branch_count_to_zip_count,0.09539865
days_since_request,0.09274825
dob_emails_to_zip_count,0.09204284
velocity_24h,0.091923736
bank_months_count,0.08277549
device_os__source_target_mean,0.071348414
