interaction,row_value,column_value,fraud_rate,count
Device OS x Source,linux,INTERNET,0.004596572986985742,266938
Device OS x Source,linux,TELEAPP,0.009433962264150943,742
Device OS x Source,macintosh,INTERNET,0.012542626243752044,42814
Device OS x Source,macintosh,TELEAPP,0.03553299492385787,197
Device OS x Source,other,INTERNET,0.0052205420477700664,261084
Device OS x Source,other,TELEAPP,0.009900990099009901,4343
Device OS x Source,windows,INTERNET,0.022975090709724175,212491
Device OS x Source,windows,TELEAPP,0.052995391705069124,434
Device OS x Source,x11,INTERNET,0.010464135021097047,5925
Device OS x Source,x11,TELEAPP,0.0,21
Payment Type x Credit Limit,AA,"(189.999, 200.0]",0.0036657190104187882,122759
Payment Type x Credit Limit,AA,"(200.0, 510.0]",0.005883415477511419,38753
Payment Type x Credit Limit,AA,"(510.0, 2100.0]",0.007804589942625717,47408
Payment Type x Credit Limit,AB,"(189.999, 200.0]",0.006413080166362508,174799
Payment Type x Credit Limit,AB,"(200.0, 510.0]",0.010086975852391142,35987
Payment Type x Credit Limit,AB,"(510.0, 2100.0]",0.019535893327820558,77396
Payment Type x Credit Limit,AC,"(189.999, 200.0]",0.010296667905363557,129168
Payment Type x Credit Limit,AC,"(200.0, 510.0]",0.014221949938736215,22852
Payment Type x Credit Limit,AC,"(510.0, 2100.0]",0.03176614618011555,46559
Payment Type x Credit Limit,AD,"(189.999, 200.0]",0.006485355648535565,62140
Payment Type x Credit Limit,AD,"(200.0, 510.0]",0.008730815182428086,10881
Payment Type x Credit Limit,AD,"(510.0, 2100.0]",0.018203464034717155,26039
Payment Type x Credit Limit,AE,"(189.999, 200.0]",0.006896551724137931,145
Payment Type x Credit Limit,AE,"(200.0, 510.0]",0.0,39
Payment Type x Credit Limit,AE,"(510.0, 2100.0]",0.0,64
Free Email x Name/Email Similarity,0,"(-0.00099857, 0.228]",0.01283822612395613,81787
Free Email x Name/Email Similarity,0,"(0.228, 0.5]",0.006233725242641837,88711
Free Email x Name/Email Similarity,0,"(0.5, 0.763]",0.005700757977876388,94198
Free Email x Name/Email Similarity,0,"(0.763, 1.0]",0.005480140774258421,99450
Free Email x Name/Email Similarity,1,"(-0.00099857, 0.228]",0.02081035558861501,116961
Free Email x Name/Email Similarity,1,"(0.228, 0.5]",0.01041477334690465,110036
Free Email x Name/Email Similarity,1,"(0.5, 0.763]",0.008876220719471252,104549
Free Email x Name/Email Similarity,1,"(0.763, 1.0]",0.009647824204155211,99297
Home Phone x Mobile Phone Valid,0,0,0.02626134012414452,18849
Home Phone x Mobile Phone Valid,0,1,0.012348695462679865,454299
Home Phone x Mobile Phone Valid,1,0,0.011384020974196218,72470
Home Phone x Mobile Phone Valid,1,1,0.004896319138953607,249371
Source x Session Length,INTERNET,"(0.00226, 3.26]",0.009573905258017256,196576
Source x Session Length,INTERNET,"(3.26, 5.238]",0.010914911456083741,196795
Source x Session Length,INTERNET,"(5.238, 9.021]",0.01063474725408095,197748
Source x Session Length,INTERNET,"(9.021, 85.899]",0.009778357235984355,197886
Source x Session Length,INTERNET,nan,0.012145748987854251,247
Source x Session Length,TELEAPP,"(0.00226, 3.26]",0.014500836586726157,1793
Source x Session Length,TELEAPP,"(3.26, 5.238]",0.017789072426937738,1574
Source x Session Length,TELEAPP,"(5.238, 9.021]",0.01288244766505636,621
Source x Session Length,TELEAPP,"(9.021, 85.899]",0.016563146997929608,483
Source x Session Length,TELEAPP,nan,0.007898894154818325,1266
Device OS x Free Email,linux,0,0.0027692561098643168,97138
Device OS x Free Email,linux,1,0.005658430181421585,170542
Device OS x Free Email,macintosh,0,0.008754276514389214,19876
Device OS x Free Email,macintosh,1,0.015993084071752754,23135
Device OS x Free Email,other,0,0.0038218837212499485,145478
Device OS x Free Email,other,1,0.007086345029971071,119949
Device OS x Free Email,windows,0,0.016853536421973063,99267
Device OS x Free Email,windows,1,0.028436185750233156,113658
Device OS x Free Email,x11,0,0.005446166736489317,2387
Device OS x Free Email,x11,1,0.01376791233492554,3559
