housing_status,n_with_housing,fraud_count_with_housing,legitimate_count_with_housing,fraud_rate_with_housing,alert_count_with_housing,alert_rate_with_housing,precision_with_housing,recall_tpr_with_housing,fpr_with_housing,fnr_with_housing,tn_with_housing,fp_with_housing,fn_with_housing,tp_with_housing,small_group_warning_with_housing,model_with_housing,model_family,feature_policy_with_housing,split,threshold_policy,threshold_with_housing,n_without_housing,fraud_count_without_housing,legitimate_count_without_housing,fraud_rate_without_housing,alert_count_without_housing,alert_rate_without_housing,precision_without_housing,recall_tpr_without_housing,fpr_without_housing,fnr_without_housing,tn_without_housing,fp_without_housing,fn_without_housing,tp_without_housing,small_group_warning_without_housing,model_without_housing,feature_policy_without_housing,threshold_without_housing,alert_rate_delta_with_minus_without,precision_delta_with_minus_without,recall_tpr_delta_with_minus_without,fpr_delta_with_minus_without,fnr_delta_with_minus_without
BB,33162,222,32940,0.006694409263614981,3497,0.10545202340027743,0.037460680583357164,0.5900900900900901,0.10218579234972677,0.4099099099099099,29574,3366,91,131,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,33162,222,32940,0.006694409263614981,5286,0.15939931246607564,0.029322739311388575,0.6981981981981982,0.15576806314511232,0.30180180180180183,27809,5131,67,155,False,CatBoost | without_housing_status,without_housing_status,0.5,-0.05394728906579821,0.00813794127196859,-0.10810810810810811,-0.05358227079538555,0.10810810810810806
BC,32762,229,32533,0.006989805262194005,3086,0.09419449362065808,0.04504212572909916,0.6069868995633187,0.09058494451787416,0.3930131004366812,29586,2947,90,139,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,32762,229,32533,0.006989805262194005,4135,0.1262132958915817,0.03675937122128174,0.6637554585152838,0.12242953308947838,0.33624454148471616,28550,3983,77,152,False,CatBoost | without_housing_status,without_housing_status,0.5,-0.032018802270923616,0.008282754507817416,-0.05676855895196509,-0.031844588571604215,0.05676855895196503
BA,20718,887,19831,0.04281301283907713,10002,0.4827686070083985,0.07908418316336732,0.8917700112739572,0.4644748121627755,0.10822998872604284,10620,9211,96,791,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,20718,887,19831,0.04281301283907713,7867,0.37971811950960516,0.09406381085547223,0.8342728297632469,0.3593868186173163,0.1657271702367531,12704,7127,147,740,False,CatBoost | without_housing_status,without_housing_status,0.5,0.10305048749879336,-0.01497962769210491,0.05749718151071026,0.10508799354545917,-0.05749718151071026
BE,17599,84,17515,0.0047729984658219215,982,0.055798624921870564,0.032586558044806514,0.38095238095238093,0.054239223522694835,0.6190476190476191,16565,950,52,32,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,17599,84,17515,0.0047729984658219215,1957,0.11119949997158929,0.025549310168625446,0.5952380952380952,0.10887810448187268,0.40476190476190477,15608,1907,34,50,False,CatBoost | without_housing_status,without_housing_status,0.5,-0.055400875049718724,0.007037247876181069,-0.2142857142857143,-0.05463888095917785,0.2142857142857143
BD,3727,28,3699,0.007512744834987926,657,0.176281191306681,0.030441400304414,0.7142857142857143,0.17220870505542038,0.2857142857142857,3062,637,8,20,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,3727,28,3699,0.007512744834987926,657,0.176281191306681,0.0289193302891933,0.6785714285714286,0.17247904839145714,0.32142857142857145,3061,638,9,19,False,CatBoost | without_housing_status,without_housing_status,0.5,0.0,0.0015220700152207,0.0357142857142857,-0.0002703433360367602,-0.035714285714285754
BF,176,0,176,0.0,26,0.14772727272727273,0.0,,0.14772727272727273,,150,26,0,0,True,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,176,0,176,0.0,30,0.17045454545454544,0.0,,0.17045454545454544,,146,30,0,0,True,CatBoost | without_housing_status,without_housing_status,0.5,-0.022727272727272707,0.0,,-0.022727272727272707,
BG,24,0,24,0.0,4,0.16666666666666666,0.0,,0.16666666666666666,,20,4,0,0,True,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,24,0,24,0.0,4,0.16666666666666666,0.0,,0.16666666666666666,,20,4,0,0,True,CatBoost | without_housing_status,without_housing_status,0.5,0.0,0.0,,0.0,
BB,33162,222,32940,0.006694409263614981,694,0.020927567697967553,0.08213256484149856,0.25675675675675674,0.01933819064966606,0.7432432432432432,32303,637,165,57,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,33162,222,32940,0.006694409263614981,1336,0.04028707556842169,0.05913173652694611,0.35585585585585583,0.03816029143897996,0.6441441441441441,31683,1257,143,79,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.019359507870454137,0.023000828314552448,-0.09909909909909909,-0.018822100789313904,0.09909909909909909
BC,32762,229,32533,0.006989805262194005,673,0.020542091447408584,0.08915304606240713,0.26200873362445415,0.018842406172194386,0.7379912663755459,31920,613,169,60,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,32762,229,32533,0.006989805262194005,1011,0.0308589219217386,0.08506429277942631,0.37554585152838427,0.028432668367503765,0.6244541484716157,31608,925,143,86,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.010316830474330015,0.00408875328298082,-0.11353711790393012,-0.009590262195309378,0.11353711790393017
BA,20718,887,19831,0.04281301283907713,4458,0.21517520996235157,0.13817855540601168,0.6944757609921083,0.19373707831173415,0.3055242390078918,15989,3842,271,616,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,20718,887,19831,0.04281301283907713,3166,0.15281397818322232,0.16361339229311433,0.5839909808342728,0.13352831425545864,0.4160090191657272,17183,2648,369,518,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,0.06236123177912925,-0.025434836887102658,0.11048478015783547,0.06020876405627551,-0.11048478015783542
