model,model_family,feature_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
CatBoost | with_housing_status,CatBoost,with_housing_status,validation,default_0_50,0.5,0.06097293743836967,0.7675862068965518,0.16061957682865122,0.17637493630979048,0.8869743461821068,89577,17141,337,1113
CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,0.12364353830976653,0.5186206896551724,0.04994471410633632,0.17637493630979048,0.8869743461821068,101388,5330,698,752
CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,0.07681138376651662,0.7408963585434174,0.13327045013886704,0.205903339389749,0.8896442284926338,82699,12716,370,1058
CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,0.16011612326931665,0.5021008403361344,0.03941728239794581,0.205903339389749,0.8896442284926338,91654,3761,711,717
CatBoost | without_housing_status,CatBoost,without_housing_status,validation,default_0_50,0.5,0.05597913322632424,0.7696551724137931,0.17635263029666973,0.16026482432112274,0.8766281550279789,87898,18820,334,1116
CatBoost | without_housing_status,CatBoost,without_housing_status,validation,valid_global_5pct_fpr,0.7590023405894702,0.11773472429210134,0.4903448275862069,0.049925973125433384,0.16026482432112274,0.8766281550279789,101390,5328,739,711
CatBoost | without_housing_status,CatBoost,without_housing_status,test,default_0_50,0.5,0.07288775001779486,0.7170868347338936,0.13650893465388042,0.19245702187540573,0.8813106639710855,82390,13025,404,1024
CatBoost | without_housing_status,CatBoost,without_housing_status,test,valid_global_5pct_fpr,0.7590023405894702,0.15943784831596802,0.46078431372549017,0.036356966933920244,0.19245702187540573,0.8813106639710855,91946,3469,770,658
XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,0.3700440528634361,0.11586206896551725,0.0026799602691204858,0.17043955704232402,0.888107096304731,106432,286,1282,168
XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,0.12310979618671926,0.516551724137931,0.04999156655859368,0.17043955704232402,0.888107096304731,101383,5335,701,749
XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,0.4289772727272727,0.1057422969187675,0.0021065870146203427,0.2079969459150109,0.8936928552272977,95214,201,1277,151
XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,0.1589808380711729,0.5287114845938375,0.041859246449719646,0.2079969459150109,0.8936928552272977,91421,3994,673,755
XGBoost focal | without_housing_status,XGBoost focal,without_housing_status,validation,default_0_50,0.5,0.42033898305084744,0.08551724137931034,0.0016023538672014094,0.1596889322710562,0.8765162778343957,106547,171,1326,124
XGBoost focal | without_housing_status,XGBoost focal,without_housing_status,validation,valid_global_5pct_fpr,0.30946120619773865,0.11741293532338308,0.4882758620689655,0.04986975018272456,0.1596889322710562,0.8765162778343957,101396,5322,742,708
XGBoost focal | without_housing_status,XGBoost focal,without_housing_status,test,default_0_50,0.5,0.4291497975708502,0.0742296918767507,0.001477755069957554,0.1924491550926553,0.8823051622787144,95274,141,1322,106
XGBoost focal | without_housing_status,XGBoost focal,without_housing_status,test,valid_global_5pct_fpr,0.30946120619773865,0.15498154981549817,0.47058823529411764,0.03840067075407431,0.1924491550926553,0.8823051622787144,91751,3664,756,672
