feature,mean_abs_shap
num__phone_home_valid,0.4113421334116007
num__email_is_free,0.4096268084556951
num__name_email_similarity,0.2960548415324098
cat__device_os_windows,0.2893332586708238
num__prev_address_months_count_was_missing,0.2677944207543326
num__velocity_24h,0.265078984724311
num__prev_address_months_count,0.258242848491291
num__keep_alive_session,0.23415636389695116
num__bank_months_count_was_missing,0.20349279416528238
num__velocity_6h,0.1956038451354508
cat__housing_status_BB,0.19362423248710992
cat__device_os_other,0.17790308123069742
num__customer_age,0.16586722253945993
num__velocity_4w,0.15705426374312656
num__days_since_request,0.13135682256638812
cat__employment_status_CA,0.1254408704220076
num__has_other_cards,0.12303446327576846
num__intended_balcon_amount,0.12040608967235279
num__session_length_in_minutes,0.11761415375847237
num__date_of_birth_distinct_emails_4w,0.1075055987781644
num__income,0.0959814230319492
cat__housing_status_BA,0.09574868532233
cat__device_os_linux,0.08767234110584238
num__proposed_credit_limit,0.0772274439729924
cat__housing_status_BC,0.07467205069283273
cat__housing_status_BE,0.07445066458711294
num__bank_branch_count_8w,0.06206553913132771
num__bank_months_count,0.05596360946496001
num__session_length_in_minutes_log1p,0.055581739699730036
num__current_address_months_count,0.04028377340738845
num__session_length_in_minutes_is_iqr_outlier,0.038903777861847934
num__credit_risk_score,0.0331840620531989
cat__payment_type_AA,0.030246202800041536
cat__payment_type_AB,0.027311471005164286
num__device_distinct_emails_8w,0.02662762589853943
cat__payment_type_AD,0.025504024434103937
cat__payment_type_AC,0.025460318715696248
cat__device_os_macintosh,0.021434841542700554
num__zip_count_4w_log1p,0.01958048034904053
cat__employment_status_CF,0.016789045585407933
