housing_status,n,fraud_count,legitimate_count,fraud_rate,alert_count,alert_rate,precision,recall_tpr,fpr,fnr,tn,fp,fn,tp,small_group_warning,source_model,model_family,feature_policy,threshold_policy,threshold
BC,998,10,988,0.01002004008016032,7,0.0070140280561122245,0.2857142857142857,0.2,0.005060728744939271,0.8,983,5,8,2,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232
BB,609,3,606,0.0049261083743842365,7,0.011494252873563218,0.0,0.0,0.01155115511551155,1.0,599,7,3,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232
BA,488,20,468,0.040983606557377046,30,0.06147540983606557,0.2,0.3,0.05128205128205128,0.7,444,24,14,6,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232
BE,300,3,297,0.01,1,0.0033333333333333335,0.0,0.0,0.003367003367003367,1.0,296,1,3,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232
BD,104,1,103,0.009615384615384616,2,0.019230769230769232,0.0,0.0,0.019417475728155338,1.0,101,2,1,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232
BF,1,0,1,0.0,0,0.0,,,0.0,,1,0,0,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232
BC,998,10,988,0.01002004008016032,15,0.01503006012024048,0.13333333333333333,0.2,0.013157894736842105,0.8,975,13,8,2,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877
BB,609,3,606,0.0049261083743842365,18,0.029556650246305417,0.0,0.0,0.0297029702970297,1.0,588,18,3,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877
BA,488,20,468,0.040983606557377046,24,0.04918032786885246,0.20833333333333334,0.25,0.0405982905982906,0.75,449,19,15,5,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877
BE,300,3,297,0.01,2,0.006666666666666667,0.0,0.0,0.006734006734006734,1.0,295,2,3,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877
BD,104,1,103,0.009615384615384616,0,0.0,,0.0,0.0,1.0,103,0,1,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877
BF,1,0,1,0.0,0,0.0,,,0.0,,1,0,0,0,True,balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877
