model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
baseline_randomsearch | Logistic Regression,baseline_randomsearch,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.04736842105263158,0.5294117647058824,0.1467964314679643,0.07529017741394654,0.7655169123610515,2104,362,16,18
baseline_randomsearch | Logistic Regression,baseline_randomsearch,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7438164845025249,0.1037037037037037,0.4117647058823529,0.049067315490673155,0.07529017741394654,0.7655169123610515,2345,121,20,14
baseline_randomsearch | Logistic Regression,baseline_randomsearch,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.08433734939759036,0.5675675675675675,0.0925700365408039,0.13806502690242692,0.8426002128803589,2235,228,16,21
baseline_randomsearch | Logistic Regression,baseline_randomsearch,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7438164845025249,0.1111111111111111,0.24324324324324326,0.029232643118148598,0.13806502690242692,0.8426002128803589,2391,72,28,9
baseline_randomsearch | Decision Tree,baseline_randomsearch,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.021576763485477178,0.7647058823529411,0.4781021897810219,0.0203765672341615,0.6309396021182195,1287,1179,8,26
baseline_randomsearch | Decision Tree,baseline_randomsearch,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,inf,0.0,0.0,0.0,0.0203765672341615,0.6309396021182195,2466,0,34,0
baseline_randomsearch | Decision Tree,baseline_randomsearch,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.02356020942408377,0.7297297297297297,0.4543239951278928,0.02935234567934823,0.6553039031723562,1344,1119,10,27
baseline_randomsearch | Decision Tree,baseline_randomsearch,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,inf,0.0,0.0,0.0,0.02935234567934823,0.6553039031723562,2463,0,37,0
baseline_randomsearch | Random Forest,baseline_randomsearch,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.08333333333333333,0.14705882352941177,0.022303325223033254,0.059072009892234156,0.7704546538810172,2411,55,29,5
baseline_randomsearch | Random Forest,baseline_randomsearch,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.4345961859641273,0.09090909090909091,0.35294117647058826,0.04866180048661801,0.059072009892234156,0.7704546538810172,2346,120,22,12
baseline_randomsearch | Random Forest,baseline_randomsearch,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.1590909090909091,0.1891891891891892,0.015022330491270807,0.10031381912578412,0.8159901679999122,2426,37,30,7
baseline_randomsearch | Random Forest,baseline_randomsearch,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.4345961859641273,0.12903225806451613,0.32432432432432434,0.03288672350791717,0.10031381912578412,0.8159901679999122,2382,81,25,12
baseline_randomsearch | XGBoost,baseline_randomsearch,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.09090909090909091,0.08823529411764706,0.012165450121654502,0.053541362042755114,0.7059300605887123,2436,30,31,3
baseline_randomsearch | XGBoost,baseline_randomsearch,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.27188533544540405,0.05555555555555555,0.20588235294117646,0.048256285482562854,0.053541362042755114,0.7059300605887123,2347,119,27,7
baseline_randomsearch | XGBoost,baseline_randomsearch,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.058823529411764705,0.02702702702702703,0.006496142915144133,0.05606100518831953,0.7679933282856547,2447,16,36,1
baseline_randomsearch | XGBoost,baseline_randomsearch,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.27188533544540405,0.07352941176470588,0.13513513513513514,0.025578562728380026,0.05606100518831953,0.7679933282856547,2400,63,32,5
baseline_randomsearch | LightGBM,baseline_randomsearch,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.05128205128205128,0.17647058823529413,0.045012165450121655,0.04360983361173474,0.6977362721244216,2355,111,28,6
baseline_randomsearch | LightGBM,baseline_randomsearch,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.4577558945669601,0.0546875,0.20588235294117646,0.049067315490673155,0.04360983361173474,0.6977362721244216,2345,121,27,7
baseline_randomsearch | LightGBM,baseline_randomsearch,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.09,0.24324324324324326,0.036946812829882256,0.05664710298229151,0.7955799892462498,2372,91,28,9
baseline_randomsearch | LightGBM,baseline_randomsearch,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.4577558945669601,0.07964601769911504,0.24324324324324326,0.042224928948436866,0.05664710298229151,0.7955799892462498,2359,104,28,9
baseline_catboost | CatBoost native,baseline_catboost,CatBoost,advanced_native_categoricals,scale_pos_weight,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.05704697986577181,0.5,0.11394971613949716,0.0526146505792826,0.7565717284480702,2185,281,17,17
baseline_catboost | CatBoost native,baseline_catboost,CatBoost,advanced_native_categoricals,scale_pos_weight,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.5757120775990673,0.08181818181818182,0.2647058823529412,0.040957015409570155,0.0526146505792826,0.7565717284480702,2365,101,25,9
