model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc
baseline_randomsearch | Logistic Regression,baseline_randomsearch,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,0.7438164845025249,0.07529017741394654,0.7655169123610515,0.13806502690242692,0.8426002128803589
baseline_randomsearch | Decision Tree,baseline_randomsearch,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,inf,0.0203765672341615,0.6309396021182195,0.02935234567934823,0.6553039031723562
baseline_randomsearch | Random Forest,baseline_randomsearch,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,0.4345961859641273,0.059072009892234156,0.7704546538810172,0.10031381912578412,0.8159901679999122
baseline_randomsearch | XGBoost,baseline_randomsearch,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,0.27188533544540405,0.053541362042755114,0.7059300605887123,0.05606100518831953,0.7679933282856547
baseline_randomsearch | LightGBM,baseline_randomsearch,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5_sample,without_anomaly_scores,0.4577558945669601,0.04360983361173474,0.6977362721244216,0.05664710298229151,0.7955799892462498
baseline_catboost | CatBoost native,baseline_catboost,CatBoost,advanced_native_categoricals,scale_pos_weight,full_0_5_sample,without_anomaly_scores,0.5757120775990673,0.0526146505792826,0.7565717284480702,0.11516233913314824,0.8148818733471597
balance_gate | Logistic Regression | no_balance,balance_gate,Logistic Regression,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,0.025418424617928388,0.06540336584867841,0.7913744573255093,0.11190232782207048,0.8077053911402268
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,0.7397751269261933,0.08266505213509169,0.7658985735413386,0.1210221767781713,0.8330535163665492
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,0.35801272219629,0.048838135918910994,0.765719669863079,0.06972103910532132,0.7867904445249148
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,0.24684435936673232,0.0918770786563758,0.7820476122322407,0.12856754678597634,0.8333936860124437
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,0.2259750260851991,0.08941566209403076,0.779089738085015,0.11895863654720601,0.8283350341815627
balance_gate | Random Forest | no_balance,balance_gate,Random Forest,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,0.02539859602803537,0.07025161481405867,0.7661251848671342,0.08456635941076358,0.7737652390514753
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,0.44660485971371744,0.06363446658414128,0.7774199704212584,0.09030430600321929,0.7876683016756099
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,0.22864795790441259,0.04846243209808487,0.7717427603644864,0.04080296969711898,0.7280343681074498
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,0.17255809952375245,0.05715407242030414,0.7686894709221888,0.08298363624574172,0.7720753640363872
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,0.1561339440830339,0.07315124190939214,0.7646820285291733,0.09964508306528987,0.7449166584367559
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,0.7570113565290331,0.05956948673938005,0.7436548828777253,0.10255815531007396,0.8277973466767621
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,0.4002604119337899,0.06093172203429773,0.7550450837269214,0.1056354843545991,0.7789555694549605
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.7570113565290331,0.05956948673938005,0.7436548828777253,0.10255815531007396,0.8277973466767621
anomaly_recency_gate | Logistic Regression | full_0_5 | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_anomaly_scores,0.8221032506603546,0.05903762907894188,0.7377749153189256,0.10813512334444206,0.8289056413295146
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,0.7695000597614267,0.06100638450205252,0.7494036544058014,0.0999532108517346,0.8262172038055108
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_anomaly_scores,0.7796323364618519,0.0606291333202185,0.7465173417298793,0.10811437718040377,0.8335582842281989
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,0.857039929368072,0.0795720732758733,0.8017627975764515,0.08595146176699991,0.7796468819611329
anomaly_recency_gate | Logistic Regression | recent_3_5 | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_anomaly_scores,0.8570330699469653,0.08272362860479672,0.803432565240208,0.08719337186835116,0.7814135694769069
