precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp,variant,model,split,source,balancing,validation_threshold_for_5pct_fpr,test_at_valid_5pct_fpr_precision,test_at_valid_5pct_fpr_recall_tpr,test_at_valid_5pct_fpr_fpr,test_at_valid_5pct_fpr_pr_auc,test_at_valid_5pct_fpr_roc_auc,test_at_valid_5pct_fpr_tn,test_at_valid_5pct_fpr_fp,test_at_valid_5pct_fpr_fn,test_at_valid_5pct_fpr_tp,model_family,feature_policy,threshold_policy,threshold
0.0565302144249512,0.78,0.176877377761952,0.1625951166991666,0.8831052642122875,87842,18876,319,1131,missing_outlier_log1p,Logistic Regression,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0543268097146899,0.7944827586206896,0.1879064450233325,0.1570173685774133,0.8818565009554669,86665,20053,298,1152,missing_and_outlier_flags,Logistic Regression,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0551241861586689,0.7882758620689655,0.1835866489252047,0.1546659098325226,0.8815627263862025,87126,19592,307,1143,add_missing_flags,Logistic Regression,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0589003810560696,0.7462068965517241,0.1619970389250173,0.1486369974324932,0.8752355515115248,89430,17288,368,1082,missing_and_outlier_flags,Random Forest,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0536970157764683,0.7793103448275862,0.1866039468505781,0.1484233825713122,0.8747095115648007,86804,19914,320,1130,add_outlier_flags,Logistic Regression,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0604108635097493,0.7179310344827586,0.1517176108997545,0.147720821557036,0.8730542435073811,90527,16191,409,1041,median_imputation_only,Random Forest,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0610059616831625,0.7268965517241379,0.1520174665942015,0.1476424794892775,0.8755672022494346,90495,16223,396,1054,missing_outlier_log1p,Random Forest,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0600620942703923,0.7337931034482759,0.1560280365074308,0.146793225230648,0.8735391825442627,90067,16651,386,1064,add_outlier_flags,Random Forest,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0585143847862599,0.7448275862068966,0.1628310125751982,0.1455631481094953,0.8730647126070579,89341,17377,370,1080,add_missing_flags,Random Forest,validation,baseline_proposal,,,,,,,,,,,,,,,
0.051611141452758,0.7820689655172414,0.1952622800277366,0.1444187217223819,0.8734950055285894,85880,20838,316,1134,median_imputation_only,Logistic Regression,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0495319812792511,0.7882758620689655,0.2055229670720965,0.1432982783236926,0.8709534118601975,84785,21933,307,1143,missing_and_outlier_flags,XGBoost,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0497999304105775,0.7896551724137931,0.2047171048932701,0.1416266525056334,0.8709131090576453,84871,21847,305,1145,add_missing_flags,XGBoost,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0495182709834215,0.786896551724138,0.2052231113776495,0.1409135468353026,0.870342468807576,84817,21901,309,1141,missing_outlier_log1p,XGBoost,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0491703851319152,0.7827586206896552,0.2056635244288686,0.1407059971468104,0.8683805950713804,84770,21948,315,1135,median_imputation_only,XGBoost,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0492009727288518,0.7813793103448275,0.2051668884349407,0.1405474554424493,0.8699202345078327,84823,21895,317,1133,add_outlier_flags,XGBoost,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0498531113682898,0.7724137931034483,0.2000224891770835,0.1400943389821115,0.8688182648307398,85372,21346,330,1120,add_missing_flags,Extra Trees,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0508359076867163,0.7717241379310344,0.1957776570025675,0.1385350684550152,0.8688538920816771,85825,20893,331,1119,missing_outlier_log1p,Extra Trees,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0510886258921311,0.78,0.1968458929140351,0.1382089732754705,0.8679096277588824,85711,21007,319,1131,missing_and_outlier_flags,Extra Trees,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0508729543693303,0.7696551724137931,0.1951029816900616,0.1367901843986806,0.8636154744925557,85897,20821,334,1116,add_outlier_flags,Extra Trees,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0496783416726233,0.766896551724138,0.1993290728836747,0.1362550249190385,0.8639034232017221,85446,21272,338,1112,median_imputation_only,Extra Trees,validation,baseline_proposal,,,,,,,,,,,,,,,
0.044166117336849,0.7393103448275862,0.2173953784741093,0.0909596658914652,0.8301413393080442,83518,23200,378,1072,median_imputation_only,Decision Tree,validation,baseline_proposal,,,,,,,,,,,,,,,
0.044166117336849,0.7393103448275862,0.2173953784741093,0.0909595021112369,0.8301405153511251,83518,23200,378,1072,add_outlier_flags,Decision Tree,validation,baseline_proposal,,,,,,,,,,,,,,,
0.039350052984811,0.7682758620689655,0.2548398583181844,0.0892359284682592,0.8312355250156552,79522,27196,336,1114,missing_outlier_log1p,Decision Tree,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0393486630638267,0.7682758620689655,0.2548492288086358,0.0892355109698214,0.8312323131992729,79521,27197,336,1114,add_missing_flags,Decision Tree,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0393486630638267,0.7682758620689655,0.2548492288086358,0.0892355109698214,0.831232313199273,79521,27197,336,1114,missing_and_outlier_flags,Decision Tree,validation,baseline_proposal,,,,,,,,,,,,,,,
0.0767754318618042,0.7282913165266106,0.1310695383325472,0.1934157990727651,0.888075649481089,82909,12506,388,1040,missing_outlier_log1p,Logistic Regression,test,baseline_best_test,,,,,,,,,,,,,,,
0.0651920838183934,0.7724137931034483,0.1504900766506119,0.1755138966281995,0.8900014572728253,90658,16060,330,1120,,XGBoost,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0583433493589743,0.803448275862069,0.1761933319589947,0.1754486092482713,0.8896466614235004,87915,18803,285,1165,,Voting Classifier,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0553415573650592,0.7827586206896552,0.1815438820067842,0.1571179533394897,0.8818122851653504,87344,19374,315,1135,,Logistic Regression,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0759304429931544,0.6655172413793103,0.1100470398620663,0.1561258633259673,0.8815157188361723,94974,11744,485,965,,Random Forest,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0440319061415745,0.8489655172413794,0.2504357278059934,0.1555537082712112,0.8806454199950755,79992,26726,219,1231,,LightGBM,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0547470895222802,0.7524137931034482,0.1765119286343447,0.1387879148966815,0.8677239337189666,87881,18837,359,1091,,Extra Trees,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0403669043374925,0.7496551724137931,0.2421428437564422,0.0973535094344012,0.8205165078960924,80877,25841,363,1087,,Decision Tree,validation,randomsearch_tuning,,,,,,,,,,,,,,,
0.0726201509334039,0.7682072829131653,0.1468217785463501,0.2109395607575046,0.8952222203140021,81406,14009,331,1097,,Voting Classifier,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.0777236009024088,0.7478991596638656,0.132819787245192,0.2097004304864752,0.8944666935578925,82742,12673,360,1068,,XGBoost,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.054486586493987,0.8249299719887955,0.2142430435466121,0.1941312209082232,0.888752906182648,74973,20442,250,1178,,LightGBM,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.0759411510168758,0.7373949579831933,0.1342870617827385,0.1869625589818714,0.8870180844962836,82602,12813,375,1053,,Logistic Regression,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.1002139037433155,0.6561624649859944,0.088172719174134,0.1798866449396984,0.8830079230770022,87002,8413,491,937,,Random Forest,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.0620693582370024,0.7633053221288515,0.1726248493423466,0.1675108429295555,0.8700596583023504,78944,16471,338,1090,,Extra Trees,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.0475799835931091,0.7310924369747899,0.2190221663260493,0.117630753989905,0.8148936658979474,74517,20898,384,1044,,Decision Tree,test,randomsearch_tuning,,,,,,,,,,,,,,,
0.48,0.0248275862068965,0.0003654491276073,0.1617719347968609,0.8820881653290561,106679,39,1414,36,,XGBoost,validation,balancing,no_balance,,,,,,,,,,,,,,
0.5384615384615384,0.0096551724137931,0.0001124458854176,0.1613483534181599,0.8762141796846474,106706,12,1436,14,,LightGBM,validation,balancing,no_balance,,,,,,,,,,,,,,
0.2146092865232163,0.2613793103448276,0.0129968702561892,0.1604065234975095,0.8789180960972877,105331,1387,1071,379,,XGBoost,validation,balancing,random_oversampling,,,,,,,,,,,,,,
0.1186143039591315,0.5124137931034483,0.0517344777825671,0.1593595614313859,0.8811612848816507,101197,5521,707,743,,XGBoost,validation,balancing,random_undersampling,,,,,,,,,,,,,,
0.4285714285714285,0.0020689655172413,3.748196180588092e-05,0.158028994598829,0.8806022381901123,106714,4,1447,3,,Logistic Regression,validation,balancing,no_balance,,,,,,,,,,,,,,
0.2336182336182336,0.2262068965517241,0.0100826477257819,0.157989075463308,0.8756157090779372,105642,1076,1122,328,,LightGBM,validation,balancing,random_oversampling,,,,,,,,,,,,,,
0.0628541076487252,0.7344827586206897,0.1487940178788958,0.1562406913589653,0.8780783385926557,90839,15879,385,1065,,XGBoost,validation,balancing,class_weight,,,,,,,,,,,,,,
0.2339181286549707,0.2206896551724138,0.0098202739931408,0.1554103875634359,0.880476001527713,105670,1048,1130,320,,Logistic Regression,validation,balancing,random_oversampling,,,,,,,,,,,,,,
0.0624200116346713,0.74,0.1510241946063457,0.1552978531574332,0.8808904809388068,90601,16117,377,1073,,Logistic Regression,validation,balancing,class_weight,,,,,,,,,,,,,,
0.0646022092590294,0.7179310344827586,0.1412414025750107,0.1549183461541442,0.8795417442424799,91645,15073,409,1041,,Logistic Regression,validation,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.2193040052527905,0.2303448275862069,0.0111415131467981,0.1539940314127618,0.8791259400379084,105529,1189,1116,334,,Logistic Regression,validation,balancing,smote,,,,,,,,,,,,,,
0.1466597077244258,0.3875862068965517,0.0306415037763076,0.1535809510657474,0.8792867118044269,103448,3270,888,562,,Logistic Regression,validation,balancing,random_undersampling,,,,,,,,,,,,,,
0.3001715265866209,0.1206896551724138,0.0038231601041998,0.1528437164539899,0.8785083245498448,106310,408,1275,175,,XGBoost,validation,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.0530129857497203,0.7517241379310344,0.1824528195805768,0.1528066623611664,0.8698060760845049,87247,19471,360,1090,,LightGBM,validation,balancing,class_weight,,,,,,,,,,,,,,
0.6086956521739131,0.0096551724137931,8.433441406323208e-05,0.1521114388875013,0.8800426001883146,106709,9,1436,14,,XGBoost,validation,balancing,smote,,,,,,,,,,,,,,
0.1346617035252901,0.4241379310344828,0.0370321782642103,0.1502610157918869,0.8750304088571168,102766,3952,835,615,,LightGBM,validation,balancing,random_undersampling,,,,,,,,,,,,,,
0.4063745019920319,0.0703448275862069,0.001396203077269,0.1496325800711581,0.8671452897775704,106569,149,1348,102,,Random Forest,validation,balancing,random_oversampling,,,,,,,,,,,,,,
0.1032094819549873,0.5344827586206896,0.0631008827002005,0.1454843212625132,0.8700092089302714,99984,6734,675,775,,Random Forest,validation,balancing,class_weight,,,,,,,,,,,,,,
0.0,0.0,0.0,0.1443111392320003,0.8648728230573519,106718,0,1450,0,,Random Forest,validation,balancing,no_balance,,,,,,,,,,,,,,
0.6470588235294118,0.0075862068965517,5.622294270882138e-05,0.1433236842401344,0.869298851436367,106712,6,1439,11,,LightGBM,validation,balancing,smote,,,,,,,,,,,,,,
0.0,0.0,0.0,0.140432558059812,0.8640263123371877,106718,0,1450,0,,Extra Trees,validation,balancing,no_balance,,,,,,,,,,,,,,
0.3286118980169972,0.08,0.0022208062369984,0.1399842053908976,0.8642993361169077,106481,237,1334,116,,Extra Trees,validation,balancing,random_oversampling,,,,,,,,,,,,,,
0.2972972972972973,0.1137931034482758,0.0036544912760733,0.1398775940218874,0.8716214276620755,106328,390,1285,165,,LightGBM,validation,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.5283018867924528,0.0193103448275862,0.0002342622612867,0.1378118722810318,0.8627930459328517,106693,25,1422,28,,Extra Trees,validation,balancing,smote,,,,,,,,,,,,,,
0.625,0.0034482758620689,2.811147135441069e-05,0.1375101851249129,0.8601823820562217,106715,3,1445,5,,Random Forest,validation,balancing,smote,,,,,,,,,,,,,,
0.0605500208793175,0.7,0.1475664836297532,0.1356011577831029,0.8636011958038298,90970,15748,435,1015,,Extra Trees,validation,balancing,class_weight,,,,,,,,,,,,,,
0.1435105774728416,0.3462068965517241,0.0280739893926048,0.1330639053239851,0.8636578000285637,103722,2996,948,502,,Random Forest,validation,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.0861054658252219,0.5551724137931034,0.0800614704173616,0.1308747791042561,0.8621857153658594,98174,8544,645,805,,Extra Trees,validation,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.1862152357920193,0.2124137931034482,0.0126126801476789,0.1268687103298919,0.8526808294628898,105372,1346,1142,308,,Extra Trees,validation,balancing,random_undersampling,,,,,,,,,,,,,,
0.1939622641509434,0.1772413793103448,0.0100076838021702,0.123422463320075,0.8577700236071735,105650,1068,1193,257,,Random Forest,validation,balancing,random_undersampling,,,,,,,,,,,,,,
0.609375,0.0273109243697479,0.0002620133102761,0.2029637443617476,0.8843068705761401,95390,25,1389,39,,XGBoost,test,balancing,no_balance,,,,,,,,,,,,,,
0.2745247148288973,0.2528011204481792,0.0099984279201383,0.2025108056634842,0.8848052316351788,94461,954,1067,361,,XGBoost,test,balancing,random_oversampling,,,,,,,,,,,,,,
0.1373885684320923,0.5504201680672269,0.0517214274485143,0.1998314354624084,0.8853488615484972,90480,4935,642,786,,XGBoost,test,balancing,random_undersampling,,,,,,,,,,,,,,
0.7777777777777778,0.0098039215686274,4.1922129644185926e-05,0.1963941619622217,0.8825823459394762,95411,4,1414,14,,LightGBM,test,balancing,no_balance,,,,,,,,,,,,,,
0.0638159834856974,0.757703081232493,0.1663574909605407,0.1942475711730939,0.8771700536841054,79542,15873,346,1082,,LightGBM,test,balancing,class_weight,,,,,,,,,,,,,,
1.0,0.0021008403361344,0.0,0.1933085216395285,0.8852602614173585,95415,0,1425,3,,Logistic Regression,test,balancing,no_balance,,,,,,,,,,,,,,
0.2722558340535869,0.2205882352941176,0.0088246082901011,0.1915113967490234,0.8817924969075823,94573,842,1113,315,,LightGBM,test,balancing,random_oversampling,,,,,,,,,,,,,,
0.3173970783532536,0.1673669467787114,0.0053869936592778,0.1890480016108806,0.8854001779929076,94901,514,1189,239,,Logistic Regression,test,balancing,random_oversampling,,,,,,,,,,,,,,
0.0758696448187477,0.7254901960784313,0.1322538384949955,0.186015401997941,0.8809243227763255,82796,12619,392,1036,,XGBoost,test,balancing,class_weight,,,,,,,,,,,,,,
0.3121019108280254,0.1715686274509804,0.0056594875019651,0.1856419252182612,0.8841851701640671,94875,540,1183,245,,Logistic Regression,test,balancing,smote,,,,,,,,,,,,,,
0.0900675738220864,0.6813725490196079,0.1030236336005869,0.1851430279557289,0.8851181944244448,85585,9830,455,973,,Logistic Regression,test,balancing,class_weight,,,,,,,,,,,,,,
0.212287941311325,0.3242296918767507,0.0180055546821778,0.1844657446805599,0.8842142705219174,93697,1718,965,463,,Logistic Regression,test,balancing,random_undersampling,,,,,,,,,,,,,,
0.0967443771182089,0.6596638655462185,0.0921762825551538,0.1842618342433804,0.884603195153238,86620,8795,486,942,,Logistic Regression,test,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.3550420168067227,0.1183473389355742,0.0032175234501912,0.1842293772294617,0.8819237310812812,95108,307,1259,169,,XGBoost,test,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.7241379310344828,0.0147058823529411,8.384425928837185e-05,0.1838083880967226,0.8826479153208209,95407,8,1407,21,,XGBoost,test,balancing,smote,,,,,,,,,,,,,,
0.1773682695076303,0.4313725490196078,0.0299428810983597,0.1801779360218944,0.8802251362212338,92558,2857,812,616,,LightGBM,test,balancing,random_undersampling,,,,,,,,,,,,,,
0.4200913242009132,0.0644257703081232,0.0013310276162029,0.1791271837673629,0.8717317509197254,95288,127,1336,92,,Random Forest,test,balancing,random_oversampling,,,,,,,,,,,,,,
0.0,0.0,0.0,0.1722358663787358,0.8711533473631553,95415,0,1428,0,,Random Forest,test,balancing,no_balance,,,,,,,,,,,,,,
0.7692307692307693,0.0070028011204481,3.144159723313944e-05,0.1719144648068375,0.8693090452132224,95412,3,1418,10,,LightGBM,test,balancing,smote,,,,,,,,,,,,,,
0.3489361702127659,0.1148459383753501,0.0032070429177802,0.1708382296975056,0.8724125084713967,95109,306,1264,164,,LightGBM,test,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.3829113924050633,0.0847338935574229,0.002043703820154,0.1662579283872416,0.8677894414067047,95220,195,1307,121,,Extra Trees,test,balancing,random_oversampling,,,,,,,,,,,,,,
0.1275677541860866,0.5175070028011205,0.0529686108054289,0.1631016383844288,0.8708761196665429,90361,5054,689,739,,Random Forest,test,balancing,class_weight,,,,,,,,,,,,,,
0.0,0.0,0.0,0.1630762587079962,0.8697041128456833,95415,0,1428,0,,Extra Trees,test,balancing,no_balance,,,,,,,,,,,,,,
0.5454545454545454,0.0042016806722689,5.240266205523241e-05,0.1613078378192987,0.8638066115719462,95410,5,1422,6,,Random Forest,test,balancing,smote,,,,,,,,,,,,,,
0.5217391304347826,0.0168067226890756,0.000230571713043,0.1607434350777506,0.8665488340701265,95393,22,1404,24,,Extra Trees,test,balancing,smote,,,,,,,,,,,,,,
0.0707497360084477,0.7037815126050421,0.1383430278258135,0.1582571314191667,0.8659915090073129,82215,13200,423,1005,,Extra Trees,test,balancing,class_weight,,,,,,,,,,,,,,
0.103749683303775,0.5735294117647058,0.0741497668081538,0.149050612539376,0.8665675493065746,88340,7075,609,819,,Extra Trees,test,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.170534458509142,0.3396358543417367,0.0247235759576586,0.148209756359488,0.8661664267446747,93056,2359,943,485,,Random Forest,test,balancing,smote_plus_weight,,,,,,,,,,,,,,
0.2073921971252566,0.2121848739495798,0.0121364565319918,0.1470107202390736,0.8582267702448582,94257,1158,1125,303,,Extra Trees,test,balancing,random_undersampling,,,,,,,,,,,,,,
0.2331560283687943,0.1841736694677871,0.0090656605355552,0.1435564578453368,0.8651643469314572,94550,865,1165,263,,Random Forest,test,balancing,random_undersampling,,,,,,,,,,,,,,
0.0609729374383696,0.7675862068965518,0.1606195768286512,0.1763749363097904,0.8869743461821068,89577,17141,337,1113,,CatBoost native categoricals + advanced features + standard logloss,validation,advanced,,,,,,,,,,,,,,,
0.0516996251777174,0.8275862068965517,0.2062538653273112,0.1758240037349257,0.888066008319703,84707,22011,250,1200,,Stacking XGB + LGBM + Logistic target/frequency,validation,advanced,,,,,,,,,,,,,,,
0.0591541755888651,0.7620689655172413,0.1646863696845893,0.1729148233209768,0.8867269329221519,89143,17575,345,1105,,XGBoost target/frequency + advanced features + standard logloss,validation,advanced,,,,,,,,,,,,,,,
