feature,mean_abs_shap
housing_status_target_mean,0.32775298
keep_alive_session,0.31538773
phone_home_valid,0.31311134
name_email_similarity,0.28128612
has_other_cards,0.27391762
current_address_months_count,0.25522974
prev_address_months_count_was_missing,0.24483624
device_os_target_mean,0.23549005
income,0.2167321
credit_risk_score,0.17974927
intended_balcon_amount,0.17688856
email_is_free,0.14690006
isolation_forest_anomaly_score,0.14418627
customer_age,0.13744359
bank_months_count,0.13108666
autoencoder_reconstruction_error,0.10754027
employment_status_target_mean,0.096756734
branch_count_to_zip_count,0.086897895
velocity_4w,0.078718714
proposed_credit_limit,0.07203481
phone_valid_combo_target_mean,0.07101714
days_since_request,0.06670579
date_of_birth_distinct_emails_4w,0.064032756
dob_emails_to_zip_count,0.05587265
bank_branch_count_8w,0.054054663
device_os_frequency,0.05263696
zip_count_4w_to_velocity_4w,0.040968303
device_distinct_emails_8w,0.032274406
prev_address_months_count,0.030957729
session_length_in_minutes,0.029211791
email_similarity_bin__email_free_target_mean,0.028709225
velocity_6h,0.027101299
zip_count_4w,0.026776092
velocity_6h_to_24h,0.025531143
lof_anomaly_score,0.025394274
email_free__source_target_mean,0.024634702
employment_status_frequency,0.017614268
proposed_credit_limit_log1p,0.017435448
device_os__source_target_mean,0.015051464
velocity_24h,0.013562722
credit_limit_to_income,0.01236544
payment_type_target_mean,0.012087883
device_os__source_frequency,0.011492747
payment_type__credit_limit_bin_target_mean,0.010908793
housing_status_frequency,0.010897641
phone_valid_combo_frequency,0.00921997
email_similarity_bin__email_free_frequency,0.008747003
payment_type__credit_limit_bin_frequency,0.008590509
session_length_bin__source_target_mean,0.00802258
bank_months_count_was_missing,0.00781069
velocity_24h_to_4w,0.0062552015
email_free__source_frequency,0.0061291293
payment_type_frequency,0.0052611353
zip_count_4w_log1p,0.0032031797
session_length_in_minutes_log1p,0.0024557163
foreign_request,0.0018287897
velocity_4w_is_iqr_outlier,0.0012911294
session_length_bin__source_frequency,0.0010398614
proposed_credit_limit_is_iqr_outlier,0.0009763754
source_target_mean,0.0007672554
velocity_24h_is_iqr_outlier,0.00034654737
session_length_in_minutes_was_missing,7.992161e-05
phone_mobile_valid,0.0
velocity_6h_is_iqr_outlier,0.0
zip_count_4w_is_iqr_outlier,0.0
session_length_in_minutes_is_iqr_outlier,0.0
source_frequency,0.0
