mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_features__add_log_features,param_features__add_missing_flags,param_features__add_outlier_flags,param_model__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__ccp_alpha,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators,param_model__colsample_bytree,param_model__gamma,param_model__learning_rate,param_model__min_child_weight,param_model__reg_lambda,param_model__scale_pos_weight,param_model__subsample,param_model__min_child_samples,param_model__num_leaves,param_weights
5.005032062530518,0.0,0.07149004936218262,0.0,True,False,True,0.035506214270707714,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__C': np.float64(0.035506214270707714)}",0.12973964821702202,0.12973964821702202,0.0,4,Logistic Regression,,,,,,,,,,,,,,,,
5.349230527877808,0.0,0.08547163009643555,0.0,False,True,True,0.02938027938703535,"{'features__add_log_features': False, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__C': np.float64(0.02938027938703535)}",0.13833802543200074,0.13833802543200074,0.0,1,Logistic Regression,,,,,,,,,,,,,,,,
6.076444625854492,0.0,0.5644536018371582,0.0,True,True,True,0.2386418878005606,"{'features__add_log_features': True, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__C': np.float64(0.2386418878005606)}",0.13779576648441327,0.13779576648441327,0.0,2,Logistic Regression,,,,,,,,,,,,,,,,
3.063194751739502,0.0,0.07317781448364258,0.0,True,False,False,1.3311216080736887,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__C': np.float64(1.3311216080736887)}",0.12754033685710117,0.12754033685710117,0.0,5,Logistic Regression,,,,,,,,,,,,,,,,
4.121691465377808,0.0,0.06342315673828125,0.0,False,True,False,1.4655354118727704,"{'features__add_log_features': False, 'features__add_missing_flags': True, 'features__add_outlier_flags': False, 'model__C': np.float64(1.4655354118727704)}",0.13483119176104144,0.13483119176104144,0.0,3,Logistic Regression,,,,,,,,,,,,,,,,
4.100872755050659,0.0,0.07082033157348633,0.0,False,False,False,0.035113563139704075,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__C': np.float64(0.035113563139704075)}",0.1249993850796835,0.1249993850796835,0.0,6,Logistic Regression,,,,,,,,,,,,,,,,
2.5633976459503174,0.0,0.07157135009765625,0.0,True,False,True,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__ccp_alpha': 0.0001, 'model__max_depth': 8, 'model__min_samples_leaf': 121, 'model__min_samples_split': 800}",0.06479027951535601,0.06479027951535601,0.0,6,Decision Tree,0.0001,8,121.0,800.0,,,,,,,,,,,,
2.4060065746307373,0.0,0.08120584487915039,0.0,True,True,False,,"{'features__add_log_features': True, 'features__add_missing_flags': True, 'features__add_outlier_flags': False, 'model__ccp_alpha': 0.0001, 'model__max_depth': 8, 'model__min_samples_leaf': 137, 'model__min_samples_split': 472}",0.06567992078268534,0.06567992078268534,0.0,5,Decision Tree,0.0001,8,137.0,472.0,,,,,,,,,,,,
2.032087564468384,0.0,0.07306456565856934,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__ccp_alpha': 0.0001, 'model__max_depth': None, 'model__min_samples_leaf': 358, 'model__min_samples_split': 869}",0.0678548311575172,0.0678548311575172,0.0,3,Decision Tree,0.0001,,358.0,869.0,,,,,,,,,,,,
1.8894329071044922,0.0,0.07629704475402832,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__ccp_alpha': 1e-05, 'model__max_depth': 6, 'model__min_samples_leaf': 241, 'model__min_samples_split': 376}",0.06256156182048972,0.06256156182048972,0.0,7,Decision Tree,1e-05,6,241.0,376.0,,,,,,,,,,,,
2.4839203357696533,0.0,0.0709531307220459,0.0,True,False,False,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__ccp_alpha': 1e-05, 'model__max_depth': 12, 'model__min_samples_leaf': 285, 'model__min_samples_split': 956}",0.06916098594639791,0.06916098594639791,0.0,1,Decision Tree,1e-05,12,285.0,956.0,,,,,,,,,,,,
-0.04267144203186035,0.0,0.10044980049133301,0.0,True,True,True,,"{'features__add_log_features': True, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__ccp_alpha': 0.0001, 'model__max_depth': 6, 'model__min_samples_leaf': 237, 'model__min_samples_split': 882}",0.06252575895135624,0.06252575895135624,0.0,8,Decision Tree,0.0001,6,237.0,882.0,,,,,,,,,,,,
2.0909981727600098,0.0,0.060236454010009766,0.0,False,False,True,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__ccp_alpha': 1e-05, 'model__max_depth': 8, 'model__min_samples_leaf': 413, 'model__min_samples_split': 666}",0.06868654494073095,0.06868654494073095,0.0,2,Decision Tree,1e-05,8,413.0,666.0,,,,,,,,,,,,
1.709552526473999,0.0,0.061316490173339844,0.0,False,False,True,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__ccp_alpha': 0.0001, 'model__max_depth': 12, 'model__min_samples_leaf': 356, 'model__min_samples_split': 746}",0.06630342736112929,0.06630342736112929,0.0,4,Decision Tree,0.0001,12,356.0,746.0,,,,,,,,,,,,
4.545246124267578,0.0,0.16147947311401367,0.0,True,False,True,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 70, 'model__n_estimators': 88}",0.13164025761389564,0.13164025761389564,0.0,1,Random Forest,,12,70.0,,sqrt,88.0,,,,,,,,,,
8.591066122055054,0.0,0.14893651008605957,0.0,False,True,True,,"{'features__add_log_features': False, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__max_depth': 12, 'model__max_features': 0.5, 'model__min_samples_leaf': 137, 'model__n_estimators': 102}",0.11556022969470373,0.11556022969470373,0.0,5,Random Forest,,12,137.0,,0.5,102.0,,,,,,,,,,
